# data from ifeffit
#------------------------
#   energy    j0        j         xmu
  7126.0123        193527.00        56837.098        1.2252278
  7126.2570        193499.00        55253.100        1.2533479
  7126.5018        193507.00        54234.101        1.2720038
  7126.7465        193480.00        53441.102        1.2865940
  7126.9913        193416.00        52857.098        1.2972513
  7127.2361        193360.00        52117.101        1.3110606
  7128.2156        193331.00        49789.098        1.3566077
  7129.1953        193115.00        46492.098        1.4240035
  7130.1754        192832.00        43092.098        1.4984797
  7131.1557        192556.00        41002.101        1.5467637
  7132.1363        192328.00        41035.102        1.5447744
  7133.1173        192253.00        42744.102        1.5035810
  7134.0986        192159.00        44763.101        1.4569390
  7135.0801        192078.00        46201.101        1.4248979
  7136.0620        191983.00        47008.100        1.4070869
  7137.0442        191738.00        47474.098        1.3959456
  7138.0266        191627.00        47954.099        1.3853065
  7139.0094        191505.00        48707.100        1.3690891
  7139.9925        191347.00        49719.098        1.3476994
  7140.9759        191250.00        50927.099        1.3231863
  7141.9596        191142.00        51891.101        1.3038693
  7142.9436        191110.00        52393.099        1.2940743
  7143.9279        191040.00        52292.101        1.2956375
  7144.9125        190956.00        51941.097        1.3019327
  7145.8975        190862.00        51865.102        1.3029045
  7146.8827        190660.00        52290.099        1.2936847
  7147.8682        190544.00        53274.098        1.2744329
  7148.8541        190435.00        54569.102        1.2498431
  7149.8402        190330.00        55838.099        1.2263030
  7150.8267        190157.00        57033.103        1.2042182
  7151.8135        189995.00        57922.097        1.1878988
  7152.8005        189888.00        58628.101        1.1752203
  7153.7879        189705.00        59296.100        1.1629267
  7154.7756        189497.00        59936.100        1.1510942
  7155.7636        189325.00        60602.098        1.1391356
  7156.7519        189107.00        61268.099        1.1270537
  7157.7405        188887.00        61886.097        1.1158534
  7158.7294        188690.00        62384.101        1.1067950
  7159.7186        188490.00        62737.098        1.1000920
  7160.7082        188342.00        62888.100        1.0969025
  7161.6980        188156.00        62902.097        1.0956919
  7162.6882        187889.00        62722.100        1.0971375
  7163.6786        187815.00        62567.097        1.0992179
  7164.6694        187603.00        62283.100        1.1026379
  7165.6605        187359.00        61915.098        1.1072625
  7166.6519        187117.00        61512.099        1.1125002
  7167.6436        186895.00        61062.099        1.1186556
  7168.6356        186722.00        60560.101        1.1259846
  7169.6279        186543.00        59986.100        1.1345489
  7170.6205        186363.00        59354.099        1.1441752
  7171.6135        186229.00        58697.099        1.1545868
  7172.6067        186114.00        58039.098        1.1652425
  7174.5320        185838.00        56869.099        1.1841232
  7176.4585        185496.00        56210.098        1.1939369
  7178.3861        185213.00        55643.102        1.2025484
  7180.3149        184895.00        55041.101        1.2117079
  7182.2448        184523.00        54613.102        1.2175003
  7184.1760        184167.00        54472.101        1.2181543
  7186.1083        183748.00        54464.099        1.2160235
  7188.0418        183271.00        54501.103        1.2127450
  7189.9764        182393.00        54492.098        1.2081080
  7191.9122        180377.00        54317.101        1.2002100
  7193.8492        175649.00        52320.098        1.2111071
  7195.7874        183290.00        55552.099        1.1937483
