# data: r, chi, fit, path1, path2
#------------------------
#   r         chir_mag       chir_mag      chir_mag        chir_mag        chir_re       chir_re
  1.7180585       0.47622221       0.46504813       0.52170513       0.56810933E-01   0.31680956       0.32641912
  1.7487381       0.43815535       0.41961649       0.47968019       0.60059009E-01   0.15867154       0.18563492
  1.7794177       0.39246237       0.36898076       0.43292033       0.64014002E-01   0.25905936E-02   0.50119253E-01
  1.8100973       0.34079075       0.31452205       0.38304904       0.68879190E-01  -0.12098461      -0.58612672E-01
  1.8407769       0.28508135       0.25771981       0.33181702       0.74889092E-01  -0.19188775      -0.12644748
  1.8714566       0.22730743       0.20004647       0.28098859       0.82305658E-01  -0.20492494      -0.14910828
  1.9021362       0.16932601       0.14286952       0.23223159       0.91412744E-01  -0.16917711      -0.13194004
  1.9328158       0.11309187       0.87413947E-01   0.18702333       0.10251099      -0.10326976      -0.87373121E-01
  1.9634954       0.62743091E-01   0.35347764E-01   0.14658378       0.11591464      -0.29293559E-01  -0.31104349E-01
  1.9941750       0.41101982E-01   0.22167606E-01   0.11184458       0.13195034       0.32363306E-01   0.21688207E-01
  2.0248546       0.73994938E-01   0.67582412E-01   0.83455252E-01   0.15095646       0.66407907E-01   0.59016367E-01
  2.0555343       0.12099998       0.11328751       0.61800372E-01   0.17328004       0.64513398E-01   0.73166261E-01
  2.0862139       0.16866209       0.15798919       0.46921545E-01   0.19926843       0.26061019E-01   0.60417965E-01
  2.1168935       0.21467526       0.20251546       0.38169389E-01   0.22925359      -0.42365333E-01   0.20109591E-01
  2.1475731       0.25850675       0.24791364       0.33849183E-01   0.26352852      -0.12910238      -0.46138987E-01
  2.1782527       0.30053953       0.29517466       0.31764822E-01   0.30231672      -0.22092440      -0.13449518
  2.2089323       0.34210635       0.34507931       0.30284498E-01   0.34573648      -0.30662152      -0.23820949
  2.2396120       0.38544856       0.39810485       0.28656008E-01   0.39376183      -0.37870369      -0.34655239
  2.2702916       0.43331347       0.45438052       0.26710148E-01   0.44618158      -0.43202456      -0.44411533
  2.3009712       0.48817749       0.51367663       0.24537522E-01   0.50255875      -0.46003343      -0.51125965
  2.3316508       0.55137920       0.57541053       0.22299795E-01   0.56219331      -0.45128928      -0.52631100
  2.3623304       0.62257349       0.63865952       0.20142683E-01   0.62409366      -0.38940099      -0.46968732
  2.3930100       0.69971735       0.70217968       0.18165296E-01   0.68696377      -0.25807178      -0.32954411
  2.4236896       0.77947535       0.76443663       0.16417133E-01   0.74921358      -0.50092046E-01  -0.10778555
  2.4543693       0.85778908       0.82365627       0.14906524E-01   0.80899927       0.22348553       0.17539781
  2.4850489       0.93041365       0.87790146       0.13612174E-01   0.86429639       0.52865498       0.48062676
  2.5157285       0.99333723       0.92517556       0.12494577E-01   0.91300473       0.81157715       0.75381865
  2.5464081        1.0430744       0.96354765       0.11506468E-01   0.95307787        1.0098979       0.93647157
  2.5770877        1.0768562       0.99128915       0.10601865E-01   0.98266647        1.0694332       0.98008909
  2.6077673        1.0927470        1.0070083       0.97428263E-02    1.0002605       0.96115592       0.86097549
  2.6384470        1.0897157        1.0097675       0.89032135E-02    1.0048148       0.69287382       0.59045738
  2.6691266        1.0676766       0.99917021       0.80694679E-02   0.99584392       0.31123489       0.21617421
  2.6998062        1.0275048       0.97540752       0.72391873E-02   0.97347403      -0.10760716      -0.18739783
  2.7304858       0.97101481       0.93925782       0.64185500E-02   0.93844650      -0.47682316      -0.53729985
  2.7611654       0.90088897       0.89204020       0.56194609E-02   0.89207142      -0.72202715      -0.76395447
  2.7918450       0.82053864       0.83552570       0.48569031E-02   0.83613615      -0.80146582      -0.82948436
  2.8225246       0.73389312       0.77181580       0.41466259E-02   0.77277840      -0.71647253      -0.73641937
  2.8532043       0.64512212       0.70320052       0.35031171E-02   0.70433721      -0.50850428      -0.52412524
  2.8838839       0.55831176       0.63201022       0.29377978E-02   0.63319678      -0.24396532      -0.25472150
  2.9145635       0.47712343       0.56047465       0.24574948E-02   0.56163814       0.73550200E-02   0.61273560E-02
  2.9452431       0.40446918       0.49060153       0.20634171E-02   0.49171167       0.19219313       0.20682722
  2.9759227       0.34224079       0.42408339       0.17510000E-02   0.42514025       0.28532477       0.32049443
  3.0066023       0.29113980       0.36223806       0.15109255E-02   0.36325834       0.29003688       0.34644783
