# data from ifeffit
#------------------------
#   r         chir_mag       chir_mag      chir_re       chir_re
  2.5157285        1.0578973       0.11411992E-01   0.87343934       0.54082901E-02
  2.5464081        1.1096112       0.10621716E-01    1.0761260       0.67320228E-02
  2.5770877        1.1435324       0.98298658E-02    1.1357875       0.76833460E-02
  2.6077673        1.1572481       0.89950704E-02    1.0222899       0.81176173E-02
  2.6384470        1.1495798       0.81038811E-02   0.74396684       0.79390965E-02
  2.6691266        1.1206466       0.71680119E-02   0.34961708       0.71574783E-02
  2.6998062        1.0718267       0.62153521E-02  -0.82023055E-01   0.58965657E-02
  2.7304858        1.0056273       0.52794574E-02  -0.46255712       0.43569674E-02
  2.7611654       0.92548328       0.43912206E-02  -0.71761172       0.27594830E-02
  2.7918450       0.83550301       0.35747100E-02  -0.80630132       0.12983266E-02
  2.8225246       0.74018032       0.28472251E-02  -0.73032582       0.11685649E-03
  2.8532043       0.64409074       0.22218457E-02  -0.53019192      -0.70016508E-03
  2.8838839       0.55158457       0.17096235E-02  -0.27047476      -0.11295909E-02
  2.9145635       0.46648305       0.13182835E-02  -0.19610392E-01  -0.12116786E-02
  2.9452431       0.39177570       0.10454646E-02   0.16885273      -0.10430522E-02
  2.9759227       0.32931983       0.87080072E-03   0.26776125      -0.75208255E-03
  3.0066023       0.27958462       0.76083172E-03   0.27800565      -0.45926629E-03
  3.0372820       0.24157607       0.68933467E-03   0.22151468      -0.23934050E-03
  3.0679616       0.21313207       0.64980383E-03   0.12969840      -0.10565341E-03
  3.0986412       0.19159790       0.64506688E-03   0.32312554E-01  -0.25550629E-04
  3.1293208       0.17455756       0.66779911E-03  -0.49571792E-01   0.44072222E-04
  3.1600004       0.16023424       0.69743315E-03  -0.10538298       0.12473520E-03
  3.1906800       0.14748286       0.71470020E-03  -0.13299705       0.20770993E-03
  3.2213597       0.13558097       0.71505789E-03  -0.13534964       0.27084569E-03
  3.2520393       0.12404594       0.71289225E-03  -0.11780935       0.30469767E-03
  3.2827189       0.11257706       0.73414295E-03  -0.86972415E-01   0.32640114E-03
  3.3133985       0.10109744       0.79593758E-03  -0.50188476E-01   0.37068084E-03
  3.3440781       0.89822348E-01   0.89029796E-03  -0.14732621E-01   0.46560516E-03
  3.3747577       0.79300593E-01   0.99203410E-03   0.13790042E-01   0.61207115E-03
  3.4054373       0.70413117E-01   0.10769185E-02   0.33137615E-01   0.78230354E-03
  3.4361170       0.64304056E-01   0.11319196E-02   0.44972369E-01   0.93753652E-03
  3.4667966       0.62136212E-01   0.11569773E-02   0.53440952E-01   0.10507097E-02
  3.4974762       0.64596849E-01   0.11616265E-02   0.62204746E-01   0.11173853E-02
  3.5281558       0.71504334E-01   0.11580886E-02   0.71491991E-01   0.11484976E-02
  3.5588354       0.81966567E-01   0.11533734E-02   0.77000924E-01   0.11531420E-02
  3.5895150       0.94804398E-01   0.11450153E-02   0.71574360E-01   0.11267584E-02
  3.6201947       0.10878902       0.11234970E-02   0.49000189E-01   0.10545552E-02
  3.6508743       0.12270817       0.10790359E-02   0.80193816E-02   0.92684226E-03
  3.6815539       0.13540837       0.10077512E-02  -0.45585378E-01   0.75295271E-03
  3.7122335       0.14585948       0.91430645E-03  -0.99984322E-01   0.56156601E-03
  3.7429131       0.15322521       0.81069684E-03  -0.14100113       0.38629999E-03
  3.7735927       0.15691570       0.71169166E-03  -0.15690317       0.24735748E-03
  3.8042724       0.15661123       0.62793752E-03  -0.14233916       0.14320910E-03
  3.8349520       0.15226214       0.56003154E-03  -0.10008159       0.58315203E-04
  3.8656316       0.14408449       0.49898269E-03  -0.40262646E-01  -0.19806628E-04
  3.8963112       0.13258466       0.43367725E-03   0.22345438E-01  -0.88160519E-04
  3.9269908       0.11866139       0.35879645E-03   0.72080401E-01  -0.13065120E-03
  3.9576704       0.10385543       0.27881513E-03   0.96275610E-01  -0.13352914E-03
  3.9883500       0.90796526E-01   0.21033565E-03   0.88529997E-01  -0.10159751E-03
  4.0190297       0.83498270E-01   0.18224367E-03   0.50678069E-01  -0.61867683E-04
  4.0497093       0.85934477E-01   0.20735989E-03  -0.71605151E-02  -0.50642007E-04
  4.0803889       0.98615038E-01   0.25962422E-03  -0.68783102E-01  -0.92395957E-04
  4.1110685       0.11837018       0.31568751E-03  -0.11605836      -0.18489766E-03
  4.1417481       0.14151311       0.36770372E-03  -0.13394722      -0.30035908E-03
  4.1724277       0.16536677       0.41497428E-03  -0.11478940      -0.40090403E-03
