# data: k, chik, win, fit_k, fit_chik, path1, path2
#------------------------
#   k         chik       win       k         chik      chik      chik
  14.500000       0.30564452E-02   0.25636266        14.500000      -0.28052057E-03   -1.4991047       -2.0011758
  14.550000      -0.23595038E-01   0.24973502        14.550000      -0.21146312E-02   -1.4990094       -2.0031052
  14.600000      -0.11462933E-01   0.24316961        14.600000      -0.35965612E-02   -1.4989577       -2.0046389
  14.650000       0.11557778E-02   0.23666762        14.650000      -0.46358793E-02   -1.4989479       -2.0056879
  14.700000       0.43747399E-02   0.23023018        14.700000      -0.51859989E-02   -1.4989770       -2.0062090
  14.750000       0.96326188E-01   0.22385840        14.750000      -0.52442583E-02   -1.4990407       -2.0062036
  14.800000       0.60638646E-01   0.21755335        14.800000      -0.48484460E-02   -1.4991337       -2.0057147
  14.850000       0.20615949E-01   0.21131608        14.850000      -0.40703416E-02   -1.4992503       -2.0048200
  14.900000       0.38841418E-01   0.20514760        14.900000      -0.30070382E-02   -1.4993843       -2.0036228
  14.950000       0.27369868E-02   0.19904890        14.950000      -0.17709317E-02   -1.4995292       -2.0022418
  15.000000       0.29686847E-01   0.19302093        15.000000      -0.47888754E-03   -1.4996792       -2.0007997
  15.050000       0.49925921E-01   0.18706459        15.050000       0.76117298E-03   -1.4998294       -1.9994094
  15.100000       0.44704553E-01   0.18118077        15.100000       0.18506149E-02   -1.4999738       -1.9981756
  15.150000       0.51061056E-01   0.17537032        15.150000       0.27095024E-02   -1.5001074       -1.9971831
  15.200000       0.43349483E-01   0.16963406        15.200000       0.32829260E-02   -1.5002261       -1.9964910
  15.250000       0.38513945E-01   0.16397278        15.250000       0.35435623E-02   -1.5003267       -1.9961298
  15.300000       0.52918800E-01   0.15838721        15.300000       0.34917899E-02   -1.5004068       -1.9961014
  15.350000       0.45351330E-01   0.15287809        15.350000       0.31535426E-02   -1.5004652       -1.9963813
  15.400000       0.97942050E-02   0.14744609        15.400000       0.25762515E-02   -1.5005014       -1.9969223
  15.450000      -0.15878260E-01   0.14209186        15.450000       0.18233566E-02   -1.5005160       -1.9976606
  15.500000      -0.19761935E-01   0.13681602        15.500000       0.96794328E-03   -1.5005102       -1.9985219
  15.550000      -0.17138685E-01   0.13161915        15.550000       0.86090966E-04   -1.5004859       -1.9994280
  15.600000      -0.29534973E-01   0.12650180        15.600000      -0.74950479E-03   -1.5004455       -2.0003040
  15.650000      -0.45168047E-01   0.12146449        15.650000      -0.14751420E-02   -1.5003920       -2.0010831
  15.700000      -0.60790365E-01   0.11650770        15.700000      -0.20405591E-02   -1.5003285       -2.0017120
  15.750000      -0.53975500E-01   0.11163187        15.750000      -0.24119523E-02   -1.5002582       -2.0021538
  15.800000      -0.74147416E-01   0.10683742        15.800000      -0.25734318E-02   -1.5001843       -2.0023892
