# data: k, chik, win, fit_k, fit_chik, path1, path2
#------------------------
#   k         chik       win       k         chik      chik      chik
  3.3000000      -0.40678872       0.52423143        3.3000000      -0.72515532E-01   -1.5085745       -2.0639410
  3.3500000      -0.10691372       0.53209160        3.3500000       0.12560885       -1.3790279       -1.9953633
  3.4000000       0.24080834       0.53995068        3.4000000       0.32559830       -1.2541330       -1.9202687
  3.4500000       0.56769576       0.54780667        3.4500000       0.52208188       -1.1364428       -1.8414753
  3.5000000       0.87333761       0.55565752        3.5000000       0.70715051       -1.0286032       -1.7642463
  3.5500000        1.1376745       0.56350120        3.5500000       0.87354030      -0.93256172       -1.6938980
  3.6000000        1.3213211       0.57133566        3.6000000        1.0142489      -0.85029635       -1.6354547
  3.6500000        1.4397989       0.57915885        3.6500000        1.1206439      -0.78457102       -1.5947851
  3.7000000        1.4888290       0.58696871        3.7000000        1.1868407      -0.73668573       -1.5764736
  3.7500000        1.4466247       0.59476317        3.7500000        1.2083057      -0.70755506       -1.5841392
  3.8000000        1.3054115       0.60254015        3.8000000        1.1827822      -0.69754456       -1.6196732
  3.8500000        1.0914310       0.61029758        3.8500000        1.1116050      -0.70616169       -1.6822333
  3.9000000       0.84905285       0.61803338        3.9000000       0.99727501      -0.73277319       -1.7699518
  3.9500000       0.61142941       0.62574547        3.9500000       0.84458963      -0.77618251       -1.8792279
  4.0000000       0.39384299       0.63343177        4.0000000       0.66060293      -0.83459042       -2.0048067
  4.0500000       0.21667934       0.64109018        4.0500000       0.45407570      -0.90667248       -2.1392518
  4.1000000       0.25645854E-01   0.64871862        4.1000000       0.23514881      -0.99029464       -2.2745566
  4.1500000      -0.17351813       0.65631501        4.1500000       0.14951895E-01   -1.0829462       -2.4021019
  4.2000000      -0.36552506       0.66387725        4.2000000      -0.19402410       -1.1816693       -2.5123548
  4.2500000      -0.54147327       0.67140328        4.2500000      -0.38152210       -1.2848349       -2.5966872
  4.3000000      -0.67228767       0.67889100        4.3000000      -0.53799129       -1.3897728       -2.6482185
  4.3500000      -0.73370419       0.68633834        4.3500000      -0.65556131       -1.4939416       -2.6616197
  4.4000000      -0.71625543       0.69374323        4.4000000      -0.72753922       -1.5958929       -2.6316463
  4.4500000      -0.62790700       0.70110360        4.4500000      -0.75247020       -1.6921241       -2.5603461
  4.5000000      -0.49954581       0.70841739        4.5000000      -0.73085370       -1.7803708       -2.4504829
  4.5500000      -0.37030021       0.71568255        4.5500000      -0.66606872       -1.8586877       -2.3073810
  4.6000000      -0.27904227       0.72289702        4.6000000      -0.56403757       -1.9265506       -2.1374869
  4.6500000      -0.25110657       0.73005877        4.6500000      -0.43511930       -1.9819072       -1.9532121
  4.7000000      -0.26649031       0.73716578        4.7000000      -0.28970735       -2.0237672       -1.7659401
  4.7500000      -0.28293332       0.74421601        4.7500000      -0.13915246       -2.0515333       -1.5876192
  4.8000000      -0.26613297       0.75120746        4.8000000       0.15039504E-02   -2.0665109       -1.4319851
  4.8500000      -0.20315249       0.75813813        4.8500000       0.12378860       -2.0674298       -1.3087816
  4.9000000      -0.81049097E-01   0.76500604        4.9000000       0.21866280       -2.0547470       -1.2265902
  4.9500000       0.90671232E-01   0.77180921        4.9500000       0.27918764       -2.0292779       -1.1915344
  5.0000000       0.28882438       0.77854569        5.0000000       0.29836413       -1.9930085       -1.2086274
  5.0500000       0.45522116       0.78521352        5.0500000       0.27645607       -1.9461774       -1.2773665
  5.1000000       0.52394456       0.79181078        5.1000000       0.21564397       -1.8903354       -1.3940206
  5.1500000       0.47040234       0.79833555        5.1500000       0.12104799       -1.8272723       -1.5516797
  5.2000000       0.31052525       0.80478595        5.2000000      -0.42012832E-03   -1.7587479       -1.7416723
  5.2500000       0.73978886E-01   0.81116009        5.2500000      -0.13711910       -1.6864220       -1.9506971
  5.3000000      -0.20981964       0.81745610        5.3000000      -0.27741415       -1.6123439       -2.1650702
  5.3500000      -0.51402770       0.82367214        5.3500000      -0.40926182       -1.5385459       -2.3707160
  5.4000000      -0.80574101       0.82980639        5.4000000      -0.52127680       -1.4669154       -2.5543614
  5.4500000       -1.0035612       0.83585705        5.4500000      -0.60140065       -1.3990719       -2.7023288
  5.5000000       -1.0461352       0.84182233        5.5000000      -0.64110981       -1.3366551       -2.8044547
  5.5500000      -0.84549942       0.84770049        5.5500000      -0.63483643       -1.2810991       -2.8537374
  5.6000000      -0.57997391       0.85348977        5.6000000      -0.57810687       -1.2325073       -2.8455996
  5.6500000      -0.22028863       0.85918847        5.6500000      -0.47385849       -1.1927221       -2.7811364
  5.7000000       0.11866951       0.86479489        5.7000000      -0.32752786       -1.1626362       -2.6648916
  5.7500000       0.34332804       0.87030738        5.7500000      -0.14739245       -1.1426505       -2.5047420
  5.8000000       0.43901192       0.87572428        5.8000000       0.58028151E-01   -1.1321302       -2.3098417
  5.8500000       0.43829413       0.88104398        5.8500000       0.27410891       -1.1315874       -2.0943036
  5.9000000       0.40593267       0.88626490        5.9000000       0.48599223       -1.1407606       -1.8732472
  5.9500000       0.39942131       0.89138547        5.9500000       0.67924286       -1.1589558       -1.6618014
  6.0000000       0.45547096       0.89640416        6.0000000       0.84154911       -1.1846124       -1.4738385
  6.0500000       0.56957838       0.90131947        6.0500000       0.95898310       -1.2175013       -1.3235156
  6.1000000       0.70675580       0.90612991        6.1000000        1.0222480       -1.2565799       -1.2211721
  6.1500000       0.82598943       0.91083404        6.1500000        1.0261000       -1.3004639       -1.1734362
  6.2000000       0.91860522       0.91543045        6.2000000       0.96927246       -1.3476851       -1.1830425
  6.2500000       0.95900641       0.91991774        6.2500000       0.85458001       -1.3967400       -1.2486800
  6.3000000       0.91952105       0.92429457        6.3000000       0.68873239       -1.4461373       -1.3651303
  6.3500000       0.80559609       0.92855960        6.3500000       0.48187410       -1.4944436       -1.5236823
  6.4000000       0.61408891       0.93271156        6.4000000       0.24688388       -1.5403253       -1.7127908
  6.4500000       0.33695471       0.93674917        6.4500000      -0.15140364E-02   -1.5825856       -1.9189284
  6.5000000       0.13940221E-01   0.94067122        6.5000000      -0.25019021       -1.6212740       -2.1289162
  6.5500000      -0.35039833       0.94447651        6.5500000      -0.48164961       -1.6550749       -2.3265747
  6.6000000      -0.70695811       0.94816389        6.6000000      -0.68048370       -1.6828866       -2.4975971
  6.6500000       -1.0251701       0.95173223        6.6500000      -0.83459274       -1.7041732       -2.6304196
  6.7000000       -1.2191749       0.95518045        6.7000000      -0.93504836       -1.7186220       -2.7164263
  6.7500000       -1.2843937       0.95850750        6.7500000      -0.97665472       -1.7261438       -2.7505109
  6.8000000       -1.2383607       0.96171235        6.8000000      -0.95823657       -1.7268652       -2.7313714
  6.8500000       -1.0620235       0.96479404        6.8500000      -0.88263876       -1.7211152       -2.6615236
  6.9000000      -0.80542408       0.96775163        6.9000000      -0.75644276       -1.7094053       -2.5470374
  6.9500000      -0.52491428       0.97058419        6.9500000      -0.58942653       -1.6924047       -2.3970218
  7.0000000      -0.23554629       0.97329088        7.0000000      -0.39337167       -1.6714654       -2.2219062
  7.0500000       0.27464327E-01   0.97587085        7.0500000      -0.18228120       -1.6468861       -2.0353951
  7.1000000       0.22535024       0.97832333        7.1000000       0.29118871E-01   -1.6192727       -1.8516084
  7.1500000       0.38031091       0.98064755        7.1500000       0.22680502       -1.5895943       -1.6836006
