# data from ifeffit
#------------------------
#   r         pdf       fit
  2.2282000        0.0000000       0.63788153E-76
  2.2284000        0.0000000       0.81610107E-76
  2.2286000        0.0000000       0.10439375E-75
  2.2288000        0.0000000       0.13351550E-75
  2.2290000        0.0000000       0.17073223E-75
  2.2292000        0.0000000       0.21828605E-75
  2.2294000        0.0000000       0.27903782E-75
  2.2296000        0.0000000       0.35663733E-75
  2.2298000        0.0000000       0.45574001E-75
  2.2300000        0.0000000       0.58228306E-75
  2.2302000        0.0000000       0.74383702E-75
  2.2304000        0.0000000       0.95005348E-75
  2.2306000        0.0000000       0.12132351E-74
  2.2308000        0.0000000       0.15490609E-74
  2.2310000        0.0000000       0.19775098E-74
  2.2312000        0.0000000       0.25240355E-74
  2.2314000        0.0000000       0.32210606E-74
  2.2316000        0.0000000       0.41098783E-74
  2.2318000        0.0000000       0.52430701E-74
  2.2320000        0.0000000       0.66875802E-74
  2.2322000        0.0000000       0.85286242E-74
  2.2324000        0.0000000       0.10874657E-73
  2.2326000        0.0000000       0.13863690E-73
  2.2328000        0.0000000       0.17671308E-73
  2.2330000        0.0000000       0.22520872E-73
  2.2332000        0.0000000       0.28696462E-73
  2.2334000        0.0000000       0.36559322E-73
  2.2336000        0.0000000       0.46568746E-73
  2.2338000        0.0000000       0.59308589E-73
  2.2340000        0.0000000       0.75520921E-73
  2.2342000        0.0000000       0.96148739E-73
  2.2344000        0.0000000       0.12239017E-72
  2.2346000        0.0000000       0.15576724E-72
  2.2348000        0.0000000       0.19821310E-72
  2.2350000        0.0000000       0.25218265E-72
  2.2352000        0.0000000       0.32079285E-72
  2.2354000        0.0000000       0.40800060E-72
  2.2356000        0.0000000       0.51882818E-72
  2.2358000        0.0000000       0.65964906E-72
  2.2360000        0.0000000       0.83855002E-72
  2.2362000        0.0000000       0.10657900E-71
  2.2364000        0.0000000       0.13543812E-71
  2.2366000        0.0000000       0.17208256E-71
  2.2368000        0.0000000       0.21860466E-71
  2.2370000        0.0000000       0.27765699E-71
  2.2372000        0.0000000       0.35260173E-71
  2.2374000        0.0000000       0.44769980E-71
  2.2376000        0.0000000       0.56835017E-71
  2.2378000        0.0000000       0.72139268E-71
  2.2380000        0.0000000       0.91549104E-71
  2.2382000        0.0000000       0.11616174E-70
  2.2384000        0.0000000       0.14736649E-70
  2.2386000        0.0000000       0.18692225E-70
  2.2388000        0.0000000       0.23705543E-70
  2.2390000        0.0000000       0.30058371E-70
  2.2392000        0.0000000       0.38107251E-70
  2.2394000        0.0000000       0.48303258E-70
  2.2396000        0.0000000       0.61216975E-70
  2.2398000        0.0000000       0.77570026E-70
  2.2400000        0.0000000       0.98274908E-70
  2.2402000        0.0000000       0.12448528E-69
  2.2404000        0.0000000       0.15765944E-69
  2.2406000        0.0000000       0.19964047E-69
  2.2408000        0.0000000       0.25275737E-69
  2.2410000        0.0000000       0.31995265E-69
  2.2412000        0.0000000       0.40494330E-69
  2.2414000        0.0000000       0.51242389E-69
  2.2416000        0.0000000       0.64832259E-69
  2.2418000        0.0000000       0.82012409E-69
  2.2420000        0.0000000       0.10372767E-68
  2.2422000        0.0000000       0.13117054E-68
  2.2424000        0.0000000       0.16584586E-68
  2.2426000        0.0000000       0.20965228E-68
  2.2428000        0.0000000       0.26498493E-68
  2.2430000        0.0000000       0.33486472E-68
  2.2432000        0.0000000       0.42310120E-68
  2.2434000        0.0000000       0.53449758E-68
  2.2436000        0.0000000       0.67510896E-68
  2.2438000        0.0000000       0.85256722E-68
  2.2440000        0.0000000       0.10764901E-67
  2.2442000        0.0000000       0.13589956E-67
  2.2444000        0.0000000       0.17153499E-67
  2.2446000        0.0000000       0.21647812E-67
  2.2448000        0.0000000       0.27315047E-67
  2.2450000        0.0000000       0.34460098E-67
  2.2452000        0.0000000       0.43466804E-67
  2.2454000        0.0000000       0.54818298E-67
  2.2456000        0.0000000       0.69122592E-67
  2.2458000        0.0000000       0.87144727E-67
  2.2460000        0.0000000       0.10984716E-66
  2.2462000        0.0000000       0.13844052E-66
  2.2464000        0.0000000       0.17444729E-66
  2.2466000        0.0000000       0.21978187E-66
  2.2468000        0.0000000       0.27685103E-66
  2.2470000        0.0000000       0.34868001E-66
  2.2472000        0.0000000       0.43907084E-66
  2.2474000        0.0000000       0.55280094E-66
  2.2476000        0.0000000       0.69587235E-66
  2.2478000        0.0000000       0.87582437E-66
  2.2480000        0.0000000       0.11021256E-65
  2.2482000        0.0000000       0.13866659E-65
  2.2484000        0.0000000       0.17443723E-65
  2.2486000        0.0000000       0.21939825E-65
  2.2488000        0.0000000       0.27590131E-65
  2.2490000        0.0000000       0.34689738E-65
  2.2492000        0.0000000       0.43608877E-65
  2.2494000        0.0000000       0.54811972E-65
  2.2496000        0.0000000       0.68881497E-65
  2.2498000        0.0000000       0.86547866E-65
  2.2500000        0.0000000       0.10872685E-64
  2.2502000        0.0000000       0.13656639E-64
  2.2504000        0.0000000       0.17150530E-64
  2.2506000        0.0000000       0.21534652E-64
  2.2508000        0.0000000       0.27034903E-64
  2.2510000        0.0000000       0.33934262E-64
  2.2512000        0.0000000       0.42587156E-64
  2.2514000        0.0000000       0.53437423E-64
  2.2516000        0.0000000       0.67040771E-64
  2.2518000        0.0000000       0.84092861E-64
  2.2520000        0.0000000       0.10546440E-63
  2.2522000        0.0000000       0.13224501E-63
  2.2524000        0.0000000       0.16579802E-63
  2.2526000        0.0000000       0.20782893E-63
  2.2528000        0.0000000       0.26047095E-63
  2.2530000        0.0000000       0.32639180E-63
  2.2532000        0.0000000       0.40892702E-63
  2.2534000        0.0000000       0.51224651E-63
  2.2536000        0.0000000       0.64156232E-63
  2.2538000        0.0000000       0.80338796E-63
  2.2540000        0.0000000       0.10058621E-62
  2.2542000        0.0000000       0.12591520E-62
  2.2544000        0.0000000       0.15759577E-62
  2.2546000        0.0000000       0.19721392E-62
  2.2548000        0.0000000       0.24675002E-62
  2.2550000        0.0000000       0.30867644E-62
  2.2552000        0.0000000       0.38607919E-62
  2.2554000        0.0000000       0.48280965E-62
  2.2556000        0.0000000       0.60367351E-62
  2.2558000        0.0000000       0.75466627E-62
  2.2560000        0.0000000       0.94326645E-62
  2.2562000        0.0000000       0.11788009E-61
  2.2564000        0.0000000       0.14728998E-61
  2.2566000        0.0000000       0.18400624E-61
  2.2568000        0.0000000       0.22983625E-61
  2.2570000        0.0000000       0.28703255E-61
  2.2572000        0.0000000       0.35840199E-61
  2.2574000        0.0000000       0.44744154E-61
  2.2576000        0.0000000       0.55850726E-61
  2.2578000        0.0000000       0.69702440E-61
  2.2580000        0.0000000       0.86974867E-61
  2.2582000        0.0000000       0.10850911E-60
  2.2584000        0.0000000       0.13535218E-60
  2.2586000        0.0000000       0.16880720E-60
  2.2588000        0.0000000       0.21049573E-60
  2.2590000        0.0000000       0.26243530E-60
  2.2592000        0.0000000       0.32713563E-60
  2.2594000        0.0000000       0.40771818E-60
  2.2596000        0.0000000       0.50806461E-60
  2.2598000        0.0000000       0.63300108E-60
  2.2600000        0.0000000       0.78852703E-60
  2.2602000        0.0000000       0.98209919E-60
  2.2604000        0.0000000       0.12229839E-59
  2.2606000        0.0000000       0.15226946E-59
  2.2608000        0.0000000       0.18955335E-59
  2.2610000        0.0000000       0.23592653E-59
  2.2612000        0.0000000       0.29359504E-59
  2.2614000        0.0000000       0.36529800E-59
  2.2616000        0.0000000       0.45443576E-59
  2.2618000        0.0000000       0.56522888E-59
  2.2620000        0.0000000       0.70291502E-59
  2.2622000        0.0000000       0.87399296E-59
  2.2624000        0.0000000       0.10865249E-58
  2.2626000        0.0000000       0.13505108E-58
  2.2628000        0.0000000       0.16783521E-58
  2.2630000        0.0000000       0.20854257E-58
  2.2632000        0.0000000       0.25907948E-58
  2.2634000        0.0000000       0.32180881E-58
  2.2636000        0.0000000       0.39965889E-58
  2.2638000        0.0000000       0.49625816E-58
  2.2640000        0.0000000       0.61610181E-58
  2.2642000        0.0000000       0.76475784E-58
  2.2644000        0.0000000       0.94912198E-58
  2.2646000        0.0000000       0.11777328E-57
  2.2648000        0.0000000       0.14611611E-57
  2.2650000        0.0000000       0.18124920E-57
  2.2652000        0.0000000       0.22479194E-57
  2.2654000        0.0000000       0.27874815E-57
  2.2656000        0.0000000       0.34559694E-57
  2.2658000        0.0000000       0.42840488E-57
  2.2660000        0.0000000       0.53096461E-57
  2.2662000        0.0000000       0.65796588E-57
  2.2664000        0.0000000       0.81520682E-57
  2.2666000        0.0000000       0.10098547E-56
  2.2668000        0.0000000       0.12507674E-56
  2.2670000        0.0000000       0.15488912E-56
  2.2672000        0.0000000       0.19177495E-56
  2.2674000        0.0000000       0.23740479E-56
  2.2676000        0.0000000       0.29384189E-56
  2.2678000        0.0000000       0.36363409E-56
  2.2680000        0.0000000       0.44992704E-56
  2.2682000        0.0000000       0.55660388E-56
  2.2684000        0.0000000       0.68845729E-56
  2.2686000        0.0000000       0.85140151E-56
  2.2688000        0.0000000       0.10527335E-55
  2.2690000        0.0000000       0.13014549E-55
  2.2692000        0.0000000       0.16086681E-55
  2.2694000        0.0000000       0.19880641E-55
  2.2696000        0.0000000       0.24565238E-55
  2.2698000        0.0000000       0.30348567E-55
  2.2700000        0.0000000       0.37487116E-55
  2.2702000        0.0000000       0.46296964E-55
  2.2704000        0.0000000       0.57167557E-55
  2.2706000        0.0000000       0.70578656E-55
  2.2708000        0.0000000       0.87121184E-55
  2.2710000        0.0000000       0.10752286E-54
  2.2712000        0.0000000       0.13267969E-54
  2.2714000        0.0000000       0.16369474E-54
  2.2716000        0.0000000       0.20192573E-54
  2.2718000        0.0000000       0.24904350E-54
  2.2720000        0.0000000       0.30710395E-54
  2.2722000        0.0000000       0.37863628E-54
  2.2724000        0.0000000       0.46675146E-54
  2.2726000        0.0000000       0.57527537E-54
  2.2728000        0.0000000       0.70891230E-54
  2.2730000        0.0000000       0.87344562E-54
  2.2732000        0.0000000       0.10759841E-53
  2.2734000        0.0000000       0.13252643E-53
  2.2736000        0.0000000       0.16320211E-53
  2.2738000        0.0000000       0.20094429E-53
  2.2740000        0.0000000       0.24737294E-53
  2.2742000        0.0000000       0.30447761E-53
  2.2744000        0.0000000       0.37470127E-53
  2.2746000        0.0000000       0.46104318E-53
  2.2748000        0.0000000       0.56718492E-53
  2.2750000        0.0000000       0.69764483E-53
  2.2752000        0.0000000       0.85796726E-53
  2.2754000        0.0000000       0.10549544E-52
  2.2756000        0.0000000       0.12969502E-52
  2.2758000        0.0000000       0.15941880E-52
  2.2760000        0.0000000       0.19592164E-52
  2.2762000        0.0000000       0.24074204E-52
  2.2764000        0.0000000       0.29576588E-52
  2.2766000        0.0000000       0.36330456E-52
  2.2768000        0.0000000       0.44619044E-52
  2.2770000        0.0000000       0.54789371E-52
  2.2772000        0.0000000       0.67266525E-52
  2.2774000        0.0000000       0.82571146E-52
  2.2776000        0.0000000       0.10134078E-51
  2.2778000        0.0000000       0.12435603E-51
  2.2780000        0.0000000       0.15257243E-51
  2.2782000        0.0000000       0.18715952E-51
  2.2784000        0.0000000       0.22954847E-51
  2.2786000        0.0000000       0.28149036E-51
  2.2788000        0.0000000       0.34512727E-51
  2.2790000        0.0000000       0.42307920E-51
  2.2792000        0.0000000       0.51855007E-51
  2.2794000        0.0000000       0.63545727E-51
  2.2796000        0.0000000       0.77858969E-51
  2.2798000        0.0000000       0.95380057E-51
  2.2800000        0.0000000       0.11682429E-50
  2.2802000        0.0000000       0.14306564E-50
  2.2804000        0.0000000       0.17517179E-50
  2.2806000        0.0000000       0.21444683E-50
  2.2808000        0.0000000       0.26248333E-50
  2.2810000        0.0000000       0.32122583E-50
  2.2812000        0.0000000       0.39304821E-50
  2.2814000        0.0000000       0.48084801E-50
  2.2816000        0.0000000       0.58816132E-50
  2.2818000        0.0000000       0.71930277E-50
  2.2820000        0.0000000       0.87953603E-50
  2.2822000        0.0000000       0.10752815E-49
  2.2824000        0.0000000       0.13143691E-49
  2.2826000        0.0000000       0.16063462E-49
  2.2828000        0.0000000       0.19628522E-49
  2.2830000        0.0000000       0.23980745E-49
  2.2832000        0.0000000       0.29293036E-49
  2.2834000        0.0000000       0.35776078E-49
  2.2836000        0.0000000       0.43686545E-49
  2.2838000        0.0000000       0.53337090E-49
  2.2840000        0.0000000       0.65108481E-49
  2.2842000        0.0000000       0.79464370E-49
  2.2844000        0.0000000       0.96969232E-49
  2.2846000        0.0000000       0.11831018E-48
  2.2848000        0.0000000       0.14432345E-48
  2.2850000        0.0000000       0.17602660E-48
  2.2852000        0.0000000       0.21465765E-48
  2.2854000        0.0000000       0.26172249E-48
  2.2856000        0.0000000       0.31905266E-48
  2.2858000        0.0000000       0.38887527E-48
  2.2860000        0.0000000       0.47389804E-48
  2.2862000        0.0000000       0.57741244E-48
  2.2864000        0.0000000       0.70341884E-48
  2.2866000        0.0000000       0.85677836E-48
  2.2868000        0.0000000       0.10433971E-47
  2.2870000        0.0000000       0.12704494E-47
  2.2872000        0.0000000       0.15466490E-47
  2.2874000        0.0000000       0.18825772E-47
  2.2876000        0.0000000       0.22910811E-47
  2.2878000        0.0000000       0.27877560E-47
  2.2880000        0.0000000       0.33915302E-47
  2.2882000        0.0000000       0.41253733E-47
  2.2884000        0.0000000       0.50171543E-47
  2.2886000        0.0000000       0.61006807E-47
  2.2888000        0.0000000       0.74169570E-47
  2.2890000        0.0000000       0.90157086E-47
  2.2892000        0.0000000       0.10957226E-46
  2.2894000        0.0000000       0.13314595E-46
  2.2896000        0.0000000       0.16176404E-46
  2.2898000        0.0000000       0.19650003E-46
  2.2900000        0.0000000       0.23865465E-46
  2.2902000        0.0000000       0.28980362E-46
  2.2904000        0.0000000       0.35185550E-46
  2.2906000        0.0000000       0.42712159E-46
  2.2908000        0.0000000       0.51840041E-46
  2.2910000        0.0000000       0.62907986E-46
  2.2912000        0.0000000       0.76326063E-46
  2.2914000        0.0000000       0.92590531E-46
  2.2916000        0.0000000       0.11230185E-45
  2.2918000        0.0000000       0.13618645E-45
  2.2920000        0.0000000       0.16512298E-45
  2.2922000        0.0000000       0.20017405E-45
  2.2924000        0.0000000       0.24262450E-45
  2.2926000        0.0000000       0.29402766E-45
  2.2928000        0.0000000       0.35626104E-45
  2.2930000        0.0000000       0.43159373E-45
  2.2932000        0.0000000       0.52276746E-45
  2.2934000        0.0000000       0.63309459E-45
  2.2936000        0.0000000       0.76657614E-45
  2.2938000        0.0000000       0.92804412E-45
  2.2940000        0.0000000       0.11233332E-44
  2.2942000        0.0000000       0.13594874E-44
  2.2944000        0.0000000       0.16450095E-44
  2.2946000        0.0000000       0.19901613E-44
  2.2948000        0.0000000       0.24073252E-44
  2.2950000        0.0000000       0.29114403E-44
  2.2952000        0.0000000       0.35205268E-44
  2.2954000        0.0000000       0.42563179E-44
  2.2956000        0.0000000       0.51450203E-44
  2.2958000        0.0000000       0.62182297E-44
  2.2960000        0.0000000       0.75140324E-44
  2.2962000        0.0000000       0.90783307E-44
  2.2964000        0.0000000       0.10966438E-43
  2.2966000        0.0000000       0.13244994E-43
  2.2968000        0.0000000       0.15994277E-43
  2.2970000        0.0000000       0.19310970E-43
  2.2972000        0.0000000       0.23311499E-43
  2.2974000        0.0000000       0.28136038E-43
  2.2976000        0.0000000       0.33953325E-43
  2.2978000        0.0000000       0.40966450E-43
  2.2980000        0.0000000       0.49419799E-43
  2.2982000        0.0000000       0.59607410E-43
  2.2984000        0.0000000       0.71882995E-43
  2.2986000        0.0000000       0.86671979E-43
  2.2988000        0.0000000       0.10448595E-42
  2.2990000        0.0000000       0.12594001E-42
  2.2992000        0.0000000       0.15177357E-42
  2.2994000        0.0000000       0.18287538E-42
  2.2996000        0.0000000       0.22031343E-42
  2.2998000        0.0000000       0.26537091E-42
  2.3000000        0.0000000       0.31958936E-42
  2.3002000        0.0000000       0.38482026E-42
  2.3004000        0.0000000       0.46328708E-42
  2.3006000        0.0000000       0.55765946E-42
  2.3008000        0.0000000       0.67114228E-42
  2.3010000        0.0000000       0.80758224E-42
  2.3012000        0.0000000       0.97159563E-42
  2.3014000        0.0000000       0.11687214E-41
  2.3016000        0.0000000       0.14056042E-41
  2.3018000        0.0000000       0.16902142E-41
  2.3020000        0.0000000       0.20321093E-41
  2.3022000        0.0000000       0.24427501E-41
  2.3024000        0.0000000       0.29358755E-41
  2.3026000        0.0000000       0.35279536E-41
  2.3028000        0.0000000       0.42387200E-41
  2.3030000        0.0000000       0.50918222E-41
  2.3032000        0.0000000       0.61155901E-41
  2.3034000        0.0000000       0.73439572E-41
  2.3036000        0.0000000       0.88175624E-41
  2.3038000        0.0000000       0.10585066E-40
  2.3040000        0.0000000       0.12704725E-40
  2.3042000        0.0000000       0.15246268E-40
  2.3044000        0.0000000       0.18293150E-40
  2.3046000        0.0000000       0.21945227E-40
  2.3048000        0.0000000       0.26321964E-40
  2.3050000        0.0000000       0.31566260E-40
  2.3052000        0.0000000       0.37849018E-40
  2.3054000        0.0000000       0.45374591E-40
  2.3056000        0.0000000       0.54387296E-40
  2.3058000        0.0000000       0.65179174E-40
  2.3060000        0.0000000       0.78099251E-40
  2.3062000        0.0000000       0.93564590E-40
  2.3064000        0.0000000       0.11207347E-39
  2.3066000        0.0000000       0.13422108E-39
  2.3068000        0.0000000       0.16071828E-39
  2.3070000        0.0000000       0.19241391E-39
  2.3072000        0.0000000       0.23032139E-39
  2.3074000        0.0000000       0.27565047E-39
  2.3076000        0.0000000       0.32984494E-39
  2.3078000        0.0000000       0.39462768E-39
  2.3080000        0.0000000       0.47205424E-39
  2.3082000        0.0000000       0.56457663E-39
  2.3084000        0.0000000       0.67511930E-39
  2.3086000        0.0000000       0.80716958E-39
  2.3088000        0.0000000       0.96488528E-39
  2.3090000        0.0000000       0.11532228E-38
  2.3092000        0.0000000       0.13780893E-38
  2.3094000        0.0000000       0.16465244E-38
  2.3096000        0.0000000       0.19669151E-38
  2.3098000        0.0000000       0.23492524E-38
  2.3100000        0.0000000       0.28054360E-38
  2.3102000        0.0000000       0.33496367E-38
  2.3104000        0.0000000       0.39987263E-38
  2.3106000        0.0000000       0.47727895E-38
  2.3108000        0.0000000       0.56957316E-38
  2.3110000        0.0000000       0.67960003E-38
  2.3112000        0.0000000       0.81074429E-38
  2.3114000        0.0000000       0.96703243E-38
  2.3116000        0.0000000       0.11532536E-37
  2.3118000        0.0000000       0.13751030E-37
  2.3120000        0.0000000       0.16393522E-37
  2.3122000        0.0000000       0.19540512E-37
  2.3124000        0.0000000       0.23287682E-37
  2.3126000        0.0000000       0.27748736E-37
  2.3128000        0.0000000       0.33058777E-37
  2.3130000        0.0000000       0.39378303E-37
  2.3132000        0.0000000       0.46897948E-37
  2.3134000        0.0000000       0.55844104E-37
  2.3136000        0.0000000       0.66485577E-37
  2.3138000        0.0000000       0.79141485E-37
  2.3140000        0.0000000       0.94190604E-37
  2.3142000        0.0000000       0.11208245E-36
  2.3144000        0.0000000       0.13335038E-36
  2.3146000        0.0000000       0.15862716E-36
  2.3148000        0.0000000       0.18866332E-36
  2.3150000        0.0000000       0.22434894E-36
  2.3152000        0.0000000       0.26673943E-36
  2.3154000        0.0000000       0.31708598E-36
  2.3156000        0.0000000       0.37687168E-36
  2.3158000        0.0000000       0.44785414E-36
  2.3160000        0.0000000       0.53211601E-36
  2.3162000        0.0000000       0.63212459E-36
  2.3164000        0.0000000       0.75080246E-36
  2.3166000        0.0000000       0.89161079E-36
  2.3168000        0.0000000       0.10586480E-35
  2.3170000        0.0000000       0.12567662E-35
  2.3172000        0.0000000       0.14917087E-35
  2.3174000        0.0000000       0.17702728E-35
  2.3176000        0.0000000       0.21005015E-35
  2.3178000        0.0000000       0.24919104E-35
  2.3180000        0.0000000       0.29557554E-35
  2.3182000        0.0000000       0.35053485E-35
  2.3184000        0.0000000       0.41564307E-35
  2.3186000        0.0000000       0.49276121E-35
  2.3188000        0.0000000       0.58408913E-35
  2.3190000        0.0000000       0.69222673E-35
  2.3192000        0.0000000       0.82024623E-35
  2.3194000        0.0000000       0.97177731E-35
  2.3196000        0.0000000       0.11511075E-34
  2.3198000        0.0000000       0.13633008E-34
  2.3200000        0.0000000       0.16143366E-34
  2.3202000        0.0000000       0.19112748E-34
  2.3204000        0.0000000       0.22624491E-34
  2.3206000        0.0000000       0.26776952E-34
  2.3208000        0.0000000       0.31686195E-34
  2.3210000        0.0000000       0.37489157E-34
  2.3212000        0.0000000       0.44347373E-34
  2.3214000        0.0000000       0.52451359E-34
  2.3216000        0.0000000       0.62025780E-34
  2.3218000        0.0000000       0.73335517E-34
  2.3220000        0.0000000       0.86692817E-34
  2.3222000        0.0000000       0.10246570E-33
  2.3224000        0.0000000       0.12108784E-33
  2.3226000        0.0000000       0.14307020E-33
  2.3228000        0.0000000       0.16901470E-33
  2.3230000        0.0000000       0.19963028E-33
  2.3232000        0.0000000       0.23575178E-33
  2.3234000        0.0000000       0.27836214E-33
  2.3236000        0.0000000       0.32861849E-33
  2.3238000        0.0000000       0.38788275E-33
  2.3240000        0.0000000       0.45775760E-33
  2.3242000        0.0000000       0.54012875E-33
  2.3244000        0.0000000       0.63721452E-33
  2.3246000        0.0000000       0.75162405E-33
  2.3248000        0.0000000       0.88642562E-33
  2.3250000        0.0000000       0.10452269E-32
  2.3252000        0.0000000       0.12322689E-32
  2.3254000        0.0000000       0.14525364E-32
  2.3256000        0.0000000       0.17118874E-32
  2.3258000        0.0000000       0.20172048E-32
  2.3260000        0.0000000       0.23765745E-32
  2.3262000        0.0000000       0.27994938E-32
  2.3264000        0.0000000       0.32971160E-32
  2.3266000        0.0000000       0.38825367E-32
  2.3268000        0.0000000       0.45711297E-32
  2.3270000        0.0000000       0.53809401E-32
  2.3272000        0.0000000       0.63331446E-32
  2.3274000        0.0000000       0.74525910E-32
  2.3276000        0.0000000       0.87684293E-32
  2.3278000        0.0000000       0.10314851E-31
  2.3280000        0.0000000       0.12131954E-31
  2.3282000        0.0000000       0.14266753E-31
  2.3284000        0.0000000       0.16774370E-31
  2.3286000        0.0000000       0.19719409E-31
  2.3288000        0.0000000       0.23177587E-31
  2.3290000        0.0000000       0.27237621E-31
  2.3292000        0.0000000       0.32003447E-31
  2.3294000        0.0000000       0.37596809E-31
  2.3296000        0.0000000       0.44160283E-31
  2.3298000        0.0000000       0.51860815E-31
  2.3300000        0.0000000       0.60893855E-31
  2.3302000        0.0000000       0.71488178E-31
  2.3304000        0.0000000       0.83911527E-31
  2.3306000        0.0000000       0.98477191E-31
  2.3308000        0.0000000       0.11555169E-30
  2.3310000        0.0000000       0.13556376E-30
  2.3312000        0.0000000       0.15901480E-30
  2.3314000        0.0000000       0.18649110E-30
  2.3316000        0.0000000       0.21867811E-30
  2.3318000        0.0000000       0.25637705E-30
  2.3320000        0.0000000       0.30052432E-30
  2.3322000        0.0000000       0.35221409E-30
  2.3324000        0.0000000       0.41272470E-30
  2.3326000        0.0000000       0.48354938E-30
  2.3328000        0.0000000       0.56643208E-30
  2.3330000        0.0000000       0.66340918E-30
  2.3332000        0.0000000       0.77685820E-30
  2.3334000        0.0000000       0.90955437E-30
  2.3336000        0.0000000       0.10647367E-29
  2.3338000        0.0000000       0.12461846E-29
  2.3340000        0.0000000       0.14583078E-29
  2.3342000        0.0000000       0.17062499E-29
  2.3344000        0.0000000       0.19960101E-29
  2.3346000        0.0000000       0.23345837E-29
  2.3348000        0.0000000       0.27301266E-29
  2.3350000        0.0000000       0.31921462E-29
  2.3352000        0.0000000       0.37317229E-29
  2.3354000        0.0000000       0.43617688E-29
  2.3356000        0.0000000       0.50973274E-29
  2.3358000        0.0000000       0.59559226E-29
  2.3360000        0.0000000       0.69579644E-29
  2.3362000        0.0000000       0.81272196E-29
  2.3364000        0.0000000       0.94913593E-29
  2.3366000        0.0000000       0.11082595E-28
  2.3368000        0.0000000       0.12938418E-28
  2.3370000        0.0000000       0.15102453E-28
  2.3372000        0.0000000       0.17625460E-28
  2.3374000        0.0000000       0.20566484E-28
  2.3376000        0.0000000       0.23994200E-28
  2.3378000        0.0000000       0.27988469E-28
  2.3380000        0.0000000       0.32642141E-28
  2.3382000        0.0000000       0.38063154E-28
  2.3384000        0.0000000       0.44376958E-28
  2.3386000        0.0000000       0.51729339E-28
  2.3388000        0.0000000       0.60289678E-28
  2.3390000        0.0000000       0.70254741E-28
  2.3392000        0.0000000       0.81853064E-28
  2.3394000        0.0000000       0.95350039E-28
  2.3396000        0.0000000       0.11105381E-27
  2.3398000        0.0000000       0.12932207E-27
  2.3400000        0.0000000       0.15057001E-27
  2.3402000        0.0000000       0.17527944E-27
  2.3404000        0.0000000       0.20400935E-27
  2.3406000        0.0000000       0.23740826E-27
  2.3408000        0.0000000       0.27622832E-27
  2.3410000        0.0000000       0.32134179E-27
  2.3412000        0.0000000       0.37376003E-27
  2.3414000        0.0000000       0.43465545E-27
  2.3416000        0.0000000       0.50538698E-27
  2.3418000        0.0000000       0.58752939E-27
  2.3420000        0.0000000       0.68290733E-27
  2.3422000        0.0000000       0.79363460E-27
  2.3424000        0.0000000       0.92215950E-27
  2.3426000        0.0000000       0.10713173E-26
  2.3428000        0.0000000       0.12443910E-26
  2.3430000        0.0000000       0.14451809E-26
  2.3432000        0.0000000       0.16780859E-26
  2.3434000        0.0000000       0.19481967E-26
  2.3436000        0.0000000       0.22614036E-26
  2.3438000        0.0000000       0.26245205E-26
  2.3440000        0.0000000       0.30454291E-26
  2.3442000        0.0000000       0.35332441E-26
  2.3444000        0.0000000       0.40985047E-26
  2.3446000        0.0000000       0.47533946E-26
  2.3448000        0.0000000       0.55119965E-26
  2.3450000        0.0000000       0.63905852E-26
  2.3452000        0.0000000       0.74079656E-26
  2.3454000        0.0000000       0.85858624E-26
  2.3456000        0.0000000       0.99493686E-26
  2.3458000        0.0000000       0.11527463E-25
  2.3460000        0.0000000       0.13353608E-25
  2.3462000        0.0000000       0.15466432E-25
  2.3464000        0.0000000       0.17910523E-25
  2.3466000        0.0000000       0.20737339E-25
  2.3468000        0.0000000       0.24006256E-25
  2.3470000        0.0000000       0.27785773E-25
  2.3472000        0.0000000       0.32154899E-25
  2.3474000        0.0000000       0.37204756E-25
  2.3476000        0.0000000       0.43040410E-25
  2.3478000        0.0000000       0.49782990E-25
  2.3480000        0.0000000       0.57572115E-25
  2.3482000        0.0000000       0.66568693E-25
  2.3484000        0.0000000       0.76958131E-25
  2.3486000        0.0000000       0.88954029E-25
  2.3488000        0.0000000       0.10280243E-24
  2.3490000        0.0000000       0.11878668E-24
  2.3492000        0.0000000       0.13723307E-24
  2.3494000        0.0000000       0.15851721E-24
  2.3496000        0.0000000       0.18307148E-24
  2.3498000        0.0000000       0.21139350E-24
  2.3500000        0.0000000       0.24405582E-24
  2.3502000        0.0000000       0.28171720E-24
  2.3504000        0.0000000       0.32513534E-24
  2.3506000        0.0000000       0.37518169E-24
  2.3508000        0.0000000       0.43285828E-24
  2.3510000        0.0000000       0.49931712E-24
  2.3512000        0.0000000       0.57588241E-24
  2.3514000        0.0000000       0.66407603E-24
  2.3516000        0.0000000       0.76564673E-24
  2.3518000        0.0000000       0.88260360E-24
  2.3520000        0.0000000       0.10172544E-23
  2.3522000        0.0000000       0.11722497E-23
  2.3524000        0.0000000       0.13506328E-23
  2.3526000        0.0000000       0.15558979E-23
  2.3528000        0.0000000       0.17920557E-23
  2.3530000        0.0000000       0.20637096E-23
  2.3532000        0.0000000       0.23761414E-23
  2.3534000        0.0000000       0.27354112E-23
  2.3536000        0.0000000       0.31484702E-23
  2.3538000        0.0000000       0.36232908E-23
  2.3540000        0.0000000       0.41690147E-23
  2.3542000        0.0000000       0.47961229E-23
  2.3544000        0.0000000       0.55166294E-23
  2.3546000        0.0000000       0.63443035E-23
  2.3548000        0.0000000       0.72949232E-23
  2.3550000        0.0000000       0.83865653E-23
