# data from ifeffit
#------------------------
#   r         pdf       fit
  2.0302000        0.0000000       0.76148456-218
  2.0304000        0.0000000       0.11515879-217
  2.0306000        0.0000000       0.17412444-217
  2.0308000        0.0000000       0.26323826-217
  2.0310000        0.0000000       0.39789174-217
  2.0312000        0.0000000       0.60132251-217
  2.0314000        0.0000000       0.90860816-217
  2.0316000        0.0000000       0.13726899-216
  2.0318000        0.0000000       0.20734563-216
  2.0320000        0.0000000       0.31314390-216
  2.0322000        0.0000000       0.47284595-216
  2.0324000        0.0000000       0.71387475-216
  2.0326000        0.0000000       0.10775837-215
  2.0328000        0.0000000       0.16263223-215
  2.0330000        0.0000000       0.24540808-215
  2.0332000        0.0000000       0.37025228-215
  2.0334000        0.0000000       0.55851297-215
  2.0336000        0.0000000       0.84235549-215
  2.0338000        0.0000000       0.12702354-214
  2.0340000        0.0000000       0.19151360-214
  2.0342000        0.0000000       0.28869660-214
  2.0344000        0.0000000       0.43512132-214
  2.0346000        0.0000000       0.65570075-214
  2.0348000        0.0000000       0.98793334-214
  2.0350000        0.0000000       0.14882512-213
  2.0352000        0.0000000       0.22415656-213
  2.0354000        0.0000000       0.33756182-213
  2.0356000        0.0000000       0.50825518-213
  2.0358000        0.0000000       0.76513301-213
  2.0360000        0.0000000       0.11516452-212
  2.0362000        0.0000000       0.17331139-212
  2.0364000        0.0000000       0.26077270-212
  2.0366000        0.0000000       0.39230495-212
  2.0368000        0.0000000       0.59008163-212
  2.0370000        0.0000000       0.88741553-212
  2.0372000        0.0000000       0.13343464-211
  2.0374000        0.0000000       0.20060271-211
  2.0376000        0.0000000       0.30153077-211
  2.0378000        0.0000000       0.45316160-211
  2.0380000        0.0000000       0.68092802-211
  2.0382000        0.0000000       0.10230007-210
  2.0384000        0.0000000       0.15366584-210
  2.0386000        0.0000000       0.23078380-210
  2.0388000        0.0000000       0.34654527-210
  2.0390000        0.0000000       0.52028493-210
  2.0392000        0.0000000       0.78099663-210
  2.0394000        0.0000000       0.11721514-209
  2.0396000        0.0000000       0.17589151-209
  2.0398000        0.0000000       0.26389593-209
  2.0400000        0.0000000       0.39586503-209
  2.0402000        0.0000000       0.59372895-209
  2.0404000        0.0000000       0.89034011-209
  2.0406000        0.0000000       0.13349048-208
  2.0408000        0.0000000       0.20011114-208
  2.0410000        0.0000000       0.29992930-208
  2.0412000        0.0000000       0.44946217-208
  2.0414000        0.0000000       0.67343244-208
  2.0416000        0.0000000       0.10088383-207
  2.0418000        0.0000000       0.15110391-207
  2.0420000        0.0000000       0.22628538-207
  2.0422000        0.0000000       0.33881601-207
  2.0424000        0.0000000       0.50722189-207
  2.0426000        0.0000000       0.75920433-207
  2.0428000        0.0000000       0.11361770-206
  2.0430000        0.0000000       0.17000432-206
  2.0432000        0.0000000       0.25433174-206
  2.0434000        0.0000000       0.38042390-206
  2.0436000        0.0000000       0.56893370-206
  2.0438000        0.0000000       0.85071121-206
  2.0440000        0.0000000       0.12718307-205
  2.0442000        0.0000000       0.19010917-205
  2.0444000        0.0000000       0.28412108-205
  2.0446000        0.0000000       0.42455161-205
  2.0448000        0.0000000       0.63428459-205
  2.0450000        0.0000000       0.94746782-205
  2.0452000        0.0000000       0.14150488-204
  2.0454000        0.0000000       0.21130267-204
  2.0456000        0.0000000       0.31547517-204
  2.0458000        0.0000000       0.47092530-204
  2.0460000        0.0000000       0.70285462-204
  2.0462000        0.0000000       0.10488312-203
  2.0464000        0.0000000       0.15648487-203
  2.0466000        0.0000000       0.23343487-203
  2.0468000        0.0000000       0.34816551-203
  2.0470000        0.0000000       0.51919726-203
  2.0472000        0.0000000       0.77411534-203
  2.0474000        0.0000000       0.11539994-202
  2.0476000        0.0000000       0.17200146-202
  2.0478000        0.0000000       0.25632167-202
  2.0480000        0.0000000       0.38191361-202
  2.0482000        0.0000000       0.56894671-202
  2.0484000        0.0000000       0.84743165-202
  2.0486000        0.0000000       0.12620147-201
  2.0488000        0.0000000       0.18791037-201
  2.0490000        0.0000000       0.27974591-201
  2.0492000        0.0000000       0.41639295-201
  2.0494000        0.0000000       0.61968306-201
  2.0496000        0.0000000       0.92206708-201
  2.0498000        0.0000000       0.13717723-200
  2.0500000        0.0000000       0.20404606-200
  2.0502000        0.0000000       0.30345968-200
  2.0504000        0.0000000       0.45123256-200
  2.0506000        0.0000000       0.67085165-200
  2.0508000        0.0000000       0.99719293-200
  2.0510000        0.0000000       0.14820352-199
  2.0512000        0.0000000       0.22022392-199
  2.0514000        0.0000000       0.32718779-199
  2.0516000        0.0000000       0.48602244-199
  2.0518000        0.0000000       0.72184207-199
  2.0520000        0.0000000       0.10719010-198
  2.0522000        0.0000000       0.15914531-198
  2.0524000        0.0000000       0.23624336-198
  2.0526000        0.0000000       0.35063237-198
  2.0528000        0.0000000       0.52032064-198
  2.0530000        0.0000000       0.77199898-198
  2.0532000        0.0000000       0.11452203-197
  2.0534000        0.0000000       0.16985877-197
  2.0536000        0.0000000       0.25189152-197
  2.0538000        0.0000000       0.37347864-197
  2.0540000        0.0000000       0.55366187-197
  2.0542000        0.0000000       0.82063511-197
  2.0544000        0.0000000       0.12161362-196
  2.0546000        0.0000000       0.18019426-196
  2.0548000        0.0000000       0.26694780-196
  2.0550000        0.0000000       0.39540154-196
  2.0552000        0.0000000       0.58556756-196
  2.0554000        0.0000000       0.86704631-196
  2.0556000        0.0000000       0.12836133-195
  2.0558000        0.0000000       0.18999964-195
  2.0560000        0.0000000       0.28118876-195
  2.0562000        0.0000000       0.41607323-195
  2.0564000        0.0000000       0.61555695-195
  2.0566000        0.0000000       0.91052805-195
  2.0568000        0.0000000       0.13466200-194
  2.0570000        0.0000000       0.19912391-194
  2.0572000        0.0000000       0.29439363-194
  2.0574000        0.0000000       0.43517109-194
  2.0576000        0.0000000       0.64315892-194
  2.0578000        0.0000000       0.95039292-194
  2.0580000        0.0000000       0.14041539-193
  2.0582000        0.0000000       0.20742108-193
  2.0584000        0.0000000       0.30634986-193
  2.0586000        0.0000000       0.45238597-193
  2.0588000        0.0000000       0.66792422-193
  2.0590000        0.0000000       0.98598860-193
  2.0592000        0.0000000       0.14552688-192
  2.0594000        0.0000000       0.21475397-192
  2.0596000        0.0000000       0.31685883-192
  2.0598000        0.0000000       0.46743050-192
  2.0600000        0.0000000       0.68943753-192
  2.0602000        0.0000000       0.10167155-191
  2.0604000        0.0000000       0.14990999-191
  2.0606000        0.0000000       0.22099800-191
  2.0608000        0.0000000       0.32574125-191
  2.0610000        0.0000000       0.48004705-191
  2.0612000        0.0000000       0.70732903-191
  2.0614000        0.0000000       0.10420434-190
  2.0616000        0.0000000       0.15348882-190
  2.0618000        0.0000000       0.22604470-190
  2.0620000        0.0000000       0.33284232-190
  2.0622000        0.0000000       0.49001502-190
  2.0624000        0.0000000       0.72128496-190
  2.0626000        0.0000000       0.10615269-189
  2.0628000        0.0000000       0.15620026-189
  2.0630000        0.0000000       0.22980482-189
  2.0632000        0.0000000       0.33803616-189
  2.0634000        0.0000000       0.49715730-189
  2.0636000        0.0000000       0.73105678-189
  2.0638000        0.0000000       0.10748182-188
  2.0640000        0.0000000       0.15799582-188
  2.0642000        0.0000000       0.23221100-188
  2.0644000        0.0000000       0.34122953-188
  2.0646000        0.0000000       0.50134544-188
  2.0648000        0.0000000       0.73646849-188
  2.0650000        0.0000000       0.10816778-187
  2.0652000        0.0000000       0.15884307-187
  2.0654000        0.0000000       0.23321972-187
  2.0656000        0.0000000       0.34236463-187
  2.0658000        0.0000000       0.50250358-187
  2.0660000        0.0000000       0.73742196-187
  2.0662000        0.0000000       0.10819809-186
  2.0664000        0.0000000       0.15872662-186
  2.0666000        0.0000000       0.23281265-186
  2.0668000        0.0000000       0.34142083-186
  2.0670000        0.0000000       0.50061065-186
  2.0672000        0.0000000       0.73389984-186
  2.0674000        0.0000000       0.10757222-185
  2.0676000        0.0000000       0.15764860-185
  2.0678000        0.0000000       0.23099720-185
  2.0680000        0.0000000       0.33841528-185
  2.0682000        0.0000000       0.49570106-185
  2.0684000        0.0000000       0.72596613-185
  2.0686000        0.0000000       0.10630153-184
  2.0688000        0.0000000       0.15562855-184
  2.0690000        0.0000000       0.22780628-184
  2.0692000        0.0000000       0.33340242-184
  2.0694000        0.0000000       0.48786362-184
  2.0696000        0.0000000       0.71376418-184
  2.0698000        0.0000000       0.10440894-183
  2.0700000        0.0000000       0.15270290-183
  2.0702000        0.0000000       0.22329732-183
  2.0704000        0.0000000       0.32647232-183
  2.0706000        0.0000000       0.47723892-183
  2.0708000        0.0000000       0.69751248-183
  2.0710000        0.0000000       0.10192829-182
  2.0712000        0.0000000       0.14892381-182
  2.0714000        0.0000000       0.21755054-182
  2.0716000        0.0000000       0.31774800-182
  2.0718000        0.0000000       0.46401510-182
  2.0720000        0.0000000       0.67749804-182
  2.0722000        0.0000000       0.98903260-182
  2.0724000        0.0000000       0.14435765-181
  2.0726000        0.0000000       0.21066658-181
  2.0728000        0.0000000       0.30738177-181
  2.0730000        0.0000000       0.44842230-181
  2.0732000        0.0000000       0.65406806-181
  2.0734000        0.0000000       0.95386148-181
  2.0736000        0.0000000       0.13908308-180
  2.0738000        0.0000000       0.20276358-180
  2.0740000        0.0000000       0.29555086-180
  2.0742000        0.0000000       0.43072604-180
  2.0744000        0.0000000       0.62761985-180
  2.0746000        0.0000000       0.91436342-180
  2.0748000        0.0000000       0.13318878-179
  2.0750000        0.0000000       0.19397381-179
  2.0752000        0.0000000       0.28245234-179
  2.0754000        0.0000000       0.41121968-179
  2.0756000        0.0000000       0.59858969-179
  2.0758000        0.0000000       0.87118665-179
  2.0760000        0.0000000       0.12677097-178
  2.0762000        0.0000000       0.18443998-178
  2.0764000        0.0000000       0.26829771-178
  2.0766000        0.0000000       0.39021636-178
  2.0768000        0.0000000       0.56744089-178
  2.0770000        0.0000000       0.82501608-178
  2.0772000        0.0000000       0.11993083-177
  2.0774000        0.0000000       0.17431144-177
  2.0776000        0.0000000       0.25330723-177
  2.0778000        0.0000000       0.36804075-177
  2.0780000        0.0000000       0.53465159-177
  2.0782000        0.0000000       0.77655541-177
  2.0784000        0.0000000       0.11277184-176
  2.0786000        0.0000000       0.16374028-176
  2.0788000        0.0000000       0.23770430-176
  2.0790000        0.0000000       0.34502071-176
  2.0792000        0.0000000       0.50070269-176
  2.0794000        0.0000000       0.72650954-176
  2.0796000        0.0000000       0.10539727-175
  2.0798000        0.0000000       0.15287766-175
  2.0800000        0.0000000       0.22171002-175
  2.0802000        0.0000000       0.32147947-175
  2.0804000        0.0000000       0.46606643-175
  2.0806000        0.0000000       0.67556792-175
  2.0808000        0.0000000       0.97907702-175
  2.0810000        0.0000000       0.14187025-174
  2.0812000        0.0000000       0.20553815-174
  2.0814000        0.0000000       0.29772834-174
  2.0816000        0.0000000       0.43119583-174
  2.0818000        0.0000000       0.62438945-174
  2.0820000        0.0000000       0.90398911-174
  2.0822000        0.0000000       0.13085716-173
  2.0824000        0.0000000       0.18939059-173
  2.0826000        0.0000000       0.27406018-173
  2.0828000        0.0000000       0.39651545-173
  2.0830000        0.0000000       0.57358915-173
  2.0832000        0.0000000       0.82959929-173
  2.0834000        0.0000000       0.11996718-172
  2.0836000        0.0000000       0.17345354-172
  2.0838000        0.0000000       0.25074399-172
  2.0840000        0.0000000       0.36241362-172
  2.0842000        0.0000000       0.52372720-172
  2.0844000        0.0000000       0.75671507-172
  2.0846000        0.0000000       0.10931664-171
  2.0848000        0.0000000       0.15789442-171
  2.0850000        0.0000000       0.22802053-171
  2.0852000        0.0000000       0.32923632-171
  2.0854000        0.0000000       0.47530038-171
  2.0856000        0.0000000       0.68604914-171
  2.0858000        0.0000000       0.99007687-171
  2.0860000        0.0000000       0.14285954-170
  2.0862000        0.0000000       0.20609915-170
  2.0864000        0.0000000       0.29728281-170
  2.0866000        0.0000000       0.42873608-170
  2.0868000        0.0000000       0.61821124-170
  2.0870000        0.0000000       0.89127228-170
  2.0872000        0.0000000       0.12847261-169
  2.0874000        0.0000000       0.18515579-169
  2.0876000        0.0000000       0.26680299-169
  2.0878000        0.0000000       0.38438881-169
  2.0880000        0.0000000       0.55370368-169
  2.0882000        0.0000000       0.79746331-169
  2.0884000        0.0000000       0.11483404-168
  2.0886000        0.0000000       0.16533212-168
  2.0888000        0.0000000       0.23799642-168
  2.0890000        0.0000000       0.34253919-168
  2.0892000        0.0000000       0.49292035-168
  2.0894000        0.0000000       0.70920185-168
  2.0896000        0.0000000       0.10202101-167
  2.0898000        0.0000000       0.14673577-167
  2.0900000        0.0000000       0.21101289-167
  2.0902000        0.0000000       0.30339516-167
  2.0904000        0.0000000       0.43614904-167
  2.0906000        0.0000000       0.62688494-167
  2.0908000        0.0000000       0.90088092-167
  2.0910000        0.0000000       0.12944151-166
  2.0912000        0.0000000       0.18595437-166
  2.0914000        0.0000000       0.26709505-166
  2.0916000        0.0000000       0.38357645-166
  2.0918000        0.0000000       0.55076287-166
  2.0920000        0.0000000       0.79068593-166
  2.0922000        0.0000000       0.11349324-165
  2.0924000        0.0000000       0.16287807-165
  2.0926000        0.0000000       0.23371247-165
  2.0928000        0.0000000       0.33529554-165
  2.0930000        0.0000000       0.48095041-165
  2.0932000        0.0000000       0.68976231-165
  2.0934000        0.0000000       0.98906596-165
  2.0936000        0.0000000       0.14180048-164
  2.0938000        0.0000000       0.20326226-164
  2.0940000        0.0000000       0.29131473-164
  2.0942000        0.0000000       0.41744069-164
  2.0944000        0.0000000       0.59807238-164
  2.0946000        0.0000000       0.85672087-164
  2.0948000        0.0000000       0.12270198-163
  2.0950000        0.0000000       0.17570756-163
  2.0952000        0.0000000       0.25156832-163
  2.0954000        0.0000000       0.36012071-163
  2.0956000        0.0000000       0.51542665-163
  2.0958000        0.0000000       0.73758534-163
  2.0960000        0.0000000       0.10553204-162
  2.0962000        0.0000000       0.15096734-162
  2.0964000        0.0000000       0.21592767-162
  2.0966000        0.0000000       0.30878788-162
  2.0968000        0.0000000       0.44150825-162
  2.0970000        0.0000000       0.63116664-162
  2.0972000        0.0000000       0.90214403-162
  2.0974000        0.0000000       0.12892417-161
  2.0976000        0.0000000       0.18421266-161
  2.0978000        0.0000000       0.26316688-161
  2.0980000        0.0000000       0.37589765-161
  2.0982000        0.0000000       0.53682734-161
  2.0984000        0.0000000       0.76652492-161
  2.0986000        0.0000000       0.10943206-160
  2.0988000        0.0000000       0.15620304-160
  2.0990000        0.0000000       0.22292616-160
  2.0992000        0.0000000       0.31809675-160
  2.0994000        0.0000000       0.45382044-160
  2.0996000        0.0000000       0.64734457-160
  2.0998000        0.0000000       0.92323785-160
  2.1000000        0.0000000       0.13164923-159
  2.1002000        0.0000000       0.18769370-159
  2.1004000        0.0000000       0.26755168-159
  2.1006000        0.0000000       0.38132239-159
  2.1008000        0.0000000       0.54337991-159
  2.1010000        0.0000000       0.77417915-159
  2.1012000        0.0000000       0.11028235-158
  2.1014000        0.0000000       0.15707142-158
  2.1016000        0.0000000       0.22367372-158
  2.1018000        0.0000000       0.31846331-158
  2.1020000        0.0000000       0.45334671-158
  2.1022000        0.0000000       0.64525024-158
  2.1024000        0.0000000       0.91823219-158
  2.1026000        0.0000000       0.13064822-157
  2.1028000        0.0000000       0.18585793-157
  2.1030000        0.0000000       0.26435366-157
  2.1032000        0.0000000       0.37593798-157
  2.1034000        0.0000000       0.53453200-157
  2.1036000        0.0000000       0.75990247-157
  2.1038000        0.0000000       0.10801116-156
  2.1040000        0.0000000       0.15349917-156
  2.1042000        0.0000000       0.21810724-156
  2.1044000        0.0000000       0.30985661-156
  2.1046000        0.0000000       0.44012707-156
  2.1048000        0.0000000       0.62506046-156
  2.1050000        0.0000000       0.88754956-156
  2.1052000        0.0000000       0.12600560-155
  2.1054000        0.0000000       0.17886019-155
  2.1056000        0.0000000       0.25384240-155
  2.1058000        0.0000000       0.36019799-155
  2.1060000        0.0000000       0.51102840-155
  2.1062000        0.0000000       0.72489554-155
  2.1064000        0.0000000       0.10280931-154
  2.1066000        0.0000000       0.14578610-154
  2.1068000        0.0000000       0.20669330-154
  2.1070000        0.0000000       0.29299710-154
  2.1072000        0.0000000       0.41526649-154
  2.1074000        0.0000000       0.58846018-154
  2.1076000        0.0000000       0.83374627-154
  2.1078000        0.0000000       0.11810747-153
  2.1080000        0.0000000       0.16728133-153
  2.1082000        0.0000000       0.23688862-153
  2.1084000        0.0000000       0.33540348-153
  2.1086000        0.0000000       0.47480749-153
  2.1088000        0.0000000       0.67203856-153
  2.1090000        0.0000000       0.95103710-153
  2.1092000        0.0000000       0.13456353-152
  2.1094000        0.0000000       0.19036360-152
  2.1096000        0.0000000       0.26925704-152
  2.1098000        0.0000000       0.38078241-152
  2.1100000        0.0000000       0.53841024-152
  2.1102000        0.0000000       0.76116075-152
  2.1104000        0.0000000       0.10758856-151
  2.1106000        0.0000000       0.15204860-151
  2.1108000        0.0000000       0.21484508-151
  2.1110000        0.0000000       0.30352539-151
  2.1112000        0.0000000       0.42873730-151
  2.1114000        0.0000000       0.60550000-151
  2.1116000        0.0000000       0.85499517-151
  2.1118000        0.0000000       0.12070904-150
  2.1120000        0.0000000       0.17038941-150
  2.1122000        0.0000000       0.24047615-150
  2.1124000        0.0000000       0.33933453-150
  2.1126000        0.0000000       0.47875215-150
  2.1128000        0.0000000       0.67533624-150
  2.1130000        0.0000000       0.95248032-150
  2.1132000        0.0000000       0.13431317-149
  2.1134000        0.0000000       0.18936854-149
  2.1136000        0.0000000       0.26694616-149
  2.1138000        0.0000000       0.37624104-149
  2.1140000        0.0000000       0.53019459-149
  2.1142000        0.0000000       0.74701797-149
  2.1144000        0.0000000       0.10523336-148
  2.1146000        0.0000000       0.14821852-148
  2.1148000        0.0000000       0.20872676-148
  2.1150000        0.0000000       0.29388703-148
  2.1152000        0.0000000       0.41372271-148
  2.1154000        0.0000000       0.58232431-148
  2.1156000        0.0000000       0.81949653-148
  2.1158000        0.0000000       0.11530707-147
  2.1160000        0.0000000       0.16221515-147
  2.1162000        0.0000000       0.22816736-147
  2.1164000        0.0000000       0.32087971-147
  2.1166000        0.0000000       0.45118809-147
  2.1168000        0.0000000       0.63430718-147
  2.1170000        0.0000000       0.89159632-147
  2.1172000        0.0000000       0.12530360-146
  2.1174000        0.0000000       0.17607003-146
  2.1176000        0.0000000       0.24736257-146
  2.1178000        0.0000000       0.34746348-146
  2.1180000        0.0000000       0.48799006-146
  2.1182000        0.0000000       0.68523481-146
  2.1184000        0.0000000       0.96204302-146
  2.1186000        0.0000000       0.13504428-145
  2.1188000        0.0000000       0.18953288-145
  2.1190000        0.0000000       0.26596197-145
  2.1192000        0.0000000       0.37314803-145
  2.1194000        0.0000000       0.52344300-145
  2.1196000        0.0000000       0.73414912-145
  2.1198000        0.0000000       0.10294987-144
  2.1200000        0.0000000       0.14434241-144
  2.1202000        0.0000000       0.20234326-144
  2.1204000        0.0000000       0.28360257-144
  2.1206000        0.0000000       0.39742778-144
  2.1208000        0.0000000       0.55684318-144
  2.1210000        0.0000000       0.78007117-144
  2.1212000        0.0000000       0.10926025-143
  2.1214000        0.0000000       0.15300893-143
  2.1216000        0.0000000       0.21423874-143
  2.1218000        0.0000000       0.29992030-143
  2.1220000        0.0000000       0.41979799-143
  2.1222000        0.0000000       0.58749137-143
  2.1224000        0.0000000       0.82203300-143
  2.1226000        0.0000000       0.11500154-142
  2.1228000        0.0000000       0.16085875-142
  2.1230000        0.0000000       0.22496365-142
  2.1232000        0.0000000       0.31456228-142
  2.1234000        0.0000000       0.43977201-142
  2.1236000        0.0000000       0.61471690-142
  2.1238000        0.0000000       0.85911115-142
  2.1240000        0.0000000       0.12004669-141
  2.1242000        0.0000000       0.16771722-141
  2.1244000        0.0000000       0.23427814-141
  2.1246000        0.0000000       0.32719941-141
  2.1248000        0.0000000       0.45689866-141
  2.1250000        0.0000000       0.63790190-141
  2.1252000        0.0000000       0.89046025-141
  2.1254000        0.0000000       0.12428016-140
  2.1256000        0.0000000       0.17342661-140
  2.1258000        0.0000000       0.24196707-140
  2.1260000        0.0000000       0.33753861-140
  2.1262000        0.0000000       0.47077920-140
  2.1264000        0.0000000       0.65650451-140
  2.1266000        0.0000000       0.91534497-140
  2.1268000        0.0000000       0.12760230-139
  2.1270000        0.0000000       0.17785205-139
  2.1272000        0.0000000       0.24784825-139
  2.1274000        0.0000000       0.34533411-139
  2.1276000        0.0000000       0.48108268-139
  2.1278000        0.0000000       0.67007994-139
  2.1280000        0.0000000       0.93316864-139
  2.1282000        0.0000000       0.12993325-138
  2.1284000        0.0000000       0.18088689-138
  2.1286000        0.0000000       0.25177958-138
  2.1288000        0.0000000       0.35039715-138
  2.1290000        0.0000000       0.48755910-138
  2.1292000        0.0000000       0.67829809-138
  2.1294000        0.0000000       0.94349707-138
  2.1296000        0.0000000       0.13121611-137
  2.1298000        0.0000000       0.18245694-137
  2.1300000        0.0000000       0.25366482-137
  2.1302000        0.0000000       0.35260360-137
  2.1304000        0.0000000       0.49004942-137
  2.1306000        0.0000000       0.68095694-137
  2.1308000        0.0000000       0.94607606-137
  2.1310000        0.0000000       0.13141928-136
  2.1312000        0.0000000       0.18252349-136
  2.1314000        0.0000000       0.25345745-136
  2.1316000        0.0000000       0.35189898-136
  2.1318000        0.0000000       0.48849214-136
  2.1320000        0.0000000       0.67799078-136
  2.1322000        0.0000000       0.94084185-136
  2.1324000        0.0000000       0.13053774-135
  2.1326000        0.0000000       0.18108489-135
