# data from ifeffit
#------------------------
#   x1        y1        x2        y2
  3.9055095        3.6641869        3.3884514        3.1439366
  3.9142136        3.6642136        3.3939535        3.1439535
  3.9228644        3.6641869        3.3994218        3.1439366
  3.9314617        3.6641071        3.4048563        3.1438862
  3.9400050        3.6639740        3.4102568        3.1438020
  3.9484942        3.6637876        3.4156229        3.1436842
  3.9569288        3.6635481        3.4209546        3.1435328
  3.9653085        3.6632553        3.4262517        3.1433477
  3.9736331        3.6629093        3.4315138        3.1431290
  3.9819023        3.6625101        3.4367409        3.1428767
  3.9901156        3.6620577        3.4419327        3.1425907
  3.9982728        3.6615522        3.4470890        3.1422711
  4.0063736        3.6609935        3.4522097        3.1419180
  4.0144177        3.6603817        3.4572946        3.1415313
  4.0224048        3.6597168        3.4623434        3.1411110
  4.0303345        3.6589988        3.4673559        3.1406571
  4.0382067        3.6582278        3.4723321        3.1401697
  4.0460209        3.6574037        3.4772716        3.1396488
  4.0537769        3.6565267        3.4821743        3.1390944
  4.0614745        3.6555967        3.4870401        3.1385066
  4.0691132        3.6546138        3.4918687        3.1378853
  4.0766929        3.6535780        3.4966600        3.1372305
  4.0842132        3.6524894        3.5014137        3.1365424
  4.0916738        3.6513479        3.5061297        3.1358208
  4.0990745        3.6501537        3.5108079        3.1350660
  4.1064151        3.6489068        3.5154480        3.1342778
  4.1136951        3.6476073        3.5200499        3.1334563
  4.1209144        3.6462551        3.5246133        3.1326015
  4.1280727        3.6448503        3.5291382        3.1317135
  4.1351696        3.6433930        3.5336243        3.1307924
  4.1422050        3.6418833        3.5380716        3.1298380
  4.1491786        3.6403211        3.5424797        3.1288506
  4.1560901        3.6387066        3.5468486        3.1278300
  4.1629392        3.6370398        3.5511781        3.1267764
  4.1697257        3.6353208        3.5554680        3.1256898
  4.1764494        3.6335497        3.5597181        3.1245702
  4.1831100        3.6317265        3.5639284        3.1234177
  4.1897071        3.6298512        3.5680986        3.1222323
  4.1962407        3.6279240        3.5722286        3.1210141
  4.2027104        3.6259449        3.5763182        3.1197630
