# data: k, chik, win, fit_k, fit_chik, path1, path2
#------------------------
#   k         chik       win       k         chik      chik
  3.9000000       0.83652210       0.69613948        3.9000000       0.64559249      -0.85440751
  3.9500000       0.60241421       0.70306289        3.9500000       0.60502902      -0.89497098
  4.0000000       0.38804149       0.70994070        4.0000000       0.55207230      -0.94792770
  4.0500000       0.21349786       0.71677137        4.0500000       0.48822911       -1.0117709
  4.1000000       0.25294849E-01   0.72355332        4.1000000       0.41542851       -1.0845715
  4.1500000      -0.17092096       0.73028501        4.1500000       0.33571131       -1.1642887
  4.2000000      -0.36008804       0.73696490        4.2000000       0.25041669       -1.2495833
  4.2500000      -0.53343531       0.74359147        4.2500000       0.16170126       -1.3382987
  4.3000000      -0.66232201       0.75016319        4.3000000       0.71721932E-01   -1.4282781
  4.3500000      -0.72283973       0.75667854        4.3500000      -0.17653187E-01   -1.5176532
  4.4000000      -0.70566000       0.76313604        4.4000000      -0.10408425       -1.6040843
  4.4500000      -0.61862673       0.76953419        4.4500000      -0.18554951       -1.6855495
  4.5000000      -0.49216817       0.77587151        4.5000000      -0.26025512       -1.7602551
  4.5500000      -0.36483297       0.78214653        4.5500000      -0.32784875       -1.8278487
  4.6000000      -0.27491810       0.78835780        4.6000000      -0.38590900       -1.8859090
  4.6500000      -0.24738938       0.79450388        4.6500000      -0.43327111       -1.9332711
  4.7000000      -0.26254204       0.80058334        4.7000000      -0.46907787       -1.9690779
  4.7500000      -0.27874380       0.80659475        4.7500000      -0.49391089       -1.9939109
  4.8000000      -0.26219760       0.81253673        4.8000000      -0.50671263       -2.0067126
  4.8500000      -0.20015555       0.81840787        4.8500000      -0.50747576       -2.0074758
  4.9000000      -0.79866883E-01   0.82420681        4.9000000      -0.49654814       -1.9965481
  4.9500000       0.89307072E-01   0.82993218        4.9500000      -0.47543244       -1.9754324
  5.0000000       0.28452600       0.83558265        5.0000000      -0.44403954       -1.9440395
  5.0500000       0.44846799       0.84115689        5.0500000      -0.40333331       -1.9033333
  5.1000000       0.51618804       0.84665358        5.1000000      -0.35462678       -1.8546268
  5.1500000       0.46345170       0.85207142        5.1500000      -0.29946988       -1.7994699
  5.2000000       0.30595149       0.85740915        5.2000000      -0.23896904       -1.7389690
  5.2500000       0.72913424E-01   0.86266551        5.2500000      -0.17476898       -1.6747690
  5.3000000      -0.20668030       0.86783924        5.3000000      -0.10863003       -1.6086300
  5.3500000      -0.50638389       0.87292912        5.3500000      -0.42395232E-01   -1.5423952
  5.4000000      -0.79378480       0.87793395        5.4000000       0.22471505E-01   -1.4775285
  5.4500000      -0.98869051       0.88285255        5.4500000       0.84416859E-01   -1.4155831
  5.5000000       -1.0306545       0.88768373        5.5000000       0.14195795       -1.3580421
  5.5500000      -0.83301209       0.89242636        5.5500000       0.19456595       -1.3054340
  5.6000000      -0.57141790       0.89707931        5.6000000       0.24075054       -1.2592495
  5.6500000      -0.21706814       0.90164146        5.6500000       0.27917322       -1.2208268
  5.7000000       0.11688350       0.90611173        5.7000000       0.30911066       -1.1908893
  5.7500000       0.33822871       0.91048906        5.7500000       0.33063981       -1.1693602
  5.8000000       0.43250921       0.91477239        5.8000000       0.34331369       -1.1566863
  5.8500000       0.43180807       0.91896071        5.8500000       0.34679457       -1.1532054
  5.9000000       0.39992603       0.92305300        5.9000000       0.34134496       -1.1586550
  5.9500000       0.39350566       0.92704830        5.9500000       0.32803070       -1.1719693
  6.0000000       0.44871923       0.93094564        6.0000000       0.30710747       -1.1928925
  6.0500000       0.56113283       0.93474409        6.0500000       0.27891120       -1.2210888
  6.1000000       0.69628033       0.93844273        6.1000000       0.24448942       -1.2555106
  6.1500000       0.81375056       0.94204069        6.1500000       0.20503114       -1.2949689
  6.2000000       0.90499884       0.94553708        6.2000000       0.16182671       -1.3381733
  6.2500000       0.94480883       0.94893108        6.2500000       0.11622587       -1.3837741
  6.3000000       0.90591492       0.95222186        6.3000000       0.69595211E-01   -1.4304048
  6.3500000       0.79368341       0.95540864        6.3500000       0.23276640E-01   -1.4767234
  6.4000000       0.60501864       0.95849063        6.4000000      -0.21452093E-01   -1.5214521
  6.4500000       0.33199383       0.96146711        6.4500000      -0.63932274E-01   -1.5639323
  6.5000000       0.13764390E-01   0.96433735        6.5000000      -0.10349383       -1.6034938
  6.5500000      -0.34517823       0.96710066        6.5500000      -0.13858836       -1.6385884
  6.6000000      -0.69646220       0.96975638        6.6000000      -0.16839549       -1.6683955
  6.6500000       -1.0099692       0.97230385        6.6500000      -0.19228316       -1.6922832
  6.7000000       -1.2011151       0.97474247        6.7000000      -0.20982002       -1.7098200
  6.7500000       -1.2653787       0.97707164        6.7500000      -0.22078100       -1.7207810
  6.8000000       -1.2200368       0.97929080        6.8000000      -0.22514625       -1.7251462
  6.8500000       -1.0463212       0.98139941        6.8500000      -0.22309358       -1.7230936
  6.9000000      -0.79352392       0.98339696        6.9000000      -0.21498499       -1.7149850
  6.9500000      -0.51716767       0.98528298        6.9500000      -0.20171551       -1.7017155
  7.0000000      -0.23208370       0.98705699        7.0000000      -0.18412263       -1.6841226
  7.0500000       0.27037748E-01   0.98871857        7.0500000      -0.16210843       -1.6621084
  7.1000000       0.22201321       0.99026733        7.1000000      -0.13649180       -1.6364918
  7.1500000       0.37467014       0.99170287        7.1500000      -0.10816660       -1.6081666
  7.2000000       0.47463007       0.99302486        7.2000000      -0.78071268E-01   -1.5780713
  7.2500000       0.54118087       0.99423297        7.2500000      -0.47158138E-01   -1.5471581
  7.3000000       0.57299897       0.99532690        7.3000000      -0.16363527E-01   -1.5163635
  7.3500000       0.56945020       0.99630641        7.3500000       0.13420542E-01   -1.4865795
  7.4000000       0.53509454       0.99717123        7.4000000       0.41372104E-01   -1.4586279
  7.4500000       0.47080947       0.99792117        7.4500000       0.66921762E-01   -1.4330782
  7.5000000       0.37784712       0.99855605        7.5000000       0.89920892E-01   -1.4100791
  7.5500000       0.26675762       0.99907570        7.5500000       0.10941480       -1.3905852
  7.6000000       0.13930185       0.99948001        7.6000000       0.12497332       -1.3750267
  7.6500000       0.18901602E-01   0.99976887        7.6500000       0.13630177       -1.3636982
  7.7000000      -0.75983965E-01   0.99994221        7.7000000       0.14324474       -1.3567553
  7.7500000      -0.13343716        1.0000000        7.7500000       0.14578537       -1.3542146
  7.8000000      -0.14594000       0.99994221        7.8000000       0.14404029       -1.3559597
  7.8500000      -0.14811796       0.99976887        7.8500000       0.13825056       -1.3617494
  7.9000000      -0.17027261       0.99948001        7.9000000       0.12876904       -1.3712310
  7.9500000      -0.21299175       0.99907570        7.9500000       0.11610604       -1.3838940
  8.0000000      -0.25785279       0.99855605        8.0000000       0.10093911       -1.3990609
  8.0500000      -0.29328534       0.99792117        8.0500000       0.83464036E-01   -1.4165360
  8.1000000      -0.30842432       0.99717123        8.1000000       0.64293878E-01   -1.4357061
  8.1500000      -0.26024577       0.99630641        8.1500000       0.44068452E-01   -1.4559315
  8.2000000      -0.21296980       0.99532690        8.2000000       0.23433453E-01   -1.4765665
  8.2500000      -0.13226463       0.99423297        8.2500000       0.30202025E-02   -1.4969798
  8.3000000      -0.42954405E-01   0.99302486        8.3000000      -0.16573353E-01   -1.5165734
  8.3500000       0.10089386       0.99170287        8.3500000      -0.34799815E-01   -1.5347998
  8.4000000       0.22106484       0.99026733        8.4000000      -0.51177206E-01   -1.5511772
  8.4500000       0.31524312       0.98871857        8.4500000      -0.65327540E-01   -1.5653275
  8.5000000       0.38312799       0.98705699        8.5000000      -0.77160237E-01   -1.5771602
  8.5500000       0.40324101       0.98528298        8.5500000      -0.86195378E-01   -1.5861954
  8.6000000       0.36511007       0.98339696        8.6000000      -0.92281307E-01   -1.5922813
  8.6500000       0.28571838       0.98139941        8.6500000      -0.95363665E-01   -1.5953637
  8.7000000       0.16474221       0.97929080        8.7000000      -0.95482977E-01   -1.5954830
  8.7500000       0.25505155E-01   0.97707164        8.7500000      -0.92769304E-01   -1.5927693
  8.8000000      -0.13843350       0.97474247        8.8000000      -0.87434264E-01   -1.5874343
  8.8500000      -0.26756534       0.97230385        8.8500000      -0.79760782E-01   -1.5797608
  8.9000000      -0.33615591       0.96975638        8.9000000      -0.70091011E-01   -1.5700910
  8.9500000      -0.37482594       0.96710066        8.9500000      -0.58810380E-01   -1.5588104
  9.0000000      -0.37324457       0.96433735        9.0000000      -0.46245751E-01   -1.5462458
  9.0500000      -0.16184982       0.96146711        9.0500000      -0.32883312E-01   -1.5328833
  9.1000000      -0.18792809       0.95849063        9.1000000      -0.19174874E-01   -1.5191749
  9.1500000      -0.28934595       0.95540864        9.1500000      -0.55617955E-02   -1.5055618
  9.2000000      -0.23081419       0.95222186        9.2000000       0.75387180E-02   -1.4924613
  9.2500000      -0.16245713       0.94893108        9.2500000       0.19745897E-01   -1.4802541
  9.3000000      -0.79927324E-01   0.94553708        9.3000000       0.30725922E-01   -1.4692741
  9.3500000       0.18052503E-01   0.94204069        9.3500000       0.40200407E-01   -1.4597996
  9.4000000       0.12255473       0.93844273        9.4000000       0.47952660E-01   -1.4520473
  9.4500000       0.22620176       0.93474409        9.4500000       0.53831615E-01   -1.4461684
  9.5000000       0.30501365       0.93094564        9.5000000       0.57842197E-01   -1.4421578
  9.5500000       0.35555885       0.92704830        9.5500000       0.59845885E-01   -1.4401541
  9.6000000       0.37593986       0.92305300        9.6000000       0.59883230E-01   -1.4401168
  9.6500000       0.37294196       0.91896071        9.6500000       0.58058114E-01   -1.4419419
  9.7000000       0.35370717       0.91477239        9.7000000       0.54529165E-01   -1.4454708
  9.7500000       0.27553843       0.91048906        9.7500000       0.49501681E-01   -1.4504983
  9.8000000       0.15527004       0.90611173        9.8000000       0.43218405E-01   -1.4567816
  9.8500000       0.37857051E-01   0.90164146        9.8500000       0.35949525E-01   -1.4640505
  9.9000000      -0.78335263E-01   0.89707931        9.9000000       0.27982265E-01   -1.4720177
  9.9500000      -0.15376507       0.89242636        9.9500000       0.19610461E-01   -1.4803895
  10.000000      -0.19379925       0.88768373        10.000000       0.11077198E-01   -1.4889228
  10.050000      -0.20565540       0.88285255        10.050000       0.26458143E-02   -1.4973542
  10.100000      -0.18090234       0.87793395        10.100000      -0.54159635E-02   -1.5054160
  10.150000      -0.16244395       0.87292912        10.150000      -0.12867740E-01   -1.5128677
  10.200000      -0.14725343       0.86783924        10.200000      -0.19501880E-01   -1.5195019
  10.250000      -0.13017086       0.86266551        10.250000      -0.25148713E-01   -1.5251487
  10.300000      -0.12842614       0.85740915        10.300000      -0.29680187E-01   -1.5296802
  10.350000      -0.12330422       0.85207142        10.350000      -0.33011919E-01   -1.5330119
  10.400000      -0.11311577       0.84665358        10.400000      -0.35103657E-01   -1.5351037
  10.450000      -0.96431876E-01   0.84115689        10.450000      -0.35958216E-01   -1.5359582
  10.500000      -0.60417569E-01   0.83558265        10.500000      -0.35619013E-01   -1.5356190
  10.550000      -0.95703429E-01   0.82993218        10.550000      -0.34166355E-01   -1.5341664
  10.600000      -0.10145838       0.82420681        10.600000      -0.31712672E-01   -1.5317127
  10.650000       0.67925381E-01   0.81840787        10.650000      -0.28396922E-01   -1.5283969
  10.700000       0.90546594E-01   0.81253673        10.700000      -0.24378407E-01   -1.5243784
  10.750000       0.13883258       0.80659475        10.750000      -0.19830240E-01   -1.5198302
  10.800000       0.18337842       0.80058334        10.800000      -0.14932713E-01   -1.5149327
  10.850000       0.18018416       0.79450388        10.850000      -0.98668035E-02   -1.5098668
  10.900000       0.15716941       0.78835780        10.900000      -0.48080275E-02   -1.5048080
  10.950000       0.12484723       0.78214653        10.950000       0.79152176E-04   -1.4999208
  11.000000       0.90357693E-01   0.77587151        11.000000       0.47432695E-02   -1.4952567
  11.050000       0.53968796E-01   0.76953419        11.050000       0.90209091E-02   -1.4909791
  11.100000       0.18316885E-01   0.76313604        11.100000       0.12777838E-01   -1.4872222
  11.150000       0.70840389E-02   0.75667854        11.150000       0.15916735E-01   -1.4840833
  11.200000      -0.55889332E-02   0.75016319        11.200000       0.18366113E-01   -1.4816339
  11.250000      -0.41877204E-01   0.74359147        11.250000       0.20081402E-01   -1.4799186
  11.300000      -0.59389257E-01   0.73696490        11.300000       0.21045057E-01   -1.4789549
  11.350000      -0.72005253E-01   0.73028501        11.350000       0.21265725E-01   -1.4787343
  11.400000      -0.87669379E-01   0.72355332        11.400000       0.20776556E-01   -1.4792234
  11.450000      -0.81581456E-01   0.71677137        11.450000       0.19632765E-01   -1.4803672
  11.500000      -0.75577747E-01   0.70994070        11.500000       0.17908562E-01   -1.4820914
  11.550000      -0.78344075E-01   0.70306289        11.550000       0.15693589E-01   -1.4843064
  11.600000      -0.60105286E-01   0.69613948        11.600000       0.13089030E-01   -1.4869110
  11.650000      -0.49007670E-01   0.68917205        11.650000       0.10203524E-01   -1.4897965
  11.700000      -0.56342144E-01   0.68216217        11.700000       0.71490534E-02   -1.4928509
  11.750000       0.14319427E-01   0.67511143        11.750000       0.40369401E-02   -1.4959631
  11.800000       0.26900424E-01   0.66802142        11.800000       0.97408941E-03   -1.4990259
  11.850000       0.48733734E-01   0.66089373        11.850000      -0.19404032E-02   -1.5019404
  11.900000       0.76858427E-01   0.65372996        11.900000      -0.46181846E-02   -1.5046182
  11.950000       0.70472324E-01   0.64653172        11.950000      -0.69840395E-02   -1.5069840
  12.000000       0.45956246E-01   0.63930060        12.000000      -0.90090117E-02   -1.5090090
  12.050000       0.44193171E-01   0.63203823        12.050000      -0.10623296E-01   -1.5106233
  12.100000       0.36956020E-01   0.62474621        12.100000      -0.11786847E-01   -1.5117868
  12.150000       0.31622016E-01   0.61742617        12.150000      -0.12486079E-01   -1.5124861
  12.200000       0.11209226E-01   0.61007971        12.200000      -0.12724157E-01   -1.5127242
  12.250000      -0.28602633E-02   0.60270846        12.250000      -0.12519931E-01   -1.5125199
  12.300000      -0.15195958E-04   0.59531404        12.300000      -0.11906374E-01   -1.5119064
  12.350000      -0.12328152E-01   0.58789807        12.350000      -0.10928620E-01   -1.5109286
  12.400000      -0.35892598E-01   0.58046217        12.400000      -0.96416797E-02   -1.5096417
  12.450000      -0.41870912E-01   0.57300797        12.450000      -0.81079465E-02   -1.5081079
  12.500000      -0.31633831E-01   0.56553708        12.500000      -0.63945887E-02   -1.5063946
  12.550000      -0.27361402E-01   0.55805112        12.550000      -0.45709244E-02   -1.5045709
  12.600000      -0.36587052E-01   0.55055171        12.600000      -0.27058783E-02   -1.5027059
  12.650000      -0.40508579E-01   0.54304046        12.650000      -0.86560268E-03   -1.5008656
  12.700000      -0.31993373E-01   0.53551899        12.700000       0.88866029E-03   -1.4991113
  12.750000      -0.20068820E-01   0.52798891        12.750000       0.25024151E-02   -1.4974976
  12.800000       0.12844057E-01   0.52045182        12.800000       0.39293998E-02   -1.4960706
  12.850000       0.51879815E-01   0.51290932        12.850000       0.51326915E-02   -1.4948673
  12.900000       0.56237937E-01   0.50536302        12.900000       0.60854149E-02   -1.4939146
  12.950000       0.55515986E-01   0.49781449        12.950000       0.67710520E-02   -1.4932289
  13.000000       0.51368642E-01   0.49026534        13.000000       0.71831144E-02   -1.4928169
  13.050000       0.46241337E-01   0.48271714        13.050000       0.73238994E-02   -1.4926761
  13.100000       0.30416977E-01   0.47517147        13.100000       0.72062331E-02   -1.4927938
  13.150000       0.26936489E-01   0.46762990        13.150000       0.68512574E-02   -1.4931487
  13.200000       0.19053646E-01   0.46009398        13.200000       0.62869933E-02   -1.4937130
  13.250000       0.98550457E-02   0.45256527        13.250000       0.55469022E-02   -1.4944531
  13.300000       0.63549638E-02   0.44504532        13.300000       0.46683485E-02   -1.4953317
  13.350000       0.11818088E-01   0.43753566        13.350000       0.36910218E-02   -1.4963090
  13.400000       0.42237822E-02   0.43003782        13.400000       0.26553818E-02   -1.4973446
  13.450000       0.68589745E-04   0.42255333        13.450000       0.16011765E-02   -1.4983988
  13.500000      -0.32648234E-01   0.41508368        13.500000       0.56608674E-03   -1.4994339
  13.550000      -0.35555755E-01   0.40763039        13.550000      -0.41546645E-03   -1.5004155
  13.600000      -0.22826169E-01   0.40019494        13.600000      -0.13133164E-02   -1.5013133
  13.650000      -0.29556370E-01   0.39277880        13.650000      -0.21023261E-02   -1.5021023
  13.700000      -0.36391394E-01   0.38538345        13.700000      -0.27629305E-02   -1.5027629
  13.750000      -0.18668606E-01   0.37801034        13.750000      -0.32814421E-02   -1.5032814
  13.800000      -0.28636164E-01   0.37066092        13.800000      -0.36501243E-02   -1.5036501
  13.850000      -0.37290235E-01   0.36333661        13.850000      -0.38670470E-02   -1.5038670
  13.900000      -0.31332974E-01   0.35603883        13.900000      -0.39357431E-02   -1.5039357
  13.950000      -0.21809995E-01   0.34876899        13.950000      -0.38646933E-02   -1.5038647
  14.000000       0.11222965E-02   0.34152847        14.000000      -0.36768555E-02   -1.5036769
  14.050000       0.13531575E-02   0.33431867        14.050000      -0.33781539E-02   -1.5033782
  14.100000      -0.28677967E-01   0.32714093        14.100000      -0.29808108E-02   -1.5029808
  14.150000      -0.22069051E-01   0.31999661        14.150000      -0.25054650E-02   -1.5025055
