# data from ifeffit
#------------------------
#   r         chir_mag       chir_mag      chir_re       chir_re
  2.5157285        1.0424673       0.11799689E-01   0.86071346       0.59306129E-02
  2.5464081        1.0934029       0.11024601E-01    1.0603950       0.72578435E-02
  2.5770877        1.1267853       0.10246467E-01    1.1191672       0.81964724E-02
  2.6077673        1.1402398       0.94222278E-02    1.0073437       0.86057208E-02
  2.6384470        1.1326109       0.85358086E-02   0.73313640       0.83951230E-02
  2.6691266        1.1040247       0.75962683E-02   0.34462300       0.75795403E-02
  2.6998062        1.0558488       0.66294766E-02  -0.80625023E-01   0.62867615E-02
  2.7304858       0.99056451       0.56677901E-02  -0.45551987       0.47197328E-02
  2.7611654       0.91156584       0.47414647E-02  -0.70679002       0.30998490E-02
  2.7918450       0.82290798       0.38740056E-02  -0.79415661       0.16202321E-02
  2.8225246       0.72902215       0.30818034E-02  -0.71929599       0.42168605E-03
  2.8532043       0.63441500       0.23766611E-02  -0.52211659      -0.41444316E-03
  2.8838839       0.54336542       0.17688335E-02  -0.26623848      -0.86825810E-03
  2.9145635       0.45962479       0.12684026E-02  -0.19084808E-01  -0.98195848E-03
  2.9452431       0.38611938       0.88378405E-03   0.16658907      -0.85212277E-03
  2.9759227       0.32465703       0.61673088E-03   0.26403250      -0.60530544E-03
  3.0066023       0.27568095       0.45441016E-03   0.27412369      -0.35945573E-03
  3.0372820       0.23820419       0.36831734E-03   0.21846748      -0.18729432E-03
  3.0679616       0.21010558       0.33307034E-03   0.12800942      -0.10140778E-03
  3.0986412       0.18879120       0.33905600E-03   0.32064932E-01  -0.69412640E-04
  3.1293208       0.17190433       0.37469308E-03  -0.48606925E-01  -0.48552495E-04
  3.1600004       0.15771155       0.41797032E-03  -0.10359120      -0.16711021E-04
  3.1906800       0.14509368       0.45198662E-03  -0.13079565       0.19361005E-04
  3.2213597       0.13334192       0.47814010E-03  -0.13311269       0.40522230E-04
  3.2520393       0.12198037       0.51756377E-03  -0.11583166       0.40560058E-04
  3.2827189       0.11071029       0.59526218E-03  -0.85451296E-01   0.39355822E-04
  3.3133985       0.99451261E-01   0.71500242E-03  -0.49212528E-01   0.73646799E-04
  3.3440781       0.88408211E-01   0.85663901E-03  -0.14282760E-01   0.17292627E-03
  3.3747577       0.78112522E-01   0.99357511E-03   0.13815918E-01   0.33908958E-03
  3.4054373       0.69422622E-01   0.11059643E-02   0.32874872E-01   0.54477406E-03
  3.4361170       0.63459390E-01   0.11855895E-02   0.44531829E-01   0.75055992E-03
  3.4667966       0.61367871E-01   0.12356880E-02   0.52872072E-01   0.92720217E-03
  3.4974762       0.63828468E-01   0.12667302E-02   0.61502762E-01   0.10665082E-02
  3.5281558       0.70662624E-01   0.12890775E-02   0.70648730E-01   0.11746268E-02
  3.5588354       0.80985169E-01   0.13058968E-02   0.76071918E-01   0.12557327E-02
  3.5895150       0.93625516E-01   0.13110779E-02   0.70721218E-01   0.13010351E-02
  3.6201947       0.10736778       0.12936082E-02   0.48476715E-01   0.12926278E-02
  3.6508743       0.12101906       0.12448568E-02   0.80983067E-02   0.12188377E-02
  3.6815539       0.13345057       0.11642108E-02  -0.44716666E-01   0.10880073E-02
  3.7122335       0.14365906       0.10607936E-02  -0.98313428E-01   0.92878877E-03
  3.7429131       0.15083362       0.95081703E-03  -0.13872559       0.77586311E-03
  3.7735927       0.15440519       0.85084034E-03  -0.15439444       0.65165005E-03
  3.8042724       0.15406838       0.76912853E-03  -0.14004832       0.55770538E-03
  3.8349520       0.14978051       0.70139677E-03  -0.98419090E-01   0.48172276E-03
  3.8656316       0.14175704       0.63669047E-03  -0.39489258E-01   0.41367539E-03
  3.8963112       0.13049567       0.56967751E-03   0.22187452E-01   0.35752199E-03
  3.9269908       0.11687623       0.51027702E-03   0.71180692E-01   0.32864898E-03
  3.9576704       0.10240399       0.48290280E-03   0.95011601E-01   0.33879935E-03
  3.9883500       0.89642237E-01   0.50597276E-03   0.87374271E-01   0.38050833E-03
  4.0190297       0.82494152E-01   0.56764498E-03   0.50076501E-01   0.42399211E-03
  4.0497093       0.84831469E-01   0.63686363E-03  -0.69114835E-02   0.43032103E-03
  4.0803889       0.97191328E-01   0.68720376E-03  -0.67626701E-01   0.37259675E-03
  4.1110685       0.11652364       0.70467859E-03  -0.11420630       0.25094864E-03
  4.1417481       0.13923313       0.68658863E-03  -0.13183414       0.91732426E-04
  4.1724277       0.16268937       0.63840304E-03  -0.11296383      -0.67418828E-04
  4.2031074       0.18519246       0.57004636E-03  -0.59371692E-01  -0.19571218E-03
  4.2337870       0.20570415       0.49207073E-03   0.18603766E-01  -0.27883852E-03
  4.2644666       0.22366637       0.41268350E-03   0.10517866      -0.31628716E-03
  4.2951462       0.23887987       0.33693053E-03   0.18330805      -0.31209213E-03
  4.3258258       0.25140009       0.26865585E-03   0.23848448      -0.26865460E-03
  4.3565054       0.26143599       0.21391288E-03   0.26118947      -0.18887854E-03
  4.3871851       0.26925834       0.18131926E-03   0.24780292      -0.83368265E-04
  4.4178647       0.27513121       0.17276952E-03   0.20034684       0.25813700E-04
  4.4485443       0.27927848       0.17486769E-03   0.12557461       0.11091196E-03
  4.4792239       0.28188572       0.17024604E-03   0.33717561E-01   0.15175573E-03
  4.5099035       0.28312617       0.15013565E-03  -0.63027200E-01   0.14748053E-03
  4.5405831       0.28319048       0.11815747E-03  -0.15220741       0.11757395E-03
  4.5712627       0.28229971       0.95983242E-04  -0.22280026       0.90462704E-04
  4.6019424       0.28068874       0.11428901E-03  -0.26651692       0.87031223E-04
  4.6326220       0.27856037       0.15996409E-03  -0.27847928       0.11034062E-03
  4.6633016       0.27602505       0.20656400E-03  -0.25734287       0.14830553E-03
  4.6939812       0.27305109       0.24575641E-03  -0.20522698       0.18655534E-03
  4.7246608       0.26944967       0.28302429E-03  -0.12778828       0.22137277E-03
  4.7553404       0.26490704       0.33126008E-03  -0.34391391E-01   0.26294907E-03
  4.7860201       0.25905792       0.39968426E-03   0.62146254E-01   0.32679578E-03
  4.8166997       0.25157906       0.48560375E-03   0.14691307       0.42011128E-03
  4.8473793       0.24227656       0.57727826E-03   0.20563415       0.53346754E-03
  4.8780589       0.23114531       0.66138092E-03   0.22822129       0.64390560E-03
