# data: k, chik, win, fit_k, fit_chik, path1, path2
#------------------------
#   k         chik       win       fk         sum   p1 p2
  0.0000000        0.0000000        0.0000000        0.0000000        0.0000000       -1.5000000       -2.0000000
  0.50000000E-01   0.34605100E-03   0.92945984E-01   0.50000000E-01   0.31580427E-03   -1.5000023       -1.9996819
  0.10000000       0.12417166E-02   0.97494145E-01   0.10000000       0.12850294E-02   -1.4999914       -1.9987236
  0.15000000       0.24732657E-02   0.10212473       0.15000000       0.29712690E-02   -1.4999158       -1.9971129
  0.20000000       0.38269672E-02   0.10683742       0.20000000       0.54747018E-02   -1.4996930       -1.9948323
  0.25000000       0.50890900E-02   0.11163187       0.25000000       0.89244266E-02   -1.4992142       -1.9918614
  0.30000000       0.66205637E-02   0.11650770       0.30000000       0.13469463E-01   -1.4983502       -1.9881803
  0.35000000       0.11684780E-01   0.12146449       0.35000000       0.19269493E-01   -1.4969565       -1.9837740
  0.40000000       0.18753616E-01   0.12650180       0.40000000       0.26486142E-01   -1.4948782       -1.9786356
  0.45000000       0.28220912E-01   0.13161915       0.45000000       0.35275280E-01   -1.4919551       -1.9727696
  0.50000000       0.40426892E-01   0.13681602       0.50000000       0.45780501E-01   -1.4880247       -1.9661948
  0.55000000       0.55673038E-01   0.14209186       0.55000000       0.58392256E-01   -1.4825272       -1.9590805
  0.60000000       0.73617383E-01   0.14744609       0.60000000       0.73132622E-01   -1.4753170       -1.9515504
  0.65000000       0.95038151E-01   0.15287809       0.65000000       0.89903101E-01   -1.4664140       -1.9436829
  0.70000000       0.11924814       0.15838721       0.70000000       0.10869177       -1.4556760       -1.9356322
  0.75000000       0.14700604       0.16397278       0.75000000       0.12944395       -1.4429789       -1.9275772
  0.80000000       0.17959489       0.16963406       0.80000000       0.15209089       -1.4280504       -1.9198587
  0.85000000       0.22031637       0.17537032       0.85000000       0.17644109       -1.4099907       -1.9135683
  0.90000000       0.27247717       0.18118077       0.90000000       0.20194504       -1.3896589       -1.9083961
  0.95000000       0.32957500       0.18706459       0.95000000       0.22827270       -1.3670841       -1.9046432
  1.0000000       0.39786892       0.19302093        1.0000000       0.25506224       -1.3423335       -1.9026042
  1.0500000       0.48376691       0.19904890        1.0500000       0.28157419       -1.3151490       -1.9032768
  1.1000000       0.57540455       0.20514760        1.1000000       0.30655470       -1.2854558       -1.9079895
  1.1500000       0.66371227       0.21131608        1.1500000       0.32999753       -1.2543256       -1.9156769
  1.2000000       0.73053016       0.21755335        1.2000000       0.35144742       -1.2221020       -1.9264506
  1.2500000       0.76632372       0.22385840        1.2500000       0.37048773       -1.1891730       -1.9403392
  1.3000000       0.76971684       0.23023018        1.3000000       0.38420901       -1.1559313       -1.9598597
  1.3500000       0.73292816       0.23666762        1.3500000       0.39349714       -1.1235028       -1.9830001
  1.4000000       0.63307763       0.24316961        1.4000000       0.39876368       -1.0925864       -2.0086499
  1.4500000       0.55458816       0.24973502        1.4500000       0.39996493       -1.0638294       -2.0362057
  1.5000000       0.47163170       0.25636266        1.5000000       0.39534694       -1.0384580       -2.0661951
  1.5500000       0.35688047       0.26305134        1.5500000       0.38417086       -1.0180731       -2.0977561
  1.6000000       0.29123988       0.26979983        1.6000000       0.36928355       -1.0028823       -2.1278341
  1.6500000       0.23277185       0.27660686        1.6500000       0.35117880      -0.99356002       -2.1552612
  1.7000000       0.19476578       0.28347115        1.7000000       0.32979110      -0.99115856       -2.1790503
  1.7500000       0.13108944       0.29039137        1.7500000       0.30275154      -0.99933380       -2.1979147
  1.8000000       0.68388433E-01   0.29736617        1.8000000       0.27470340       -1.0160354       -2.2092612
  1.8500000       0.46905674E-02   0.30439418        1.8500000       0.24607692       -1.0415188       -2.2124043
  1.9000000      -0.50143084E-01   0.31147399        1.9000000       0.21709479       -1.0758794       -2.2070258
  1.9500000      -0.87599090E-01   0.31860415        1.9500000       0.18595818       -1.1241919       -2.1898500
  2.0000000      -0.10208007       0.32578322        2.0000000       0.15525132       -1.1821838       -2.1625648
  2.0500000      -0.81716364E-01   0.33300970        2.0500000       0.12439490       -1.2487165       -2.1268886
  2.1000000      -0.14799408E-01   0.34028208        2.1000000       0.92271878E-01   -1.3229380       -2.0847901
  2.1500000       0.70098040E-01   0.34759881        2.1500000       0.58450426E-01   -1.4081110       -2.0334385
  2.2000000       0.18066245       0.35495833        2.2000000       0.21451946E-01   -1.5001375       -1.9784105
  2.2500000       0.25009765       0.36235905        2.2500000      -0.21159635E-01   -1.5956993       -1.9254603
  2.3000000       0.25608951       0.36979934        2.3000000      -0.71339534E-01   -1.6929733       -1.8783663
  2.3500000       0.17428801       0.37727757        2.3500000      -0.13028846       -1.7926582       -1.8376303
  2.4000000       0.82226753E-01   0.38479208        2.4000000      -0.20357968       -1.8907384       -1.8128413
  2.4500000      -0.77917630E-01   0.39234116        2.4500000      -0.29015434       -1.9799837       -1.8101706
  2.5000000      -0.21632327       0.39992313        2.5000000      -0.38322079       -2.0539109       -1.8293099
  2.5500000      -0.35798449       0.40753623        2.5500000      -0.47864962       -2.1213161       -1.8573335
  2.6000000      -0.48530293       0.41517872        2.6000000      -0.57825692       -2.1920566       -1.8862003
  2.6500000      -0.59286181       0.42284882        2.6500000      -0.67094270       -2.2470581       -1.9238846
  2.7000000      -0.67904590       0.43054475        2.7000000      -0.75014666       -2.2831820       -1.9669646
  2.7500000      -0.75527772       0.43826467        2.7500000      -0.81341592       -2.3016196       -2.0117963
  2.8000000      -0.82312066       0.44600677        2.8000000      -0.86609046       -2.3073785       -2.0587119
