# data: r, chi, fit, path1, path2
#------------------------
#   r         chir_mag       chir_mag      chir_mag        chir_mag        chir_re       chir_re
  1.7180585       0.46917505       0.46415675       0.52385222       0.59756343E-01   0.31211557       0.30901766
  1.7487381       0.43167195       0.41908504       0.48210954       0.63044480E-01   0.15631723       0.16053858
  1.7794177       0.38665557       0.36807423       0.43476507       0.67043005E-01   0.25463393E-02   0.19686003E-01
  1.8100973       0.33574901       0.31265293       0.38357227       0.71963720E-01  -0.11919929      -0.89580449E-01
  1.8407769       0.28086439       0.25452716       0.33047037       0.78049427E-01  -0.18905209      -0.15217034
  1.8714566       0.22394577       0.19548071       0.27744872       0.85569956E-01  -0.20189539      -0.16472651
  1.9021362       0.16682266       0.13734142       0.22641248       0.94816429E-01  -0.16667602      -0.13510253
  1.9328158       0.11142079       0.82348091E-01   0.17906646       0.10609555      -0.10174393      -0.78920724E-01
  1.9634954       0.61816419E-01   0.37504761E-01   0.13683447       0.11972528      -0.28862901E-01  -0.14647776E-01
  1.9941750       0.40491394E-01   0.42722222E-01   0.10083205       0.13603213       0.31880778E-01   0.41038311E-01
  2.0248546       0.72895248E-01   0.84009213E-01   0.71909568E-01   0.15534870       0.65420743E-01   0.76207674E-01
  2.0555343       0.11920417       0.12773385       0.50744665E-01   0.17800937       0.63553657E-01   0.84468391E-01
  2.0862139       0.16616062       0.17084735       0.37723112E-01   0.20434136       0.25670176E-01   0.64036834E-01
  2.1168935       0.21149259       0.21384593       0.31962600E-01   0.23464936      -0.41743056E-01   0.16131842E-01
  2.1475731       0.25467519       0.25778439       0.30520023E-01   0.26919297      -0.12719527      -0.56227257E-01
  2.1782527       0.29608571       0.30371748       0.30284153E-01   0.30815754      -0.21765646      -0.14838609
  2.2089323       0.33703712       0.35245969       0.29686600E-01   0.35161975      -0.30208271      -0.25321405
  2.2396120       0.37973757       0.40446754       0.28361258E-01   0.39950989      -0.37309487      -0.35985852
  2.2702916       0.42689371       0.45980249       0.26453963E-01   0.45157298      -0.42562285      -0.45297884
  2.3009712       0.48094532       0.51814225       0.24244063E-01   0.50733136      -0.45321310      -0.51329432
  2.3316508       0.54321123       0.57881163       0.21984994E-01   0.56605241      -0.44459419      -0.51996468
  2.3623304       0.61335152       0.64081565       0.19852039E-01   0.62672643      -0.38361807      -0.45482893
  2.3930100       0.68935350       0.70287130       0.17940574E-01   0.68806063      -0.25422977      -0.30792551
  2.4236896       0.76793116       0.76344393       0.16284491E-01   0.74849545      -0.49327117E-01  -0.83071727E-01
  2.4543693       0.84508618       0.82079779       0.14877018E-01   0.80624794       0.22020011       0.19825656
  2.4850489       0.91663648       0.87306802       0.13686092E-01   0.85938431       0.52084887       0.49667340
  2.5157285       0.97862960       0.91835623       0.12664524E-01   0.90591949       0.79957690       0.75969779
  2.5464081        1.0276317       0.95484553       0.11758476E-01   0.94393756       0.99495356       0.93178964
  2.5770877        1.0609146       0.98092562       0.10916131E-01   0.97172279        1.0535981       0.96789866
  2.6077673        1.0765714       0.99531548       0.10095404E-01   0.98788845       0.94691435       0.84699985
  2.6384470        1.0735861       0.99716977       0.92685499E-02   0.99148961       0.68259623       0.58116033
  2.6691266        1.0518744       0.98615686       0.84228314E-02   0.98210738       0.30660247       0.21632000
  2.6998062        1.0122981       0.96249891       0.75581683E-02   0.95989450      -0.10603986      -0.17672245
  2.7304858       0.95664508       0.92696918       0.66834555E-02   0.92557654      -0.46978703      -0.51931773
  2.7611654       0.88755777       0.88084627       0.58130164E-02   0.88040801      -0.71135513      -0.74511748
  2.7918450       0.80839708       0.82582981       0.49639011E-02   0.82608748      -0.78961037      -0.81704874
  2.8225246       0.72303414       0.76392603       0.41540360E-02   0.76464025      -0.70586795      -0.73565556
  2.8532043       0.63557698       0.69731482       0.34008437E-02   0.69828059      -0.50097255      -0.53631956
  2.8838839       0.55005127       0.62821094       0.27199480E-02   0.62926700      -0.24034621      -0.27677685
  2.9145635       0.47006422       0.55873224       0.21237971E-02   0.55976412       0.72546987E-02  -0.19603184E-01
  2.9452431       0.39848486       0.49078592       0.16203190E-02   0.49172341       0.18935546       0.18433867
  2.9759227       0.33717700       0.42598144       0.12118933E-02   0.42679160       0.28110603       0.30650419
  3.0066023       0.28683183       0.36557479       0.89494650E-03   0.36625237       0.28574560       0.34305812
  3.0372820       0.24696464       0.31044541       0.66037155E-03   0.31100248       0.22628623       0.30992971
  3.0679616       0.21613417       0.26110334       0.49482202E-03   0.26155987       0.13355050       0.23368273
  3.0986412       0.19236156       0.21772157       0.38278228E-03   0.21809830       0.35841263E-01   0.14201656
  3.1293208       0.17359897       0.18018689       0.30913984E-03   0.18050104      -0.46753070E-01   0.56844287E-01
  3.1600004       0.15806574       0.14816205       0.26178424E-03   0.14842573      -0.10340911      -0.88096511E-02
  3.1906800       0.14438786       0.12115230       0.23368795E-03   0.12137313      -0.13093022      -0.50500041E-01
  3.2213597       0.13160780       0.98570880E-01   0.22364495E-03   0.98753318E-01  -0.13155632      -0.70012667E-01
  3.2520393       0.11915720       0.79798342E-01   0.23394890E-03   0.79944952E-01  -0.11125945      -0.72473803E-01
  3.2827189       0.10683360       0.64232058E-01   0.26512015E-03   0.64343804E-01  -0.78349038E-01  -0.63949961E-01
  3.3133985       0.94777420E-01   0.51322590E-01   0.31328817E-03   0.51398368E-01  -0.41792530E-01  -0.49936824E-01
  3.3440781       0.83437235E-01   0.40595314E-01   0.37266580E-03   0.40631509E-01  -0.91274199E-02  -0.34662768E-01
  3.3747577       0.73520319E-01   0.31657888E-01   0.43841231E-03   0.31649101E-01   0.15412204E-01  -0.20935824E-01
  3.4054373       0.65916936E-01   0.24196925E-01   0.50740690E-03   0.24138926E-01   0.31629644E-01  -0.10277800E-01
  3.4361170       0.61541113E-01   0.17969765E-01   0.57760922E-03   0.17865533E-01   0.42454119E-01  -0.31828743E-02
  3.4667966       0.61024714E-01   0.12799685E-01   0.64695769E-03   0.12670251E-01   0.51715967E-01   0.58534644E-03
  3.4974762       0.64407879E-01   0.85897592E-02   0.71254397E-03   0.84966454E-02   0.61630424E-01   0.17081678E-02
  3.5281558       0.71154366E-01   0.54030065E-02   0.77053238E-03   0.55008552E-02   0.71154065E-01   0.10704252E-02
  3.5588354       0.80460772E-01   0.37161372E-02   0.81684248E-03   0.42445650E-02   0.75961820E-01  -0.42239311E-03
  3.5895150       0.91496170E-01   0.40358956E-02   0.84821625E-03   0.48601267E-02   0.70097868E-01  -0.19740027E-02
  3.6201947       0.10345020       0.53449354E-02   0.86315989E-03   0.62149968E-02   0.48701934E-01  -0.29875275E-02
  3.6508743       0.11550123       0.66996018E-02   0.86235421E-03   0.75542612E-02   0.10797378E-01  -0.31211302E-02
  3.6815539       0.12679865       0.78246942E-02   0.84834353E-03   0.86547495E-02  -0.38976858E-01  -0.23013231E-02
  3.7122335       0.13648568       0.86626677E-02   0.82457569E-03   0.94688567E-02  -0.90565175E-01  -0.68527087E-03
  3.7429131       0.14375642       0.92205967E-02   0.79414712E-03   0.10004501E-01  -0.13089914       0.14210654E-02
  3.7735927       0.14793292       0.95294209E-02   0.75881057E-03   0.10289249E-01  -0.14793285       0.36621516E-02
  3.8042724       0.14854728       0.96278157E-02   0.71874301E-03   0.10356211E-01  -0.13494740       0.57158705E-02
  3.8349520       0.14541697       0.95528326E-02   0.67316907E-03   0.10237261E-01  -0.93442628E-01   0.73397826E-02
