# data from ifeffit
#------------------------
#   energy    xmu
  7473.9150        1.0321028
  7477.6400        1.0318193
  7481.3850        1.0321309
  7485.1480        1.0309583
  7488.9310        1.0301848
  7492.7330        1.0290855
  7496.5540        1.0286305
  7500.3940        1.0277031
  7504.2530        1.0272355
  7508.1310        1.0274168
  7512.0280        1.0262659
  7515.9440        1.0257678
  7519.8790        1.0255206
  7523.8340        1.0245217
  7527.8070        1.0242088
  7531.8000        1.0230955
  7535.8120        1.0223443
  7539.8420        1.0213497
  7543.8920        1.0204955
  7547.9610        1.0190835
  7552.0490        1.0179710
  7556.1560        1.0162119
  7560.2820        1.0152782
  7564.4270        1.0148564
  7568.5910        1.0144015
  7572.7740        1.0147628
  7576.9770        1.0138707
  7581.1980        1.0135765
  7585.4390        1.0127398
  7589.6980        1.0125593
  7593.9770        1.0124164
  7598.2750        1.0123914
  7602.5920        1.0127112
  7606.9280        1.0116287
  7611.2830        1.0115410
  7615.6570        1.0106005
  7620.0500        1.0095374
  7624.4620        1.0088529
  7628.8940        1.0078512
  7633.3440        1.0063210
  7637.8130        1.0058581
  7642.3020        1.0046731
  7646.8100        1.0037947
  7651.3360        1.0031065
  7655.8820        1.0024489
  7660.4470        1.0022463
  7665.0300        1.0018752
  7669.6340        1.0016418
  7674.2550        1.0013815
  7678.8960        1.0012273
  7683.5570        1.0015279
  7688.2360        1.0008814
  7692.9350        1.0011158
  7697.6520        1.0008583
  7702.3890        1.0009611
  7707.1440        1.0006382
  7711.9190       0.99981999
  7716.7120       0.99910019
  7721.5250       0.99891707
  7726.3570       0.99785964
  7731.2080       0.99737622
  7736.0780       0.99596612
  7740.9670       0.99609390
  7745.8750       0.99546131
  7750.8030       0.99575636
  7755.7500       0.99537361
  7760.7150       0.99548118
  7765.6990       0.99435687
  7770.7030       0.99443671
  7775.7260       0.99415287
  7780.7670       0.99448177
  7785.8280       0.99426492
  7790.9080       0.99432671
  7796.0070       0.99387059
  7801.1250       0.99365957
  7806.2620       0.99359410
  7811.4180       0.99311913
  7816.5940       0.99296755
  7821.7880       0.99294333
  7827.0010       0.99226703
  7832.2340       0.99213625
  7837.4850       0.99225042
  7842.7560       0.99122060
  7848.0460       0.99132607
  7853.3540       0.99088970
  7858.6830       0.99075528
  7864.0300       0.99062717
  7869.3960       0.99068763
  7874.7810       0.99062184
  7880.1850       0.99067832
  7885.6080       0.99083117
  7891.0510       0.99066596
  7896.5120       0.99089083
  7901.9920       0.99101913
  7907.4920       0.99135882
  7913.0110       0.99137029
  7918.5480       0.99130318
  7924.1050       0.99117520
  7929.6810       0.99133217
  7935.2760       0.99145300
  7940.8900       0.99167439
  7946.5230       0.99180827
  7952.1750       0.99186697
  7957.8470       0.99175682
  7963.5370       0.99134360
  7969.2470       0.99180273
