# data from ifeffit
#------------------------
#   energy    xmu
  7481.3850        1.1545527
  7485.1480        1.1477973
  7488.9310        1.1407268
  7492.7330        1.1354260
  7496.5540        1.1344637
  7500.3940        1.1357773
  7504.2530        1.1384399
  7508.1310        1.1396170
  7512.0280        1.1395933
  7515.9440        1.1380192
  7519.8790        1.1372953
  7523.8340        1.1372858
  7527.8070        1.1383436
  7531.8000        1.1391888
  7535.8120        1.1396112
  7539.8420        1.1385047
  7543.8920        1.1370606
  7547.9610        1.1363706
  7552.0490        1.1373005
  7556.1560        1.1401111
  7560.2820        1.1435627
  7564.4270        1.1449406
  7568.5910        1.1442091
  7572.7740        1.1409411
  7576.9770        1.1352793
  7581.1980        1.1298639
  7585.4390        1.1252947
  7589.6980        1.1226188
  7593.9770        1.1216323
  7598.2750        1.1219226
  7602.5920        1.1214031
  7606.9280        1.1196968
  7611.2830        1.1170618
  7615.6570        1.1154063
  7620.0500        1.1153588
  7624.4620        1.1162823
  7628.8940        1.1162320
  7633.3440        1.1150542
  7637.8130        1.1122741
  7642.3020        1.1094888
  7646.8100        1.1070558
  7651.3360        1.1058849
  7655.8820        1.1052013
  7660.4470        1.1051609
  7665.0300        1.1061389
  7669.6340        1.1073097
  7674.2550        1.1082466
  7678.8960        1.1092393
  7683.5570        1.1095370
  7688.2360        1.1085969
  7692.9350        1.1065593
  7697.6520        1.1048143
  7702.3890        1.1034465
  7707.1440        1.1020014
  7711.9190        1.0994730
  7716.7120        1.0975513
  7721.5250        1.0957587
  7726.3570        1.0947415
  7731.2080        1.0940955
  7736.0780        1.0932694
  7740.9670        1.0928021
  7745.8750        1.0919232
  7750.8030        1.0913796
  7755.7500        1.0910792
  7760.7150        1.0895970
  7765.6990        1.0880487
  7770.7030        1.0863908
  7775.7260        1.0851074
  7780.7670        1.0840302
  7785.8280        1.0832186
  7790.9080        1.0823282
  7796.0070        1.0818621
  7801.1250        1.0815373
  7806.2620        1.0815121
  7811.4180        1.0809584
  7816.5940        1.0811185
  7821.7880        1.0802487
  7827.0010        1.0799740
  7832.2340        1.0793961
  7837.4850        1.0790560
  7842.7560        1.0785190
  7848.0460        1.0776399
  7853.3540        1.0770021
  7858.6830        1.0759086
  7864.0300        1.0748361
  7869.3960        1.0736253
  7874.7810        1.0724804
  7880.1850        1.0711523
  7885.6080        1.0701774
  7891.0510        1.0694524
  7896.5120        1.0685226
  7901.9920        1.0676649
  7907.4920        1.0667194
  7913.0110        1.0660350
  7918.5480        1.0651409
  7924.1050        1.0646688
  7929.6810        1.0639525
  7935.2760        1.0634845
  7940.8900        1.0634428
  7946.5230        1.0630997
  7952.1750        1.0624730
  7957.8470        1.0622300
  7963.5370        1.0616553
  7969.2470        1.0609915
