# data from ifeffit
#------------------------
#   k         e00       e01       e02
  4.3500000       0.37219613E-03  -0.55985468E-01  -0.32979749E-01
  4.4000000       0.81925700E-03  -0.55411056E-01  -0.32348322E-01
  4.4500000       0.98506340E-03  -0.55823722E-01  -0.32988381E-01
  4.5000000       0.19459960E-02  -0.56172030E-01  -0.30947055E-01
  4.5500000      -0.24591721E-03  -0.56559539E-01  -0.32173007E-01
  4.6000000      -0.76864344E-03  -0.59275433E-01  -0.32523405E-01
  4.6500000      -0.16668245E-03  -0.58219053E-01  -0.31455442E-01
  4.7000000      -0.12646055E-02  -0.61115693E-01  -0.31639469E-01
  4.7500000       0.16052183E-02  -0.59588210E-01  -0.29855839E-01
  4.8000000      -0.11378338E-02  -0.61852130E-01  -0.29370931E-01
  4.8500000      -0.16269285E-02  -0.63914735E-01  -0.29536422E-01
  4.9000000      -0.25616455E-02  -0.64196774E-01  -0.28491436E-01
  4.9500000      -0.13572295E-02  -0.64253359E-01  -0.28387617E-01
  5.0000000      -0.18864633E-02  -0.65796641E-01  -0.29358683E-01
  5.0500000      -0.16528915E-02  -0.66993916E-01  -0.28366779E-01
  5.1000000      -0.36382041E-02  -0.66280903E-01  -0.28036339E-01
  5.1500000      -0.23024707E-02  -0.67233907E-01  -0.27221783E-01
  5.2000000      -0.21562248E-02  -0.65046788E-01  -0.27192847E-01
  5.2500000      -0.12025454E-02  -0.65563468E-01  -0.26803767E-01
  5.3000000      -0.17524970E-02  -0.63177595E-01  -0.29048801E-01
  5.3500000      -0.22872794E-02  -0.62604309E-01  -0.29261974E-01
  5.4000000      -0.25927714E-02  -0.62267040E-01  -0.29130045E-01
  5.4500000       0.79488251E-03  -0.60177181E-01  -0.28860500E-01
  5.5000000       0.17288912E-02  -0.56382784E-01  -0.27569451E-01
  5.5500000       0.28050235E-02  -0.56847614E-01  -0.29687678E-01
  5.6000000       0.40564969E-02  -0.55715568E-01  -0.31327847E-01
  5.6500000       0.42843959E-02  -0.54269599E-01  -0.30189682E-01
  5.7000000       0.46623963E-02  -0.51381814E-01  -0.29547269E-01
  5.7500000       0.82218617E-03  -0.53139690E-01  -0.33311904E-01
  5.8000000       0.11740018E-02  -0.51661366E-01  -0.33214719E-01
  5.8500000       0.81680475E-03  -0.53995501E-01  -0.32585197E-01
  5.9000000       0.13265231E-02  -0.54821456E-01  -0.33042837E-01
  5.9500000       0.36666243E-02  -0.53993857E-01  -0.32944093E-01
  6.0000000       0.24331650E-02  -0.55884811E-01  -0.31883306E-01
  6.0500000       0.12574749E-02  -0.56681404E-01  -0.30269695E-01
  6.1000000       0.69880469E-03  -0.56999933E-01  -0.30042666E-01
  6.1500000       0.76892990E-03  -0.58042802E-01  -0.28920775E-01
  6.2000000      -0.11611278E-02  -0.61948317E-01  -0.30685732E-01
  6.2500000      -0.31676045E-02  -0.63525464E-01  -0.31895967E-01
