# data from ifeffit
#------------------------
#   k         e00       e01       e02
  19.150000       0.29060382E-01  -0.48285296E-01  -0.23780972E-01
  19.200000       0.15210785E-01  -0.70680202E-01  -0.18727312E-01
  19.250000      -0.85589392E-02  -0.67660581E-01  -0.12497830E-01
  19.300000       0.15522349E-03  -0.52232956E-01  -0.19772334E-01
  19.350000       0.24294412E-02  -0.92121677E-01  -0.57459858E-01
  19.400000      -0.34791825E-02  -0.75933207E-01  -0.67402832E-01
  19.450000       0.13188720E-02  -0.63753978E-01  -0.31398470E-01
  19.500000       0.12513638E-01  -0.56946520E-01  -0.31243039E-01
  19.550000      -0.23822410E-01  -0.63965197E-01  -0.23902583E-01
  19.600000       0.27861643E-03  -0.80071804E-01  -0.32122046E-01
  19.650000      -0.53036255E-02  -0.59733364E-01  -0.19359704E-01
  19.700000       0.13548014E-01  -0.49841315E-01  -0.23115608E-01
  19.750000       0.83541607E-02  -0.71001214E-01  -0.27333874E-01
  19.800000       0.73580164E-04  -0.36971441E-01  -0.24120685E-01
  19.850000       0.29860395E-01  -0.49572538E-01  -0.70077078E-02
  19.900000      -0.38546386E-01  -0.76079773E-01  -0.56884610E-01
  19.950000      -0.13314592E-01  -0.77317348E-01  -0.51126515E-01
