# data from ifeffit
#------------------------
#   r         chir_h0      chir_h2      chir_h4      chir_h6
  3.0986412       0.96572731E-01   0.56933492        1.0937996        1.6369352
  3.1293208       0.10126100       0.57823221        1.0844383        1.6214435
  3.1600004       0.11029459       0.59358468        1.0848124        1.6120937
  3.1906800       0.11983910       0.60879041        1.0894461        1.6063109
  3.2213597       0.12846767       0.62212737        1.0950903        1.6022102
  3.2520393       0.13543073       0.63303084        1.1001169        1.5984984
  3.2827189       0.14004193       0.64100528        1.1035940        1.5943544
  3.3133985       0.14169673       0.64556892        1.1049341        1.5893891
  3.3440781       0.14010465       0.64649217        1.1038983        1.5836501
  3.3747577       0.13552693       0.64405914        1.1007097        1.5776263
  3.4054373       0.12894343       0.63925861        1.0961624        1.5722299
  3.4361170       0.12209780       0.63384473        1.0916694        1.5687021
  3.4667966       0.11728460       0.63013644        1.0891231        1.5683223
  3.4974762       0.11665783       0.63036003        1.0903539        1.5718859
  3.5281558       0.12117580       0.63563730        1.0962577        1.5793182
  3.5588354       0.13005158       0.64538225        1.1063345        1.5898226
  3.5895150       0.14130486       0.65770610        1.1191213        1.6023041
  3.6201947       0.15272926       0.67031957        1.1329146        1.6156417
  3.6508743       0.16248526       0.68117822        1.1461796        1.6287640
  3.6815539       0.16927104       0.68873056        1.1576581        1.6406562
  3.7122335       0.17229835       0.69194756        1.1663606        1.6503756
  3.7429131       0.17121576       0.69027540        1.1715437        1.6570887
  3.7735927       0.16602905       0.68356953        1.1726963        1.6601220
  3.8042724       0.15703347       0.67202902        1.1695375        1.6590149
  3.8349520       0.14476514       0.65614085        1.1620203        1.6535690
  3.8656316       0.12998336       0.63664896        1.1503448        1.6438948
  3.8963112       0.11370803       0.61458563        1.1349970        1.6304724
  3.9269908       0.97359259E-01   0.59147386        1.1168535        1.6142754
  3.9576704       0.83053756E-01   0.57002786        1.0974608        1.5970629
  3.9883500       0.73896431E-01   0.55591074        1.0797216        1.5820007
  4.0190297       0.73221612E-01   0.55726619        1.0689794        1.5742454
  4.0497093       0.82006858E-01   0.57398913        1.0715186        1.5787286
  4.0803889       0.98078909E-01   0.59848216        1.0875499        1.5949458
  4.1110685       0.11857727       0.62581803        1.1115791        1.6182738
  4.1417481       0.14144968       0.65376723        1.1389472        1.6446849
  4.1724277       0.16537463       0.68116072        1.1669808        1.6716590
  4.2031074       0.18940854       0.70722083        1.1941089        1.6976113
  4.2337870       0.21276831       0.73133407        1.2193222        1.7214877
  4.2644666       0.23474299       0.75298400        1.2419511        1.7425932
  4.2951462       0.25468557       0.77174890        1.2615770        1.7605277
  4.3258258       0.27204947       0.78732739        1.2779914        1.7751559
  4.3565054       0.28644558       0.79957287        1.2911688        1.7865766
  4.3871851       0.29769998       0.80852284        1.3012423        1.7950771
  4.4178647       0.30589476       0.81441220        1.3084761        1.8010708
  4.4485443       0.31137633       0.81766108        1.3132340        1.8050265
  4.4792239       0.31471783       0.81883131        1.3159432        1.8074003
  4.5099035       0.31662938       0.81855081        1.3170515        1.8085852
  4.5405831       0.31782182       0.81741390        1.3169804        1.8088822
  4.5712627       0.31884886       0.81587598        1.3160746        1.8084939
  4.6019424       0.31997027       0.81416941        1.3145584        1.8075306
  4.6326220       0.32108247       0.81226664        1.3125055        1.8060184
  4.6633016       0.32174304       0.80990411        1.3098352        1.8039039
  4.6939812       0.32128037       0.80666003        1.3063371        1.8010555
  4.7246608       0.31894948       0.80206250        1.3017231        1.7972711
  4.7553404       0.31408817       0.79569870        1.2956954        1.7922994
  4.7860201       0.30623909       0.78730151        1.2880157        1.7858799
  4.8166997       0.29522225       0.77680108        1.2785621        1.7777966
  4.8473793       0.28115723       0.76433836        1.2673635        1.7679334
  4.8780589       0.26444270       0.75024447        1.2546055        1.7563164
  4.9087385       0.24570374       0.73499324        1.2406107        1.7431329
  4.9394181       0.22571841       0.71913639        1.2257961        1.7287192
  4.9700978       0.20533434       0.70323221        1.2106192        1.7135234
  5.0007774       0.18538503       0.68778103        1.1955249        1.6980523
  5.0314570       0.16661575       0.67318159        1.1809066        1.6828194
  5.0621366       0.14962879       0.65972215        1.1670976        1.6683123
  5.0928162       0.13485934       0.64761497        1.1543975        1.6549927
  5.1234958       0.12259340       0.63707184        1.1431343        1.6433281
  5.1541754       0.11303371       0.62840281        1.1337440        1.6338414
  5.1848551       0.10640110       0.62209909        1.1268304        1.6271404
  5.2155347       0.10302656       0.61883803        1.1231440        1.6238791
  5.2462143       0.10335911       0.61934554        1.1234217        1.6246197
  5.2768939       0.10783414       0.62412550        1.1281126        1.6296399
  5.3075735       0.11665248       0.63320725        1.1371521        1.6388015
  5.3382531       0.12962100       0.64609166        1.1499480        1.6515604
  5.3689328       0.14614793       0.66189536        1.1655479        1.6670742
  5.3996124       0.16533988       0.67954233        1.1828301        1.6843127
  5.4302920       0.18610769       0.69789676        1.2006284        1.7021355
  5.4609716       0.20724564       0.71583158        1.2177953        1.7193487
  5.4916512       0.22749417       0.73226604        1.2332407        1.7347662
  5.5223308       0.24560201       0.74619825        1.2459701        1.7472833
  5.5530105       0.26039458       0.75674229        1.2551278        1.7559567
  5.5836901       0.27084684       0.76317012        1.2600434        1.7600797
  5.6143697       0.27615492       0.76495356        1.2602743        1.7592392
  5.6450493       0.27579931       0.76180084        1.2556367        1.7533460
  5.6757289       0.26959331       0.75368281        1.2462219        1.7426350
  5.7064085       0.25771238       0.74084565        1.2323929        1.7276353
  5.7370881       0.24070246       0.72380911        1.2147652        1.7091177
  5.7677678       0.21946886       0.70335218        1.1941726        1.6880287
  5.7984474       0.19525082       0.68049144        1.1716284        1.6654241
  5.8291270       0.16959021       0.65646057        1.1482892        1.6424138
  5.8598066       0.14430133       0.63270214        1.1254357        1.6201325
  5.8904862       0.12142688       0.61087457        1.1044763        1.5997463
  5.9211658       0.10308276       0.59282578        1.0869488        1.5824837
  5.9518455       0.90946172E-01   0.58032775        1.0743767        1.5696058
  5.9825251       0.85301180E-01   0.57426445        1.0676993        1.5620800
  6.0132047       0.84528485E-01   0.57371609        1.0664299        1.5598621
  6.0438843       0.86023677E-01   0.57634136        1.0686879        1.5615759
  6.0745639       0.87561032E-01   0.57979429        1.0723388        1.5652874
  6.1052435       0.87851451E-01   0.58254216        1.0758575        1.5694188
  6.1359232       0.86446996E-01   0.58387853        1.0784376        1.5730062
  6.1666028       0.83480446E-01   0.58369384        1.0798082        1.5755858
  6.1972824       0.79429507E-01   0.58226868        1.0800548        1.5770469
  6.2279620       0.74923743E-01   0.58011533        1.0794922        1.5775340
  6.2586416       0.70578972E-01   0.57783649        1.0785603        1.5773732
  6.2893212       0.66857866E-01   0.57597791        1.0777159        1.5769905
  6.3200008       0.63980316E-01   0.57488385        1.0773136        1.5767982
  6.3506805       0.61915925E-01   0.57460226        1.0775010        1.5770639
  6.3813601       0.60460821E-01   0.57489010        1.0781731        1.5778092
  6.4120397       0.59352488E-01   0.57531670        1.0790108        1.5787944
  6.4427193       0.58362211E-01   0.57540594        1.0795847        1.5795997
  6.4733989       0.57335741E-01   0.57475464        1.0794722        1.5797583
  6.5040785       0.56190470E-01   0.57310188        1.0783506        1.5788826
  6.5347582       0.54893661E-01   0.57035343        1.0760495        1.5767467
  6.5654378       0.53442890E-01   0.56657538        1.0725663        1.5733203
  6.5961174       0.51858249E-01   0.56196723        1.0680512        1.5687586
  6.6267970       0.50184042E-01   0.55682087        1.0627705        1.5633585
