# data from ifeffit
#------------------------
#   r         chir_kw0      chir_kw1      chir_kw2      chir_kw3
  3.2520393        1.1922972        4.7406939        8.5780365        12.658938
  3.2827189        1.1553081        4.7643338        8.6127797        12.662776
  3.3133985        1.1070174        4.7730548        8.6324940        12.657829
  3.3440781        1.0489023        4.7687881        8.6361491        12.634888
  3.3747577       0.98329952        4.7544350        8.6249703        12.589262
  3.4054373       0.91313978        4.7339949        8.6032881        12.522167
  3.4361170       0.84157365        4.7122503        8.5788837        12.443430
  3.4667966       0.77159928        4.6940201        8.5622469        12.377293
  3.4974762       0.70586304        4.6831467        8.5637811        12.364776
  3.5281558       0.64677517        4.6815909        8.5891998        12.431059
  3.5588354       0.59692544        4.6890883        8.6365521        12.553769
  3.5895150       0.55949911        4.7035342        8.6978931        12.698983
  3.6201947       0.53810092        4.7217944        8.7633343        12.844090
  3.6508743       0.53548715        4.7404518        8.8238986        12.975195
  3.6815539       0.55166641        4.7562248        8.8725428        13.083433
  3.7122335       0.58294517        4.7660867        8.9042205        13.163371
  3.7429131       0.62283604        4.7672524        8.9156599        13.212374
  3.7735927       0.66392274        4.7571733        8.9051153        13.230280
  3.8042724       0.69942043        4.7336051        8.8721634        13.219182
  3.8349520       0.72408471        4.6947483        8.8175624        13.183231
  3.8656316       0.73470548        4.6394301        8.7432000        13.128490
  3.8963112       0.73045739        4.5673141        8.6522120        13.062829
  3.9269908       0.71327195        4.4791942        8.5495138        12.995830
  3.9576704       0.68829050        4.3776751        8.4434482        12.938436
  3.9883500       0.66423622        4.2696758        8.3503388        12.901837
  4.0190297       0.65298917        4.1786286        8.3020656        12.895093
  4.0497093       0.66701604        4.1761734        8.3317570        12.922193
  4.0803889       0.71446953        4.2801995        8.4283040        12.980776
  4.1110685       0.79552244        4.4233476        8.5582827        13.063766
  4.1417481       0.90358066        4.5777756        8.7007186        13.162301
  4.1724277        1.0292951        4.7337730        8.8448433        13.267854
  4.2031074        1.1635248        4.8858588        8.9842891        13.373088
  4.2337870        1.2984566        5.0299541        9.1146504        13.471998
  4.2644666        1.4277624        5.1627597        9.2326402        13.559850
  4.2951462        1.5464800        5.2816433        9.3358433        13.633146
  4.3258258        1.6508708        5.3846625        9.4226889        13.689662
  4.3565054        1.7382988        5.4706051        9.4924908        13.728524
  4.3871851        1.8071175        5.5390017        9.5454762        13.750278
  4.4178647        1.8565439        5.5900849        9.5827577        13.756913
  4.4485443        1.8865087        5.6246849        9.6062196        13.751756
  4.4792239        1.8974816        5.6440637        9.6183020        13.739213
  4.5099035        1.8902848        5.6497030        9.6216880        13.724283
  4.5405831        1.8659119        5.6430745        9.6189238        13.711856
  4.5712627        1.8253755        5.6254314        9.6120332        13.705862
  4.6019424        1.7696056        5.5976619        9.6022078        13.708472
  4.6326220        1.6994122        5.5602402        9.5896577        13.719610
  4.6633016        1.6155156        5.5132889        9.5736689        13.736973
  4.6939812        1.5186346        5.4567434        9.5528586        13.756545
  4.7246608        1.4096111        5.3905871        9.5255623        13.773417
  4.7553404        1.2895459        5.3151103        9.4902577        13.782644
  4.7860201        1.1599194        5.2311468        9.4459328        13.779931
  4.8166997        1.0226793        5.1402493        9.3923346        13.762080
  4.8473793       0.88029473        5.0447800        9.3300674        13.727187
  4.8780589       0.73580348        4.9479030        9.2605406        13.674635
  4.9087385       0.59293666        4.8534688        9.1857859        13.604946
  4.9394181       0.45656925        4.7657661        9.1081828        13.519544
  4.9700978       0.33424997        4.6890943        9.0301475        13.420485
  5.0007774       0.24081708        4.6271072        8.9538515        13.310210
  5.0314570       0.20384322        4.5819977        8.8810447        13.191368
  5.0621366       0.23529248        4.5538641        8.8130507        13.066766
