# data from ifeffit
#------------------------
#   k         chik      hann3      kaiser3      kaiser5      welch3      parzen3      sine3
  3.0000000      -0.92255000       0.74999979       0.50104974       0.38167723       0.88888879       0.66666651       0.60263464
  3.0500000      -0.88048506       0.77231931       0.50886703       0.38991232       0.89972212       0.68333317       0.60998247
  3.1000000      -0.83143178       0.79389242       0.51668115       0.39819667       0.90999990       0.69999984       0.61727822
  3.1500000      -0.77048184       0.81465999       0.52449032       0.40652792       0.91972213       0.71666650       0.62452127
  3.2000000      -0.69605556       0.83456510       0.53229277       0.41490365       0.92888880       0.73333316       0.63171101
  3.2500000      -0.59228487       0.85355320       0.54008673       0.42332141       0.93749991       0.74999983       0.63884681
  3.3000000      -0.40419419       0.87157222       0.54787039       0.43177872       0.94555547       0.76666649       0.64592806
  3.3500000      -0.10628873       0.88857280       0.55564198       0.44027304       0.95305548       0.78333315       0.65295417
  3.4000000       0.23944616       0.90450832       0.56339970       0.44880182       0.95999993       0.79999981       0.65992453
  3.4500000       0.56426311       0.91933512       0.57114175       0.45736243       0.96638882       0.81666648       0.66683856
  3.5000000       0.86798864       0.93301255       0.57886633       0.46595225       0.97222216       0.83333314       0.67369564
  3.5500000        1.1306499       0.94550312       0.58657165       0.47456858       0.97749994       0.84999980       0.68049521
  3.6000000        1.3132158       0.95677260       0.59425590       0.48320873       0.98222217       0.86666646       0.68723669
  3.6500000        1.4309114       0.96679010       0.60191728       0.49186995       0.98638884       0.88333313       0.69391948
  3.7000000        1.4796283       0.97552816       0.60955399       0.50054947       0.98999996       0.89999979       0.70054304
  3.7500000        1.4378013       0.98296283       0.61716424       0.50924448       0.99305552       0.91666645       0.70710678
  3.8000000        1.2976242       0.98907373       0.62474621       0.51795214       0.99555553       0.93333312       0.71361015
  3.8500000        1.0849697       0.99384412       0.63229812       0.52666960       0.99749998       0.94999978       0.72005260
  3.9000000       0.84408410       0.99726091       0.63981817       0.53539397       0.99888887       0.96666644       0.72643357
  3.9500000       0.60799430       0.99931475       0.64730456       0.54412234       0.99972221       0.98333310       0.73275253
  4.0000000       0.39172237       1.00000000       0.65475551       0.55285178       1.00000000       0.99999977       0.73900892
  4.0500000       0.21573339        1.0000000       0.66216923       0.56157932        1.0000000        1.0000000       0.74520221
  4.1000000       0.25943489E-01    1.0000000       0.66954394       0.57030200        1.0000000        1.0000000       0.75133189
  4.1500000      -0.17192774        1.0000000       0.67687786       0.57901681        1.0000000        1.0000000       0.75739742
  4.2000000      -0.36272125        1.0000000       0.68416923       0.58772076        1.0000000        1.0000000       0.76339828
  4.2500000      -0.53750176        1.0000000       0.69141628       0.59641079        1.0000000        1.0000000       0.76933397
  4.3000000      -0.66753126        1.0000000       0.69861726       0.60508389        1.0000000        1.0000000       0.77520398
  4.3500000      -0.72860942        1.0000000       0.70577041       0.61373698        1.0000000        1.0000000       0.78100780
  4.4000000      -0.71135233        1.0000000       0.71287400       0.62236701        1.0000000        1.0000000       0.78674494
  4.4500000      -0.62360068        1.0000000       0.71992628       0.63097089        1.0000000        1.0000000       0.79241491
  4.5000000      -0.49608916        1.0000000       0.72692554       0.63954555        1.0000000        1.0000000       0.79801723
  4.5500000      -0.36768368        1.0000000       0.73387006       0.64808789        1.0000000        1.0000000       0.80355141
  4.6000000      -0.27696917        1.0000000       0.74075814       0.65659482        1.0000000        1.0000000       0.80901699
  4.6500000      -0.24924566        1.0000000       0.74758808       0.66506323        1.0000000        1.0000000       0.81441350
  4.7000000      -0.26452784        1.0000000       0.75435820       0.67349004        1.0000000        1.0000000       0.81974048
  4.7500000      -0.28088793        1.0000000       0.76106682       0.68187213        1.0000000        1.0000000       0.82499747
  4.8000000      -0.26424123        1.0000000       0.76771229       0.69020641        1.0000000        1.0000000       0.83018403
  4.8500000      -0.20169647        1.0000000       0.77429296       0.69848979        1.0000000        1.0000000       0.83529971
  4.9000000      -0.80459870E-01    1.0000000       0.78080720       0.70671916        1.0000000        1.0000000       0.84034407
  4.9500000       0.90102641E-01    1.0000000       0.78725339       0.71489146        1.0000000        1.0000000       0.84531669
  5.0000000       0.28687900        1.0000000       0.79362992       0.72300359        1.0000000        1.0000000       0.85021714
  5.0500000       0.45222291        1.0000000       0.79993520       0.73105250        1.0000000        1.0000000       0.85504499
  5.1000000       0.52059572        1.0000000       0.80616765       0.73903514        1.0000000        1.0000000       0.85979985
  5.1500000       0.46741603        1.0000000       0.81232572       0.74694845        1.0000000        1.0000000       0.86448130
  5.2000000       0.30854846        1.0000000       0.81840787       0.75478941        1.0000000        1.0000000       0.86908895
  5.2500000       0.73506533E-01    1.0000000       0.82441256       0.76255501        1.0000000        1.0000000       0.87362239
  5.3000000      -0.20848167        1.0000000       0.83033829       0.77024226        1.0000000        1.0000000       0.87808125
  5.3500000      -0.51075039        1.0000000       0.83618356       0.77784819        1.0000000        1.0000000       0.88246514
  5.4000000      -0.80060735        1.0000000       0.84194691       0.78536983        1.0000000        1.0000000       0.88677369
  5.4500000      -0.99717406        1.0000000       0.84762687       0.79280427        1.0000000        1.0000000       0.89100652
