# data from ifeffit
#------------------------
#   r         chir_h3      chir_p3      chir_k3      chir_k5
  3.0372820       0.13730542       0.66245960        1.2448699        1.7685501
  3.0679616       0.93000411E-01   0.61886025        1.2171428        1.7331495
  3.0986412       0.71678588E-01   0.59275331        1.1958557        1.7045386
  3.1293208       0.71680105E-01   0.58213072        1.1785852        1.6813135
  3.1600004       0.82117660E-01   0.58168235        1.1636148        1.6620862
  3.1906800       0.94604505E-01   0.58577305        1.1498874        1.6456561
  3.2213597       0.10610122       0.59097082        1.1367646        1.6310908
  3.2520393       0.11560730       0.59558101        1.1238347        1.6177480
  3.2827189       0.12255594       0.59867178        1.1108635        1.6052756
  3.3133985       0.12649881       0.59967301        1.0978522        1.5936058
  3.3440781       0.12722982       0.59835668        1.0851137        1.5829516
  3.3747577       0.12499406       0.59493629        1.0733059        1.5737988
  3.4054373       0.12065762       0.59016681        1.0634037        1.5668691
  3.4361170       0.11577674       0.58539510        1.0565988        1.5629804
  3.4667966       0.11244938       0.58245536        1.0540367        1.5627302
  3.4974762       0.11275623       0.58319239        1.0563375        1.5661494
  3.5281558       0.11783995       0.58861317        1.0632790        1.5726744
  3.5588354       0.12731041       0.59837003        1.0740247        1.5814505
  3.5895150       0.13957863       0.61113956        1.0874888        1.5916069
  3.6201947       0.15266685       0.62532957        1.1024700        1.6023448
  3.6508743       0.16477973       0.63947390        1.1176839        1.6129235
  3.6815539       0.17450855       0.65232362        1.1318312        1.6226393
  3.7122335       0.18084409       0.66283457        1.1437075        1.6308301
  3.7429131       0.18313198       0.67015270        1.1523138        1.6369069
  3.7735927       0.18102306       0.67361822        1.1569351        1.6404018
  3.8042724       0.17443267       0.67278219        1.1571799        1.6410235
  3.8349520       0.16351248       0.66742700        1.1529860        1.6387122
  3.8656316       0.14864001       0.65758879        1.1446177        1.6336923
  3.8963112       0.13044240       0.64359174        1.1326926        1.6265265
  3.9269908       0.10990276       0.62612666        1.1182940        1.6181759
  3.9576704       0.88689648E-01   0.60645646        1.1032430        1.6100572
  3.9883500       0.70067759E-01   0.58695297        1.0905510        1.6040163
  4.0190297       0.60413120E-01   0.57223940        1.0845130        1.6020217
  4.0497093       0.66351401E-01   0.56942244        1.0887096        1.6054411
  4.0803889       0.85660800E-01   0.58185359        1.1026974        1.6143498
  4.1110685       0.11165654       0.60476066        1.1228329        1.6276214
  4.1417481       0.14014372       0.63235759        1.1454720        1.6436346
