# data from ifeffit
#------------------------
#   r         chir_mag     chir_mag     chir_mag
  3.9576704       0.18571240       0.18441917       0.27864841
  3.9883500       0.19395823       0.14359750       0.20386990
  4.0190297       0.18843607       0.13959380       0.98164494E-01
  4.0497093       0.18559862       0.16463070       0.32842860E-01
  4.0803889       0.20169871       0.18595725       0.12211187
  4.1110685       0.23591826       0.19023988       0.18969416
  4.1417481       0.27378020       0.18287832       0.21962412
  4.1724277       0.30164644       0.18105676       0.21193470
  4.2031074       0.31207085       0.19999157       0.17515324
  4.2337870       0.30404186       0.23624186       0.12848383
  4.2644666       0.28252740       0.27428357       0.10959148
  4.2951462       0.25752512       0.30088467       0.14059067
  4.3258258       0.24081828       0.30929676       0.18571574
  4.3565054       0.23866701       0.29920230       0.21649381
  4.3871851       0.24624844       0.27625817       0.22239436
  4.4178647       0.25246352       0.25109718       0.20261527
  4.4485443       0.24835987       0.23570985       0.16422298
  4.4792239       0.23075741       0.23554464       0.12368727
  4.5099035       0.20229058       0.24448519       0.10817221
  4.5405831       0.17026453       0.25092773       0.12714873
  4.5712627       0.14437426       0.24621356       0.15385490
  4.6019424       0.13130765       0.22769281       0.16720472
  4.6326220       0.12829638       0.19849709       0.16016950
  4.6633016       0.12604054       0.16634506       0.13418888
  4.6939812       0.11738802       0.14119468       0.96903920E-01
  4.7246608       0.10035398       0.12950256       0.63588911E-01
  4.7553404       0.76955425E-01   0.12774109       0.58583548E-01
  4.7860201       0.51420961E-01   0.12622970       0.76616844E-01
  4.8166997       0.28773901E-01   0.11798940       0.90797423E-01
  4.8473793       0.14203395E-01   0.10129083       0.91166399E-01
  4.8780589       0.10050324E-01   0.78286478E-01   0.77133112E-01
  4.9087385       0.74622348E-02   0.53208106E-01   0.52451002E-01
  4.9394181       0.69031153E-02   0.30957758E-01   0.24056059E-01
  4.9700978       0.18442654E-01   0.16330353E-01   0.16189251E-01
  5.0007774       0.33351904E-01   0.11590460E-01   0.35618555E-01
  5.0314570       0.47151601E-01   0.10833417E-01   0.48519784E-01
  5.0621366       0.57187330E-01   0.13562064E-01   0.50516172E-01
  5.0928162       0.62184038E-01   0.23410311E-01   0.42129578E-01
  5.1234958       0.62561242E-01   0.36505566E-01   0.26678568E-01
  5.1541754       0.60604827E-01   0.48647862E-01   0.14796585E-01
  5.1848551       0.59949592E-01   0.57106029E-01   0.26381059E-01
  5.2155347       0.63399940E-01   0.60663304E-01   0.43012625E-01
  5.2462143       0.70403103E-01   0.59889918E-01   0.54277624E-01
  5.2768939       0.77830680E-01   0.57323281E-01   0.57629934E-01
  5.3075735       0.82591551E-01   0.56850861E-01   0.53030629E-01
  5.3382531       0.82993578E-01   0.61103003E-01   0.42811612E-01
  5.3689328       0.79043958E-01   0.68877381E-01   0.32834926E-01
  5.3996124       0.72389138E-01   0.76625429E-01   0.32624141E-01
  5.4302920       0.65906818E-01   0.81244632E-01   0.42458185E-01
  5.4609716       0.62427587E-01   0.81200932E-01   0.53012149E-01
  5.4916512       0.62605724E-01   0.76701874E-01   0.58632935E-01
  5.5223308       0.64300217E-01   0.69618847E-01   0.57367457E-01
  5.5530105       0.64581635E-01   0.63075907E-01   0.49682754E-01
  5.5836901       0.61619374E-01   0.60039054E-01   0.38326341E-01
  5.6143697       0.55181778E-01   0.60950625E-01   0.29123701E-01
  5.6450493       0.46456705E-01   0.63288606E-01   0.29387027E-01
  5.6757289       0.37669985E-01   0.63952882E-01   0.36635922E-01
  5.7064085       0.31339410E-01   0.61138650E-01   0.42884518E-01
  5.7370881       0.28554597E-01   0.54691900E-01   0.44210193E-01
  5.7677678       0.27663427E-01   0.45872025E-01   0.39805845E-01
  5.7984474       0.26111869E-01   0.36987336E-01   0.30780473E-01
  5.8291270       0.22575181E-01   0.30704347E-01   0.19954383E-01
  5.8598066       0.17158315E-01   0.28262730E-01   0.13431131E-01
  5.8904862       0.10977471E-01   0.27963790E-01   0.17022172E-01
  5.9211658       0.62028668E-02   0.27139375E-01   0.22829841E-01
  5.9518455       0.59759903E-02   0.24428612E-01   0.25293805E-01
  5.9825251       0.78625679E-02   0.19929768E-01   0.23268199E-01
