# data from ifeffit
#------------------------
#   k         chi       chix      chix      chix      kwin
  18.300000       0.12127589        1.4428263        3.0803927        4.5232190        0.0000000
  18.350000       0.10940847        1.4250635        3.0532248        4.4782884        0.0000000
  18.400000       0.95018899E-01    1.4095922        3.0238682        4.4334604        0.0000000
  18.450000       0.78528686E-01    1.3967564        2.9939058        4.3906622        0.0000000
  18.500000       0.60403773E-01    1.3868256        2.9649179        4.3517435        0.0000000
  18.550000       0.41141662E-01    1.3799890        2.9383990        4.3183880        0.0000000
  18.600000       0.21257994E-01    1.3763530        2.9156816        4.2920347        0.0000000
  18.650000       0.12729551E-02    1.3759397        2.8978700        4.2738097        0.0000000
  18.700000      -0.18302138E-01    1.3786884        2.8857873        4.2644757        0.0000000
  18.750000      -0.36977724E-01    1.3844592        2.8799383        4.2643975        0.0000000
  18.800000      -0.54298046E-01    1.3930379        2.8804906        4.2735285        0.0000000
  18.850000      -0.69852065E-01    1.4041436        2.8872726        4.2914162        0.0000000
  18.900000      -0.83282989E-01    1.4174370        2.8997907        4.3172278        0.0000000
  18.950000      -0.94296189E-01    1.4325306        2.9172620        4.3497926        0.0000000
  19.000000      -0.10266536        1.4489994        2.9386618        4.3876611        0.0000000
  19.050000      -0.10823677        1.4663931        2.9627827        4.4291757        0.0000000
  19.100000      -0.11093158        1.4842477        2.9883021        4.4725499        0.0000000
  19.150000      -0.11074617        1.5020981        3.0138543        4.5159525        0.0000000
  19.200000      -0.10775054        1.5194897        3.0381024        4.5575921        0.0000000
  19.250000      -0.10208484        1.5359898        3.0598084        4.5957983        0.0000000
  19.300000      -0.93954218E-01    1.5511986        3.0778954        4.6290939        0.0000000
  19.350000      -0.83622060E-01    1.5647580        3.0915003        4.6562583        0.0000000
  19.400000      -0.71401958E-01    1.5763605        3.1000148        4.6763753        0.0000000
  19.450000      -0.57648515E-01    1.5857555        3.1031105        4.6888660        0.0000000
  19.500000      -0.42747342E-01    1.5927544        3.1007503        4.6935048        0.0000000
  19.550000      -0.27104477E-01    1.5972343        3.0931837        4.6904181        0.0000000
  19.600000      -0.11135521E-01    1.5991394        3.0809267        4.6800661        0.0000000
  19.650000       0.47452113E-02    1.5984807        3.0647289        4.6632096        0.0000000
  19.700000       0.20135268E-01    1.5953348        3.0455286        4.6408634        0.0000000
  19.750000       0.34654081E-01    1.5898396        3.0243997        4.6142393        0.0000000
  19.800000       0.47952195E-01    1.5821901        3.0024916        4.5846816        0.0000000
  19.850000       0.59719485E-01    1.5726315        2.9809677        4.5535993        0.0000000
  19.900000       0.69692174E-01    1.5614522        2.9609443        4.5223965        0.0000000
  19.950000       0.77658492E-01    1.5489751        2.9434325        4.4924076        0.0000000
  20.000000       0.83462879E-01    1.5355485        2.9292884        4.4648369        0.0000000
