# data from ifeffit
#------------------------
#   k         chi       chi       chix
  5.9000000       0.73543214      -0.22556415        1.5098680
  5.9500000       0.63559337      -0.40436168        1.2312317
  6.0000000       0.50308270      -0.55838856       0.94469414
  6.0500000       0.34510079      -0.67886177       0.66623902
  6.1000000       0.17013747      -0.75901504       0.41112243
  6.1500000      -0.12484956E-01  -0.79447873       0.19303632
  6.2000000      -0.19310893      -0.78351714       0.23373933E-01
  6.2500000      -0.36225302      -0.72711042      -0.89363434E-01
  6.3000000      -0.51111021      -0.62887741      -0.13998761
  6.3500000      -0.63200695      -0.49484513      -0.12685207
  6.4000000      -0.71879896      -0.33307949      -0.51878451E-01
  6.4500000      -0.76718345      -0.15319984       0.79616711E-01
  6.5000000      -0.77491177       0.34193450E-01   0.25928168
  6.5500000      -0.74189218       0.21814426       0.47625208
  6.6000000      -0.67017797       0.38798188       0.71780392
  6.6500000      -0.56384262       0.53394066       0.97009804
  6.7000000      -0.42874934       0.64772188        1.2189725
  6.7500000      -0.27222804       0.72296578        1.4507377
  6.8000000      -0.10267753       0.75560664        1.6529291
  6.8500000       0.70885479E-01   0.74409128        1.8149768
  6.9000000       0.23930637       0.68944925        1.9287556
  6.9500000       0.39377592       0.59521178        1.9889877
  7.0000000       0.52629150       0.46718557        1.9934771
  7.0500000       0.63007192       0.31309564        1.9431676
  7.1000000       0.69990446       0.14211936        1.8420238
  7.1500000       0.73240622      -0.35660417E-01    1.6967458
  7.2000000       0.72618693      -0.20985033        1.5163366
  7.2500000       0.68190516      -0.37035465        1.3115505
  7.3000000       0.60221613      -0.50796080        1.0942553
  7.3500000       0.49161468      -0.61486841       0.87674627
  7.4000000       0.35618259      -0.68513142       0.67105117
  7.4500000       0.20325443      -0.71498825       0.48826619
  7.5000000       0.41020304E-01  -0.70306161       0.33795870
  7.5500000      -0.12191301      -0.65041769       0.22766930
  7.6000000      -0.27697899      -0.56048222       0.16253879
  7.6500000      -0.41610206      -0.43881979       0.14507815
  7.7000000      -0.53211843      -0.29279043       0.17509113
  7.7500000      -0.61914495      -0.13110466       0.24975039
  7.8000000      -0.67287719       0.36696200E-01   0.36381901
  7.8500000      -0.69080152       0.20080328       0.51000177
  7.9000000      -0.67231082       0.35171391       0.67940309
  7.9500000      -0.61871871       0.48078208       0.86206337
  8.0000000      -0.53317232       0.58071394        1.0475416
  8.0500000      -0.42046929       0.64597966        1.2255104
  8.1000000      -0.28678950       0.67311875        1.3863292
  8.1500000      -0.13935653       0.66092166        1.5215651
  8.2000000       0.13952652E-01   0.61047860        1.6244313
  8.2500000       0.16502869       0.52509376        1.6901224
  8.3000000       0.30595895       0.41007133        1.7160303
  8.3500000       0.42944211       0.27238711        1.7018292
  8.4000000       0.52916646       0.12026586        1.6494323
  8.4500000       0.60013227      -0.37309947E-01    1.5628223
