# data from ifeffit
#------------------------
#   r         chirx0      chirx2      chirx4      chirx6
  3.0986412       0.20275019       0.86162596        1.7255486        2.5464351
  3.1293208       0.19842221       0.86851585        1.6861334        2.5174815
  3.1600004       0.19035878       0.87617307        1.6540184        2.4923903
  3.1906800       0.17937524       0.88248163        1.6278133        2.4708878
  3.2213597       0.16591441       0.88685421        1.6061297        2.4523703
  3.2520393       0.15007864       0.88899762        1.5878714        2.4360351
  3.2827189       0.13197465       0.88860781        1.5723643        2.4210512
  3.3133985       0.11206691       0.88548541        1.5593166        2.4067221
  3.3440781       0.91354923E-01   0.87975065        1.5486878        2.3926061
  3.3747577       0.71334633E-01   0.87200821        1.5405852        2.3785891
  3.4054373       0.53799986E-01   0.86341753        1.5352930        2.3649264
  3.4361170       0.40587170E-01   0.85564313        1.5333615        2.3522733
  3.4667966       0.33377112E-01   0.85059536        1.5353573        2.3416888
  3.4974762       0.33478502E-01   0.84984769        1.5412261        2.3345134
  3.5281558       0.41301517E-01   0.85393016        1.5501707        2.3319355
  3.5588354       0.56199355E-01   0.86213775        1.5611081        2.3343067
  3.5895150       0.76874541E-01   0.87305223        1.5729723        2.3408566
  3.6201947       0.10154678       0.88516467        1.5847857        2.3501805
  3.6508743       0.12804605       0.89715584        1.5956839        2.3608984
  3.6815539       0.15400044       0.90791453        1.6049491        2.3719555
  3.7122335       0.17706575       0.91648553        1.6120517        2.3826379
  3.7429131       0.19514306       0.92204090        1.6166870        2.3924984
  3.7735927       0.20655410       0.92389081        1.6188044        2.4012820
  3.8042724       0.21015797       0.92152024        1.6186264        2.4088700
  3.8349520       0.20540331       0.91463387        1.6166577        2.4152394
  3.8656316       0.19232036       0.90319851        1.6136826        2.4204332
  3.8963112       0.17146704       0.88748822        1.6107323        2.4245367
  3.9269908       0.14385635       0.86816507        1.6089869        2.4276587
  3.9576704       0.11092576       0.84650330        1.6095695        2.4299161
  3.9883500       0.74786169E-01   0.82509141        1.6132593        2.4314214
  4.0190297       0.40596123E-01   0.80973691        1.6202698        2.4322726
  4.0497093       0.34015713E-01   0.81002554        1.6302566        2.4325471
