# data from ifeffit
#------------------------
#   r         chirr     chirr     chirr
  4.0803889       0.56466816E-01    40.017365        79.826061
  4.1110685       0.10895592E-01    40.035688        80.002477
  4.1417481      -0.15077435E-01    40.015122        80.226744
  4.1724277      -0.11627401E-01    39.992742        80.286602
  4.2031074       0.38102349E-03    39.988875        80.110135
  4.2337870       0.45898706E-02    39.992256        79.843329
  4.2644666       0.75969873E-02    39.985958        79.718687
  4.2951462       0.22331317E-01    39.975741        79.839752
  4.3258258       0.42377506E-01    39.984399        80.087791
  4.3565054       0.42855427E-01    40.019465        80.236223
  4.3871851       0.98086983E-02    40.055017        80.159192
  4.4178647      -0.36293225E-01    40.053456        79.937606
  4.4485443      -0.53992453E-01    40.007002        79.772139
  4.4792239      -0.21938163E-01    39.953190        79.796437
  4.5099035       0.34698312E-01    39.943131        79.967435
  4.5405831       0.63277950E-01    39.991144        80.123312
  4.5712627       0.33069328E-01    40.056702        80.138581
  4.6019424      -0.33068050E-01    40.079649        80.026404
  4.6326220      -0.77494940E-01    40.036608        79.904748
  4.6633016      -0.60764070E-01    39.964141        79.876940
  4.6939812       0.15872151E-02    39.925618        79.946527
  4.7246608       0.53568604E-01    39.953016        80.035828
  4.7553404       0.50433341E-01    40.018645        80.071456
  4.7860201      -0.15288410E-02    40.062395        80.045872
  4.8166997      -0.53374587E-01    40.047186        80.004331
  4.8473793      -0.59825983E-01    39.990306        79.987289
  4.8780589      -0.18843309E-01    39.943698        79.994660
  4.9087385       0.30798526E-01    39.945084        80.002014
  4.9394181       0.47787759E-01    39.986725        79.998635
  4.9700978       0.24222400E-01    40.028002        79.999314
  5.0007774      -0.12593979E-01    40.035296        80.019128
  5.0314570      -0.29397811E-01    40.009741        80.046041
  5.0621366      -0.16429315E-01    39.979807        80.048090
  5.0928162       0.92058047E-02    39.971144        80.010113
  5.1234958       0.24384934E-01    39.985107        79.958148
  5.1541754       0.21214756E-01    40.003866        79.939960
  5.1848551       0.91543651E-02    40.011723        79.977512
  5.2155347       0.70668750E-03    40.008680        80.040210
  5.2462143      -0.12088776E-02    40.004701        80.069686
  5.2768939      -0.18081801E-02    40.005135        80.034872
  5.3075735      -0.41392869E-02    40.005331        79.963680
  5.3382531      -0.42085859E-02    39.999390        79.918840
  5.3689328       0.25708252E-02    39.990729        79.939907
  5.3996124       0.12451327E-01    39.990331        80.006732
  5.4302920       0.14385030E-01    40.003576        80.058920
  5.4609716       0.17816288E-02    40.020970        80.051877
  5.4916512      -0.17761778E-01    40.025060        79.996081
  5.5223308      -0.27059661E-01    40.008222        79.944163
  5.5530105      -0.15681108E-01    39.982829        79.940894
  5.5836901       0.81261897E-02    39.971604        79.984450
  5.6143697       0.23223894E-01    39.986065        80.033077
  5.6450493       0.14987531E-01    40.014161        80.046457
  5.6757289      -0.10141263E-01    40.030273        80.020459
  5.7064085      -0.29670448E-01    40.018915        79.984857
  5.7370881      -0.25591518E-01    39.989556        79.971459
  5.7677678      -0.10952652E-02    39.968119        79.986198
  5.7984474       0.22421858E-01    39.973111        80.009820
  5.8291270       0.25100229E-01    39.998979        80.021058
  5.8598066       0.63662369E-02    40.022044        80.016042
  5.8904862      -0.15608914E-01    40.022657        80.006314
  5.9211658      -0.21296112E-01    40.002386        80.002316
  5.9518455      -0.71033604E-02    39.980829        80.002738
  5.9825251       0.13068778E-01    39.976580        80.000135
  6.0132047       0.21919295E-01    39.991074        79.993465
  6.0438843       0.14117269E-01    40.009616        79.991021
  6.0745639      -0.97183621E-03    40.016575        79.999828
  6.1052435      -0.98500935E-02    40.009068        80.014396
  6.1359232      -0.71746601E-02    39.996955        80.019469
