# Results of near edge peak fit to "AII_45"
# Titles from AII_45
# .  Merge in e space of:
# .  ** T:/xas_user/June2011/Gaetani/DT_Corrected/Fe_xanes_AII_45.001c
# .  ** T:/xas_user/June2011/Gaetani/DT_Corrected/Fe_xanes_AII_45.002c
# .  ** T:/xas_user/June2011/Gaetani/DT_Corrected/Fe_xanes_AII_45.003c
# .
# Fitting range = [-10:2] (relative to centroid of step function)
# .
# Fit included 60 data points and 3 variables
# R-factor = 0.00122, chi-square = 0.00193, reduced chi-square = 0.0000332
# .
# function       centroid             amplitude        width
# ============================================================
# atan            7117.50(    1.12)  0.507( 0.071)  1.164( 0.038)
# gauss           7111.40(    0.00)  0.057( 0.000)  0.882( 0.000)
# gauss           7113.20(    0.00)  0.177( 0.000)  0.898( 0.000)
# .
# .
# The Gaussians and Lorentzians are unit normalized,
# so the amplitudes are the areas.
# Formulas:
# -  arctangent:       A*[atan((e-E0)/W)/pi + 0.5]
# -  error function:   A*[erf((e-E0)/W) + 1]
# -  Gaussian:         [A/(W*sqrt(2pi))] * exp[-(e-E0)^2/(2W^2)]
# -  Lorentzian:       (AW/2pi) / [(e-E0)^2 + (W/2)^2]
#------------------------
#   ee        norm       fun          step          peak1          peak2          resid
  7106.8000       0.12055144E-01   0.16725517E-01   0.16725486E-01   0.31972822E-07   0.73444720E-12  -0.46703735E-02
  7107.0000       0.12450677E-01   0.17027966E-01   0.17027864E-01   0.10167806E-06   0.35038245E-11  -0.45772884E-02
  7107.2000       0.13053718E-01   0.17341641E-01   0.17341334E-01   0.30714441E-06   0.15906764E-10  -0.42879235E-02
  7107.4000       0.13331980E-01   0.17667397E-01   0.17666515E-01   0.88130660E-06   0.68719348E-10  -0.43354163E-02
  7107.6000       0.14017171E-01   0.18006475E-01   0.18004073E-01   0.24020414E-05   0.28251009E-09  -0.39893045E-02
  7107.8000       0.14323908E-01   0.18360945E-01   0.18354725E-01   0.62187485E-05   0.11052146E-08  -0.40370371E-02
  7108.0000       0.14984386E-01   0.18734541E-01   0.18719244E-01   0.15293066E-04   0.41144992E-08  -0.37501558E-02
  7108.2000       0.15438127E-01   0.19134204E-01   0.19098466E-01   0.35723597E-04   0.14576225E-07  -0.36960779E-02
  7108.4000       0.16102844E-01   0.19572609E-01   0.19493294E-01   0.79265618E-04   0.49139517E-07  -0.34697651E-02
  7108.6000       0.16904165E-01   0.20071929E-01   0.19904707E-01   0.16706427E-03   0.15764290E-06  -0.31677642E-02
  7108.8000       0.18178590E-01   0.20668713E-01   0.20333767E-01   0.33446552E-03   0.48125547E-06  -0.24901229E-02
  7109.0000       0.18793215E-01   0.21419069E-01   0.20781626E-01   0.63604550E-03   0.13980885E-05  -0.26258546E-02
  7109.2000       0.19757019E-01   0.22402337E-01   0.21249541E-01   0.11489313E-02   0.38650166E-05  -0.26453183E-02
  7109.4000       0.21219215E-01   0.23720424E-01   0.21738882E-01   0.19713739E-02   0.10167772E-04  -0.25012087E-02
  7109.6000       0.22884589E-01   0.25489616E-01   0.22251145E-01   0.32130168E-02   0.25454111E-04  -0.26050266E-02
  7109.8000       0.24672949E-01   0.27822839E-01   0.22787968E-01   0.49742321E-02   0.60638410E-04  -0.31498895E-02
  7110.0000       0.27240190E-01   0.30803510E-01   0.23351148E-01   0.73148958E-02   0.13746603E-03  -0.35633203E-02
  7110.2000       0.30986334E-01   0.34457057E-01   0.23942661E-01   0.10217845E-01   0.29655189E-03  -0.34707236E-02
  7110.4000       0.34350151E-01   0.38730962E-01   0.24564681E-01   0.13557497E-01   0.60878471E-03  -0.43808112E-02
  7110.6000       0.39652054E-01   0.43496009E-01   0.25219612E-01   0.17087116E-01   0.11892810E-02  -0.38439554E-02
  7110.8000       0.45323818E-01   0.48577283E-01   0.25910114E-01   0.20456300E-01   0.22108688E-02  -0.32534651E-02
  7111.0000       0.51167034E-01   0.53812636E-01   0.26639137E-01   0.23262396E-01   0.39111022E-02  -0.26456018E-02
  7111.2000       0.57193964E-01   0.59121607E-01   0.27409966E-01   0.25127591E-01   0.65840495E-02  -0.19276425E-02
  7111.4000       0.61737536E-01   0.64555631E-01   0.28226263E-01   0.25781984E-01   0.10547383E-01  -0.28180946E-02
  7111.6000       0.66173846E-01   0.70298537E-01   0.29092128E-01   0.25127591E-01   0.16078817E-01  -0.41246912E-02
  7111.8000       0.71579868E-01   0.76599534E-01   0.30012164E-01   0.23262396E-01   0.23324975E-01  -0.50196658E-02
  7112.0000       0.76362994E-01   0.83647117E-01   0.30991550E-01   0.20456300E-01   0.32199267E-01  -0.72841234E-02
  7112.2000       0.82414773E-01   0.91422104E-01   0.32036143E-01   0.17087116E-01   0.42298846E-01  -0.90073315E-02
  7112.4000       0.91194727E-01   0.99587316E-01   0.33152580E-01   0.13557497E-01   0.52877239E-01  -0.83925890E-02
  7112.6000       0.10020753       0.10746860       0.34348420E-01   0.10217845E-01   0.62902332E-01  -0.72610621E-02
  7112.8000       0.10884454       0.11415415       0.35632299E-01   0.73148958E-02   0.71206959E-01  -0.53096085E-02
  7113.0000       0.11559594       0.11869551       0.37014127E-01   0.49742321E-02   0.76707152E-01  -0.30995726E-02
  7113.2000       0.11872592       0.12035174       0.38505330E-01   0.32130168E-02   0.78633389E-01  -0.16258152E-02
  7113.4000       0.11676102       0.11879767       0.40119142E-01   0.19713739E-02   0.76707152E-01  -0.20366500E-02
  7113.6000       0.11076101       0.11422685       0.41870964E-01   0.11489313E-02   0.71206959E-01  -0.34658414E-02
  7113.8000       0.10106310       0.10731720       0.43778819E-01   0.63604550E-03   0.62902332E-01  -0.62540957E-02
  7114.0000       0.91973844E-01   0.99075617E-01   0.45863913E-01   0.33446552E-03   0.52877239E-01  -0.71017735E-02
  7114.2000       0.81941896E-01   0.90617250E-01   0.48151340E-01   0.16706427E-03   0.42298846E-01  -0.86753542E-02
  7114.4000       0.76130689E-01   0.82949515E-01   0.50670982E-01   0.79265618E-04   0.32199267E-01  -0.68188260E-02
  7114.6000       0.72349001E-01   0.76819350E-01   0.53458651E-01   0.35723597E-04   0.23324975E-01  -0.44703482E-02
  7114.8000       0.69863913E-01   0.72651660E-01   0.56557550E-01   0.15293066E-04   0.16078817E-01  -0.27877475E-02
  7115.0000       0.69503876E-01   0.70573758E-01   0.60020156E-01   0.62187485E-05   0.10547383E-01  -0.10698817E-02
  7115.2000       0.70784010E-01   0.70497106E-01   0.63910654E-01   0.24020414E-05   0.65840495E-02   0.28690415E-03
  7115.4000       0.74284971E-01   0.72220072E-01   0.68308089E-01   0.88130660E-06   0.39111022E-02   0.20648987E-02
  7115.6000       0.78747038E-01   0.75521600E-01   0.73310424E-01   0.30714441E-06   0.22108688E-02   0.32254386E-02
  7115.8000       0.83418388E-01   0.80229128E-01   0.79039745E-01   0.10167806E-06   0.11892810E-02   0.31892606E-02
  7116.0000       0.90949896E-01   0.86257596E-01   0.85648779E-01   0.31972822E-07   0.60878471E-03   0.46922997E-02
  7116.2000       0.99570205E-01   0.93625302E-01   0.93328741E-01   0.95500078E-08   0.29655189E-03   0.59449029E-02
  7116.4000       0.10902463       0.10245544       0.10231797       0.27095398E-08   0.13746603E-03   0.65691887E-02
  7116.6000       0.12017833       0.11297021       0.11290957       0.73022450E-09   0.60638410E-04   0.72081222E-02
  7116.8000       0.13365750       0.12547887       0.12545341       0.18693315E-09   0.25454111E-04   0.81786356E-02
  7117.0000       0.14798180       0.14035282       0.14034265       0.45455379E-10   0.10167772E-04   0.76289827E-02
  7117.2000       0.16379158       0.15797045       0.15796658       0.10499130E-10   0.38650166E-05   0.58211367E-02
  7117.4000       0.18538641       0.17860597       0.17860457       0.23035115E-11   0.13980885E-05   0.67804421E-02
  7117.6000       0.20588507       0.20224642       0.20224594       0.48006110E-12   0.48125547E-06   0.36386535E-02
  7117.8000       0.22832152       0.22837773       0.22837757       0.95032399E-13   0.15764290E-06  -0.56207042E-04
  7118.0000       0.25298009       0.25588512       0.25588507       0.17869645E-13   0.49139517E-07  -0.29050301E-02
  7118.2000       0.27537847       0.28324395       0.28324393       0.31917526E-14   0.14576225E-07  -0.78654811E-02
  7118.4000       0.29816962       0.30897674       0.30897674       0.54151634E-15   0.41144992E-08  -0.10807119E-01
  7118.6000       0.32351482       0.33207737       0.33207737       0.87269595E-16   0.11052146E-08  -0.85625542E-02
  7118.8000       0.34436308       0.35214043       0.35214043       0.13359291E-16   0.28251009E-09  -0.77773458E-02
  7119.0000       0.36456360       0.36922601       0.36922601       0.19425532E-17   0.68719348E-10  -0.46624136E-02
  7119.2000       0.38430109       0.38364559       0.38364559       0.26830667E-18   0.15906764E-10   0.65549950E-03
