# Athena multicolumn data file -- Athena version 0.8.061
# This file contains normalized mu(E) from:
# AII_-25 (column 2)
# AII_45 (column 3)
#------------------------
#  energy  AII__25  AII_45
  7125.6000        1.2002201       0.98877187
  7125.8000        1.1998089        1.0015697
  7126.0000        1.2018335        1.0143853
  7126.2000        1.2014805        1.0262268
  7126.4000        1.2020597        1.0363288
  7126.6000        1.2019075        1.0491232
  7126.8000        1.1993096        1.0592348
  7127.0000        1.1976566        1.0670917
  7127.2000        1.1941771        1.0772212
  7127.4000        1.1983021        1.0866319
  7127.6000        1.1940978        1.0952335
  7127.8000        1.1970397        1.1028974
  7128.0000        1.1961886        1.1092180
  7128.2000        1.1846445        1.1151696
  7128.4000        1.1809098        1.1206822
  7128.6000        1.1802104        1.1263972
  7128.8000        1.1741074        1.1339141
  7129.0000        1.1717545        1.1357975
  7129.2000        1.1733744        1.1400335
  7129.4000        1.1709799        1.1414305
  7129.6000        1.1643850        1.1423149
  7129.8000        1.1625070        1.1476886
  7130.0000        1.1536139        1.1486229
  7130.2000        1.1529135        1.1487000
  7130.4000        1.1498113        1.1498609
  7130.6000        1.1460875        1.1507052
  7130.8000        1.1394607        1.1492565
  7131.0000        1.1342493        1.1487450
  7131.2000        1.1284053        1.1486775
  7131.4000        1.1260860        1.1491279
  7131.6000        1.1202533        1.1497640
  7131.8000        1.1181806        1.1470264
  7132.0000        1.1157881        1.1500711
  7132.2000        1.1112158        1.1445548
  7132.4000        1.1054955        1.1442087
  7132.6000        1.0978389        1.1426792
  7132.8000        1.0977740        1.1417900
  7133.0000        1.0889016        1.1427332
  7133.2000        1.0916147        1.1412247
  7133.4000        1.0845939        1.1407977
  7133.6000        1.0887027        1.1390324
  7133.8000        1.0831172        1.1397892
  7134.0000        1.0768604        1.1387290
  7134.2000        1.0649409        1.1395661
  7134.4000        1.0741187        1.1385377
  7134.6000        1.0662704        1.1370839
  7134.8000        1.0647880        1.1372514
  7135.0000        1.0610124        1.1369974
  7135.2000        1.0602825        1.1356158
  7135.4000        1.0540604        1.1372748
  7135.6000        1.0513058        1.1345201
  7135.8000        1.0489000        1.1337723
  7136.0000        1.0470939        1.1327702
  7136.2000        1.0394594        1.1321366
  7136.4000        1.0446679        1.1292951
  7136.6000        1.0386587        1.1269110
  7136.8000        1.0405531        1.1261201
  7137.0000        1.0373380        1.1244819
  7137.2000        1.0410446        1.1212342
  7137.4000        1.0353003        1.1207796
  7137.6000        1.0322224        1.1199582
  7137.8000        1.0335438        1.1140962
  7138.0000        1.0210840        1.1129807
  7138.2000        1.0236632        1.1107127
  7138.4000        1.0239651        1.1059068
  7138.6000        1.0170860        1.1052936
  7138.8000        1.0191089        1.1041460
  7139.0000        1.0189942        1.1029786
  7139.2000        1.0181394        1.0963315
  7139.4000        1.0124086        1.0965738
  7139.6000        1.0152678        1.0950604
  7139.8000        1.0128527        1.0935749
  7140.0000        1.0132122        1.0925502
  7140.2000        1.0104061        1.0874928
  7140.4000        1.0105046        1.0848015
  7140.6000        1.0056146        1.0829747
  7140.8000        1.0039529        1.0830709
  7141.0000        1.0025690        1.0794332
  7141.2000        1.0003621        1.0776101
  7141.4000       0.99781697        1.0770956
  7141.6000       0.99465749        1.0739976
  7141.8000       0.99100273        1.0701992
  7142.0000       0.99003603        1.0679365
  7143.7330       0.94801675        1.0218888
  7145.5160       0.93981344        1.0201357
  7147.3470       0.91744942       0.99661436
  7149.2260       0.90443728       0.96967626
  7151.1540       0.89254532       0.94561237
  7153.1310       0.89311958       0.92257600
  7155.1570       0.90196421       0.90556160
  7157.2310       0.90860736       0.89571153
  7159.3540       0.92379005       0.89027088
  7161.5250       0.93247813       0.88846529
  7163.7460       0.94628682       0.89309664
  7166.0150       0.95658219       0.90148227
  7168.3330       0.97006362       0.91460006
  7170.6990       0.98396374       0.93291331
  7173.1140       0.99439212       0.94821278
  7175.5780       0.99690691       0.96326253
  7178.0900       0.99802768       0.97110755
  7180.6510        1.0046866       0.97607468
  7183.2610        1.0059589       0.98505508
  7185.9200        1.0116485       0.99358756
  7188.6270        1.0102915       0.99570121
  7191.3830        1.0094417        1.0034830
  7194.1880        1.0046068        1.0033463
  7197.0410       0.99841056        1.0022864
  7199.9420       0.99203529        1.0026748
  7202.8930       0.99335408        1.0005546
  7205.8930       0.98501379       0.99468717
  7208.9400       0.98078158       0.99116314
  7212.0370       0.98026554       0.98507507
  7215.1830       0.97805296       0.98096423
  7218.3760       0.97863819       0.97727741
  7221.6190       0.97454461       0.96989933
  7224.9110       0.97774597       0.97409718
  7228.2510       0.98280951       0.96796873
  7231.6400       0.98015407       0.96957372
  7235.0770       0.98205454       0.96459863
  7238.5630       0.98707051       0.96829396
  7242.0980       0.99471427       0.97090366
  7245.6820       0.99449753       0.97273010
  7249.3130        1.0010756       0.97299498
  7252.9950        1.0024454       0.97370884
  7256.7240        1.0044658       0.98154400
  7260.5020        1.0039998       0.98186805
  7264.3300        1.0088837       0.98747974
  7268.2050        1.0141033       0.99208488
  7272.1290        1.0135607       0.99197655
  7276.1030        1.0078771       0.98851504
  7280.1240        1.0042564       0.99497247
  7284.1940        1.0063680       0.99303440
  7288.3130        1.0102141       0.99483001
  7292.4810        1.0053637       0.99310044
