# Results of near edge peak fit to "AII_45"
# Titles from AII_45
# .  Merge in e space of:
# .  ** T:/xas_user/June2011/Gaetani/DT_Corrected/Fe_xanes_AII_45.001c
# .  ** T:/xas_user/June2011/Gaetani/DT_Corrected/Fe_xanes_AII_45.002c
# .  ** T:/xas_user/June2011/Gaetani/DT_Corrected/Fe_xanes_AII_45.003c
# .
# Fitting range = [-9:1] (relative to centroid of step function)
# .
# Fit included 50 data points and 5 variables
# R-factor = 0.00019, chi-square = 0.00016, reduced chi-square = 0.0000035
# .
# function       centroid             amplitude        width
# ============================================================
# atan            7117.50(    0.61)  0.471( 0.036)  1.258( 0.019)
# gauss           7113.25(    0.00)  0.144( 0.002)  0.750( 0.000)
# gauss           7111.50(    0.00)  0.057( 0.002)  0.750( 0.000)
# .
# .
# The Gaussians and Lorentzians are unit normalized,
# so the amplitudes are the areas.
# Formulas:
# -  arctangent:       A*[atan((e-E0)/W)/pi + 0.5]
# -  error function:   A*[erf((e-E0)/W) + 1]
# -  Gaussian:         [A/(W*sqrt(2pi))] * exp[-(e-E0)^2/(2W^2)]
# -  Lorentzian:       (AW/2pi) / [(e-E0)^2 + (W/2)^2]
#------------------------
#   ee        norm       fun          step          peak1          peak2          resid
  7106.8000       0.12055144E-01   0.17029631E-01   0.17029631E-01   0.66508033E-17   0.89776192E-10  -0.49744875E-02
  7107.0000       0.12450677E-01   0.17341107E-01   0.17341107E-01   0.63593764E-16   0.46075911E-09  -0.48904301E-02
  7107.2000       0.13053718E-01   0.17664137E-01   0.17664135E-01   0.56633291E-15   0.22024371E-08  -0.46104194E-02
  7107.4000       0.13331980E-01   0.17999377E-01   0.17999367E-01   0.46972741E-14   0.98050531E-08  -0.46673968E-02
  7107.6000       0.14017171E-01   0.18347546E-01   0.18347505E-01   0.36285812E-13   0.40654929E-07  -0.43303750E-02
  7107.8000       0.14323908E-01   0.18709462E-01   0.18709305E-01   0.26106258E-12   0.15699771E-06  -0.43855539E-02
  7108.0000       0.14984386E-01   0.19086146E-01   0.19085581E-01   0.17493199E-11   0.56466419E-06  -0.41017604E-02
  7108.2000       0.15438127E-01   0.19479109E-01   0.19477217E-01   0.10917185E-10   0.18914899E-05  -0.40409820E-02
  7108.4000       0.16102844E-01   0.19891067E-01   0.19885166E-01   0.63455457E-10   0.59011225E-05  -0.37882232E-02
  7108.6000       0.16904165E-01   0.20327610E-01   0.20310463E-01   0.34351373E-09   0.17146760E-04  -0.34234450E-02
  7108.8000       0.18178590E-01   0.20800636E-01   0.20754231E-01   0.17319528E-08   0.46403033E-04  -0.26220452E-02
  7109.0000       0.18793215E-01   0.21334657E-01   0.21217692E-01   0.81328893E-08   0.11695734E-03  -0.25414423E-02
  7109.2000       0.19757019E-01   0.21976765E-01   0.21702176E-01   0.35568905E-07   0.27455253E-03  -0.22197454E-02
  7109.4000       0.21219215E-01   0.22809544E-01   0.22209138E-01   0.14488151E-06   0.60026115E-03  -0.15903293E-02
  7109.6000       0.22884589E-01   0.23962999E-01   0.22740166E-01   0.54963234E-06   0.12222833E-02  -0.10784095E-02
  7109.8000       0.24672949E-01   0.25616979E-01   0.23297000E-01   0.19419964E-05   0.23180369E-02  -0.94403009E-03
  7110.0000       0.27240190E-01   0.27982300E-01   0.23881553E-01   0.63905966E-05   0.40943564E-02  -0.74211033E-03
