# data from ifeffit
#------------------------
#   energy      xmu       bkg       preline      normline
  7120.2067       0.65853366       0.65853366      -0.15683677        1.2467828
  7120.6367       0.71506333       0.71506333      -0.15708304        1.2462540
  7121.0344       0.76685939       0.76685939      -0.15731086        1.2457649
  7121.3247       0.81331120       0.81331120      -0.15747713        1.2454081
  7121.6473       0.88132224       0.88132224      -0.15766189        1.2450116
  7122.0990       0.96982546       0.96982546      -0.15792058        1.2444567
  7122.5507        1.0609442        1.0609442      -0.15817930        1.2439019
  7122.9272        1.1520083        1.1309221      -0.15839493        1.2434396
  7123.2500        1.2277466        1.1316493      -0.15857977        1.2430435
  7123.5943        1.3064567        1.1324140      -0.15877696        1.2426209
  7124.0785        1.3897857        1.1334703      -0.15905429        1.2420269
  7124.5412        1.4488121        1.1344589      -0.15931933        1.2414593
  7124.9718        1.4916355        1.1353604      -0.15956590        1.2409314
  7125.3377        1.5253895        1.1361131      -0.15977552        1.2404828
  7125.6392        1.5576798        1.1367236      -0.15994816        1.2401134
  7125.9945        1.6054069        1.1374325      -0.16015165        1.2396781
  7126.5329        1.6685989        1.1384844      -0.16046001        1.2390187
  7126.9744        1.7280946        1.1393272      -0.16071291        1.2384781
  7127.3191        1.7788395        1.1399729      -0.16091031        1.2380563
  7127.6315        1.8158746        1.1405488      -0.16108922        1.2376740
  7127.9977        1.8452568        1.1412129      -0.16129900        1.2372259
  7128.5149        1.8495809        1.1421302      -0.16159520        1.2365934
  7128.9244        1.8256022        1.1428397      -0.16182972        1.2360927
  7129.3555        1.7821155        1.1435708      -0.16207661        1.2355658
  7129.7111        1.7332258        1.1441617      -0.16228032        1.2351312
  7129.9806        1.6808437        1.1446022      -0.16243467        1.2348020
  7130.3903        1.5977283        1.1452598      -0.16266929        1.2343017
  7130.8539        1.5268502        1.1459867      -0.16293482        1.2337356
  7131.2852        1.4647408        1.1466467      -0.16318185        1.2332091
  7131.6087        1.4147310        1.1471314      -0.16336715        1.2328143
  7131.9323        1.3753900        1.1476074      -0.16355246        1.2324196
  7132.3314        1.3349634        1.1481825      -0.16378104        1.2319328
  7132.8384        1.2963582        1.1488943      -0.16407143        1.2313146
  7133.2484        1.2711328        1.1494545      -0.16430625        1.2308149
  7133.6585        1.2517658        1.1500011      -0.16454110        1.2303153
  7134.0146        1.2359428        1.1504648      -0.16474506        1.2298814
  7134.3060        1.2211765        1.1508367      -0.16491196        1.2295265
  7134.7701        1.1994605        1.1514152      -0.16517779        1.2289614
  7135.2559        1.1813965        1.1520025      -0.16545603        1.2283701
  7135.6770        1.1658542        1.1524967      -0.16569720        1.2278577
  7135.9902        1.1533380        1.1528553      -0.16587655        1.2274768
  7136.3141        1.1429410        1.1532183      -0.16606210        1.2270828
  7136.7570        1.1317763        1.1537016      -0.16631571        1.2265444
  7137.2322        1.1234352        1.1542038      -0.16658792        1.2259668
  7137.6428        1.1194838        1.1546240      -0.16682304        1.2254680
  7138.0533        1.1183458        1.1550317      -0.16705819        1.2249692
