# data from ifeffit
#------------------------
#   r         chir_mag      chir_mag      chir_real      chir_real
  2.7611654        1.4157967       0.48315965E-02   -2.3816534       -1.0007993
  2.7918450        1.3865540       0.18137874E-02   -2.3676724       -1.0018136
  2.8225246        1.3280165       0.37194103E-02   -2.1340760      -0.99909934
  2.8532043        1.2436805       0.66814185E-02   -1.7488325      -0.99460449
  2.8838839        1.1386264       0.88850632E-02   -1.3091794      -0.99114845
  2.9145635        1.0191612       0.10057468E-01  -0.91056537      -0.99083320
  2.9452431       0.89235720       0.10133628E-01  -0.61994457      -0.99394461
  2.9759227       0.76550526       0.91814168E-02  -0.46246744      -0.99888587
  3.0066023       0.64548828       0.73881348E-02  -0.42452179       -1.0031146
  3.0372820       0.53805742       0.50898743E-02  -0.46928551       -1.0045360
  3.0679616       0.44700940       0.30642023E-02  -0.55642201       -1.0025997
  3.0986412       0.37341130       0.33016902E-02  -0.65708183      -0.99854084
  3.1293208       0.31535542       0.54110152E-02  -0.75883238      -0.99468000
  3.1600004       0.26888124       0.75624362E-02  -0.86061069      -0.99318591
  3.1906800       0.23005237       0.91714655E-02  -0.96257241      -0.99496440
  3.2213597       0.19719945       0.10013136E-01   -1.0575991      -0.99924088
  3.2520393       0.17220732       0.99996220E-02   -1.1295531       -1.0040204
  3.2827189       0.15969207       0.91427676E-02   -1.1592232       -1.0071499
  3.3133985       0.16265114       0.75403812E-02   -1.1345192       -1.0074117
  3.3440781       0.17789758       0.53646327E-02   -1.0590836       -1.0050856
  3.3747577       0.19801002       0.28635205E-02  -0.95423777       -1.0017200
  3.4054373       0.21600602       0.85882416E-03  -0.85258696      -0.99926608
  3.4361170       0.22712835       0.26527016E-02  -0.78588134      -0.99905279
  3.4667966       0.22874555       0.47857957E-02  -0.77269139       -1.0011361
  3.4974762       0.21995577       0.64162076E-02  -0.81162797       -1.0043400
  3.5281558       0.20127057       0.73808984E-02  -0.88318345       -1.0069329
  3.5588354       0.17438126       0.76126644E-02  -0.95914797       -1.0075587
  3.5895150       0.14202286       0.71220620E-02   -1.0150263       -1.0059270
  3.6201947       0.10809260       0.59906108E-02   -1.0396587       -1.0029162
  3.6508743       0.78502330E-01   0.43607923E-02   -1.0378612       -1.0000609
  3.6815539       0.62623661E-01   0.24296525E-02   -1.0254610      -0.99872086
  3.7122335       0.66616315E-01   0.66148983E-03   -1.0197822      -0.99937757
  3.7429131       0.81422957E-01   0.18419943E-02   -1.0306242       -1.0014221
  3.7735927       0.96168499E-01   0.35319825E-02   -1.0561494       -1.0035246
  3.8042724       0.10603773       0.48456515E-02   -1.0852932       -1.0043678
  3.8349520       0.10960169       0.56582008E-02   -1.1048427       -1.0033461
  3.8656316       0.10712245       0.59224302E-02   -1.1070022       -1.0008629
